B,Update and bug fixes.
B,Ever since the new update i no longer recieve notifications when i make a purchase.
B,please fix
N,LG G3
N,Chase.
E,Banking made easy-to-use
N,Small Business Owner.
N,Blue Angels Housekeeping
P,Good bank app.
E,Really like the quick swipe to see your balance.
N,Instant account credit/debit notifications.
E,Last update messed deposit function.
E,This app has been working great for the  past several months.
N,Now camera function either deposit amount is wrong or routing number is incorect when screen is same as check?
E,Photos are very clear and readable.
N,"UPDATE: 8/10/13 Works well with updates for my Xoom, but fails to finish a picture on my new Nexus 7 Google Tablet FHD."
E,"Picture is superior, but turns to ""gray horizontal lines"" in the final picture."
R,It needs more work kids!
N,"UPDATE 3/21/15   Works well with all my older devices, but refuses to focus clearly with new Nexus 9 tablet for deposits."
B,Quick pay won't work
N,Great for on the go!
E,I like how it gives me the flexibility of managing my money and how fast it transfers funds.
E,It is easy and quick.
N,Able to do all most all my banking right here.
E,"It doesn't like some checks (unless they are perfect it won't clear the deposit) and won't give me cash on the spot, otherwise it's an atm in my hand."
P,Great Ap.
P,I absolutely love it.
E,I especially love the sneek peek option to view your account without having to logon.
P,Chase app is great!
E,Ap improvements are much better and easier to access my account.
N,Chase Mobile Ap.
E,It is very easy to work with.
N,No difficult task to perform.
N,Technology.
E,I love the convenience and depth to which I can do my banking on my terms.
R,It would nice to have a calculator in the menu options so I have to keep fliping back and forth.
B,"Also, recently, I have encountered a few problems_x0008_ugs with bill pay and transfers."
N,Chase app.
P,Love it.
E,"User friendly,  gets the job done"
P,I love it .
E,easy use
N,Makes banking easy
P,Amazing app.
E,It is very convenient
P,I love it except.
E,I love being able to access my account from my phone.
E,This app makes it quick and easy.
E,"However, they schedule maintenance on it at bad times, so you can't do much when they are working on the app."
P,It is very good app I love!
E,Convenient and a cool interface!
N,Makes banking on the go a breeze!
E,Convenient.
N,I use this all the time and it's great!
P,Great!
N,Couldn't live without it.
N,Ap.
E,User friendly
N,It made life more easier
P,Great app !
E,It is easy fast and very efficient.
N,"Great, I'm saving a lot.of.time and money."
N,"I don't have to walk or.drive to a bank any more, sweet"
E,It is very  convenient
N,Android app.
E,I love it easy and convenient
N,Deos the job!
N,Opened up this account when me and my wife got maried two years ago haven't had problems with it since.
P,Excellent Ap.
N,Saves many a Trip to the bank.
N,Can always check balance deposit checks use the quick pay.
E,It is very convenient and Safe too.
P,Great app.
N,No problems
E,It is very convenient!
N,You can do anything from home love it!
P,Awesome app.
N,Everything in one shop.
N,It works great!
N,Keeping an eye on your money
E,It is very useful I use it a lot!
N,Trust.
E,"Feel safe, convenience"
E,"Love that you can send, request, and receive money from others."
E,It is very convenient!
P,Great banking app.
N,You see all of your accounts in one spot.
E,It's very easy to pay bills and transfer money to other accounts.
N,Much improved.
E,I love the preview feature
N,Keeps geting better.
N,I have seen other banks' aps and this one is top notch.
N,I do basic banking functions and there is nothing I can't do on this app.
E,"Plus I love the no login, account overview screen."
R,I wish the mobile website wasn't so limited.
N,Chase.
E,Quick pay is my new best friend!
P,Good app.
R,Just wish you could keep track of all your transactions and transfers.
N,Upgrade to this an get 5 stars easy
P,Best Banking Ap.
N,It does everything that I need it too and it's easy to pay my bills with it!
N,Lame app with Spyware .
E,Lame app with poor design.
E,Ap acquires sensitive permissions that are NOT required for its stated functions.
N,Check app permissions!
N,It can access and read your CONTACTS as well as IDENTITY/ACCOUNTS on your phone!
N,WHY?
N,WHAT ARE THEY DOING MINING YOUR PRIVATE DATA?
N,Can you say SPYWARE?
E,Too big to fail is also too big to care about respecting their customers privacy or puting out a quality app.
N,Err:509
E,MAKE SEND PAYMENTS AN ADDON MODULE WITH SEPARATE PERMS
N,Handy.
N,Exactly what it is.
E,"Useful, helpful and essential for the banking world"
B,Small Bug.
E,The splash screen goes away and defaults to a blue background after a few uses.
E,I know it's minor but the picture is a nice UI.
N,(LG/Verizon)
P,good app but.
N,what is the deal with the check depositing!
B,camera never works properly on any device!
E,Incorect creds.
N,So is anybody going to do anything with this?
N,Anybody at all?
N,The app won't take my creds to check my account.
N,I don't want to repeatedly have to go to the atm just to check my balance.
P,For the love of god somebody!
N,quick pay.
E,good service
R,No hassle banking.
N,It keeps me out of the bank
E,Useless!
B,"The first time using this ap, it gave me multiple errors."
N,"It ultimately told me to visit my local branch, ."
N,Really?
N,What a load of turd!
N,chase app.
N,"pri,chase app."
N,Can't Deposit Checks.
N,"When you open to take a picture, the app instantly takes the picture without giving a change to get the check lined up."
B,The AP is broken.
N,it use to work.
N,I un-installed and re-installed.
N,but no luck.
N,Now I need to go to the ATM.
N,Check deposit.
N,Isn't the whole point of e-check deposit to make the process more efficient.
N,"Rather, I have to wait until the next day for funds when I can get instant cash in person?"
E,Unacceptable.
N,AMBASSADRESS MOORE.
P,LIKE
N,Waste of time.
E,It is worse than ever before.instead of going ahead you guys are going back.do something right.
E,Quick deposit does not work with galaxy tab 4.
N,"Just talked with a chase rep, who told me the reason the quick deposit won't connect to the camera is because the camera doesn't have the right auto focus feature needed."
N,Be aware.
P,It work awesome
P,The best.
N,I can view all of my accounts right from my phone and tablet
N,Hides due date for credit cards.
N,Makes it ridiculously difficult to see the due date for your credit cards.
N,"Shows the balance on first page, but it's 2-3 more taps on each account to see when due."
N,Makes it seem like they want you to miss a payment.
N,A very bank of America thing to do.
N,I thought chase was better than that
E,It is easy does it.
N,Good app to have if you don't have time to be going to the bank and make payments.
E,It is easy to use
N,Sign in problem.
N,Everytime i try to sign in into the app it tells me i have to do it on the computer whats the point of the app if i can't sign into it.
N,CHASE ROCKS.
N,I have no problems accessing my accounts.
N,Best way to do Banking
N,Location.
N,Finding an ATM/branch is absolutely a disaster.
R,Also not being able to take screen shots isn't necessary
N,Chase works!
P,"This app is a great app to have, especially the swipe right feature."
P,Great.
N,Let's me know what I need to know and fast
P,Love Chase!
N,"For those who seem to blame Chase for their phone's malfunction, I can honestly say that I have not had 1 issue with their services and Chase listens to complaints and updates accordingly."
N,"Keep up the great work, Chase!"
N,Zero functionality compared to AMEX and capital one.
N,This is the most spartan app I've even seen.
R,"Missing recent activity, available credit, and so much other basic information it's just about worthless."
N,Unreal to see an app like this in 2015 especially compared to ones like AMEX the are cuting edge.
P,Great Ap.
E,Convenient.
E,The notifications are helpful!
P,Great app.
R,The thing i wish it always showed is the Dallas background when loging in.
N,It's always blue.
N,Since the update I've seen it like 5 times.
P,Good.
E,Excellent system.
N,You can check out everything in this app your accounts.
N,Any time everywhere.
P,Great ap
N,Why aps were invented!
P,Best app I have.
N,Saves me time and money.
N,Ap for phone.
N,Has been installing for 3 hours still
E,It is very Nice
P,Great app great bank .
N,So waow!
N,Incredible
E,Great updates.
E,The app looks and functions great.
N,annoyed customer.
B,the app works well in some areas but the main reason i liked the app  dose not even work right.
R,can't deposit the check and the stupid camera dose not focus like its suposed to.
E,its not my phones fault because its separate camera works extremely well.
B,please fix.
P,Great app.
E,It is easy to use.
E,Convenient for transfers and checking balances.
N,Still no pending charges total?
N,It's prety disapointing that after all the iterations and the major redesign that we still can't see a line total of pending charges on a credit card account.
R,It really should be right next to the curent balance.
N,"I guess I'm a litle dramatic with the 2 star rating - its a great app otherwise, which makes this seemingly simple disapointment puzling and frustrating."
P,Good banking.
N,Makes life easier
P,Awsome i love this ap
N,I give the chase app a 4.
E,It's fast and never freezes on you
N,Nice.
P,I love this
N,No longer can deposit checks.
E,This latest update broke the deposit check feature.
R,It won't save the pictures to allow for deposit.
N,Used to like it and use almost daily.
R,"But, why does a credit card need to access my Contact List?"
N,Uninstalled.
N,Chase mobile.
N,Banking  24/7
P,Love it.works great
N,Fav app.
N,I have truly  enjoyed  this app and excited to see what the next release will include.
N,Superior Mobile Ap.
E,First rate.
P,Good.
P,It is very very good
N,It really works.
N,Okay could be better.
R,It would be great if they aded fingerprint log on for the quick preview.
N,For more security.
B,Fix the deposit issue!
N,Ok but.
R,I'd like to see this made so you can edit from your phone.
N,That way when you have checks sent out you can deduct them so you can see what all is going out instead of having to balance a check books from this app.
N,Make it available to do all thru the app.
E,Deposits get Borked.
E,Prety bad that a HUGE financial cannot seem to keep a simple app updated!
B,Major problem using the check deposit feature.
B,It basically doesn't work on my LG G3.
B,FIX please.
N,Otherwise it's a '5 star' app.
