E,It is easy to use; very useful.
N,The title says it all.
E,It is easy and interesting
B,Problem creating profile.
N,Brings me to same  page when i try to create new profile or use fb to login
N,Making linguistics fun.
N,Just download it already!
P,Soo good!
N,There are so many things good about this app but to name a few Fun!
E,Effective!
E,"Efficient (can use your dead time, ie public transport in London)."
E,It has never been so easy to learn a language.
E,More fun than most app games.
R,"I love to ""play"" Duolingo but I wish it had the vocabulary feature that the full computer version has."
E,nice graphics and methods to learn
P,AWSOME APP.
P,Awsome app I'm learning french.
N,"It thoroughly teaches verbs, nouns, adjective past and present and futuee words."
P,Awsome
E,It is better than 12 years of school French.
N,"In a few days, I have learned more AND remembered more than 12 years of French in school."
P,Absolutely love this app and is my ultimate best friend.
P,Great app.
E,Simple to use.
N,I have strugled with learning languages til now.
N,but I have learned so much never thought possible
P,Probably the best app in the world.
E,"Using it to learn German - very effective and fun, highly recommended"
P,This app is amazing and i never forget what i learn i've been strugling with french for like ever so thank u
N,Free confidence.
N,"Being around friends who speak their language from their decent, however, i am unable gets me in the feels."
N,Doing this get me up
P,Awesome.
N,With this app I have learned so many new languages.
N,"(Mind the weird profile pic, lol)."
P,The best.
P,Love it.
P,This is the best language app ever made Thanx dulolingo for making such a nice app.
R,Here's a tip just ad Japanese for English speaking users.
N,Thanx again ?????
P,The best language tutor i have ever had.
N,I recommend it to everyone.
N,Using Duolingo is my favorite hoby now
P,Loved it
P,Best.
N,Languages app.
E,Can become quite adictive!
P,excellent app for language learners.
E,It is very nice concept.
E,Overall it's a really good app that suits different learning styles.
N,Perfect if you have a few gaps throughout the day.
N,"Only down sides so far is that some games start by asking you to translate words before teaching you the meaning, so you will score lower."
N,A dictionary might do the trick though.
E,Another issue I found is that some audios are not well recorded so it can be more challenging.
N,I definitely recommend this app anyhow!
N,A problem.
N,When I finished basics 2 but still it did not gave me lingtos and next lesson was also not unlocked please fix it
E,It is not as good as the web version.
B,"First problem it uses a 'heart' system and you are allowed 4 mistakes, after which you fail and have to start from the beginning."
B,"Problem is that Duolingo uses a list of corect answers, and some corect answers are not on the list."
N,It is also prety savage marking against typos.
E,"The web version just knocks you back, but not out, if it decides you are wrong, and you can feed back why you think your answer should be accepted, this feedback helps improve the answer list."
E,The app is a fallback but not as good
P,"Verg good,."
R,"Lovely ap, just need to do it more often."
E,No real.
B,Bugs or anything.
N,We'll designed.
N,Best way to keep in touch.
N,"If you're just brushing up, then this is a great way to keep in touch with the language everyday"
P,A super and amazing aplication to learn fast.
R,It would be awesome if it has Greek language course.
N,But a wow ap
N,Ya me cans??.
N,Esto hace que me decepci??ne todo mi esfuerzo no vale nada los s??bados y domingos hasta a los ni??os les dan descanso de la escuela para que se pueda quitar el estr??s ??sto es una esclavitud todos los d??as ha veces no tengo tiempo los s??bados o domingos para   esto dur?? tres meses corido y porque se me olvido un d??a pusieron como que yo nunca hubiera entrado a estudiar y ahora lo mismo que decepci??n ?? por eso fue que la otra vez lo quit??
N,Duolingo.
P,Great ap!
P,Simply awesome
N,Nice ap
P,Great.
E,Fun and very useful (^_^)~
P,Loved it.
P,Good with minor flaws.
N,It is not all words are right especially in French and it would be really fun to learn Russian :)
E,An interesting ap!
R,But still needs implementation.
R,"In English for Vietnamese speakes, there is no exercise for learners to practice their pronunciation skill."
E,"Furthermore, in translation exercises, although some translated sentences have the same meaning with the corect answer, they are considered as a wrong answer."
N,It makes me feel unpleasant sometimes!
R,5 stars if you atach an in-ap keyboard of the same language that one is learning
E,"Program is great, app needs work."
E,Duolingo is a great program for learning languages and works really well.
B,"The only issue I have is with the ap, which doesn't show you lesson notes (which are available on the desktop version)."
N,You're kind of just thrown into a quiz without knowing what you're doing and its trial-and-error until you figure it out.
N,The grammar isn't explained to you at all.
E,You're better off using the website for actual learning and suplementing with the app for practice.
E,Wonderful app.
E,Good community as well
E,Fun way to keep up with practice and to learn new words!
N,"I like how you continuously proceed, whilst simultaneously maintaining what you've already learned."
N,E foarte until !
N,Mersi mult celor ce ne ajuta intr-un mod accesibil sa insusim o limba straina !
N,Just what I wanted !
N,Dank j well!
N,Thanks a lot for this wonderful ap
E,"Easy, convenient."
N,Using it daily helps
P,Love it.
P,This a awesome and cool leaning language app I love this ap
N,Fun.
N,Trying to learn a language(Spanish) for the first time.
N,"And trust me, its really nice the way things are moving."
N,Cheers to team Duolingo.
P,Great job guys.
N,Thanks!
P,Awesome language learning app.
E,It is easy but not that easy.
N,But it makes me feel I can do the impossible.
E,Brilliantly simple.
E,It is easy and fun to use
P,love.
N,"i love  that  it makes  up random  sentences, because  if you ever need to remember its easy to remember from sentences youre not used to,  its improved  my spanish  by a lot!"
P,Good ap
P,Excelent app.
E,"Eu sou Gabriel, and this is a very useful app to learn portuguese."
N,Languages.
P,Effing love it.
N,Languages.
N,For free.
N,Learning a new language Make you Smarter!
R,"Great aplication, if you want to learn a new language beside English, this app will help you do it, I hope you ad grammar section to the ap, to check the grammatical rules"
P,Awesome.
E,Learning the french is awesome
P,It is very good learning app.
R,It would be better if you will provide small theoretical tutorials before every chapter.
R,It would become easier to learn for beginners.
E,Practical part of the app is best but lags in theory.
E,Wonderful.
E,It is easy to use.
P,Perfect learning tool.
E,Sweet!
N,Vous est belle.
N,J taime.
N,Embrasse moi.
N,Variety.
N,"You have 18 linguas,  french spanish german russian and more !"
E,"Also it's very fun , makes learning like a game , ich mag duolingo und ich brauche , me gusta duolingo !"
P,Love it.
P,I like it
N,It is not installed.
N,When i tried to install this app it shows error.
P,Awesomeness.
P,Totally awesome
E,Great language app - simple and convenient
E,It is easy learning i like iy
P,Best app.
N,I loved this app very much because I can learn more languages from this app thank you for this ap
P,The best course I have ever used
N,Please help.
B,My internet stops when the aplication is open
N,Japanese.
E,Duolingo is a best app to learn a language as easy.
N,Most of duolingo users include me wants to learn Japanese.
N,Please work on it.
N,Thanks.
N,Almost.
E,It is very useful app if you are starting from the very botom.
E,"The only problem is that, some questions are repeated very often."
N,"Aside from that, very nice"
E,So simple.
E,It is very well rounded!
P,Love it
N,What an ap
P,Awesome.
R,Learning a lot however I think the phrases should be placed a bit earlier
P,Love it.
P,Love it
N,Muchos gracas i really like it i know a lot already
N,Ok for what it has
E,So fun!
P,"Love this ap, it's so much fun."
E,Careful it's prety adicting but I feel like I'm learning a lot!
E,Prety thorough.
E,Gives great lessons.
P,Prety cool.
E,Great practice exercises in app too.
N,Why.
R,Why there is no Arabic language .
R,guys can you ad Arabic language.
R,you should put all languages if you really want this app to be successful!
R,I wish it had Japanese.
R,"Also, the Irish doesn't really have audio, or any speaking pratice like the others do."
E,"Other than that, this app makes it fun and easy to learn the languages they do have."
E,Adicting and makes learning fun!
N,"Starting off reviewing German, a language I studied in my youth."
E,The app is fun and uses video game like mechanics and an experience point system of rewards to keep you interested and practicing.
N,As you learn new words the app keeps older words in the mix and keeps track of when you start to forget them.
N,"Your ""power"" for mastery of those words that you start to forget drops and you should go back and review to boost your power back up."
N,"DuoLingo provides multiple modes of learning - hearing the words in context and having to repeat them audibly into a microphone, writing the English or German equivalent translations for phrases, completing sentences, flash card based practice, and an interesting translation section called ""Immersion"" where you can translate user suplied articles in real time with other learners, providing feedback on each other's translations one sentence at a time."
E,There are also feedback and forum sections to dispute or discuss the relative merits of each question you are presented with.
N,sehr gut.
N,ich liebe Dualingo :)
P,Awasome app.
N,Thanks!
R,"Good lessons, would love more languages."
N,This app gets you using a language in a structured way.
E,It is fun to use!
E,It is very challenging.
N,Duolingo.
E,This is a wonderful app.
E,It makes the words used in everyday language easy to pronounce and within the right context.
N,It also helps with memorization.
P,Most amazing language game I have ever platera!
E,It works so well.
N,"At first I didn't think this app would work oh how I was wrong this app has helped me with my French and German ,you can use it anywhere too."
P,Quite good.
N,Duolingo.
P,Best app for language learning I've ever tried.
E,Fun and engaging!
N,Fin language learning.
P,"Good for beginners, great app."
P,Great Ap.
E,It is very easy to use and creative ways to get you interested in learning a language.
P,Loved it
P,Love it.
P,It is a great app to learn other languages.
E,Easy.
N,I like being able to slow down the recording so you can hear it better.
R,Unknown words can be highlighted to refresh your memory and give translations.
N,These features aren't even available in Roseta Stone.
P,Great way to learn.
E,"It is very inpressed with this app - good teaching method, Creative, Visual and Professionally put together."
P,Love this ap!
N,It works!
P,Love it.
N,I have used Roseta stone before and I prefer this app.
N,It makes learning prety easy.
N,Highly recommended!
P,So far so good.
N,I am reviewing my French so things are a litle too basic for me even with a placement test.
N,"Will start a totally new language soon, and then I'll see how it works from zero level )"
E,Helpful.
E,"I learn French and this is so useful, though it may be laging at some times."
E,And the discussion rooms and the report section are also helpful.
R,Please focusing on Indonesian language because I found it interesting.
N,"Thank you, Duolingo Team :)."
P,Love at first sight.
N,Just got it today but am already loving it!
E,This app is not only educative but a funny one too.
P,Love it.
P,Best app for learning!
E,Incredible.
N,As good as you can get without having a human teach you.
N,And for free
E,Full features and free!
N,"Duolingo is helping me improve vocabulary in fluent languages (Spanish), and learn new languages (French) quickly."
P,Exelente aps.
N,Una exelente app pero aveces  salen errores que se deberian corejir
P,Love it!
N,Duolingo keeps my spanish sharp and helps me work towards my life-long goal of becoming fluent.
N,Great way to learn language!
P,Great Ap.
P,One of the best free aps ever.
N,"I love how much you can learn on it, I especially love that you don't need internet"
P,Great ap!
N,"I don't know if this would make sense if I didn't take Spanish in high school, but for me this app is perfect."
N,I'm learning.
P,Great.
R,I wish they elaborated more on lessons with the answers.
R,Otherwise a great start for me on my quest to learning a 2nd language.
E,The diversity of the lessons is very helpful.
P,Love it.
N,I'm not really far in the lessons but I just love how it has a whole lesson plan.
N,It has also helped me to of course learn more Spanish.
P,Amazing.
P,Lovin it.
N,Inspired.
N,I love how you go through one level at a time when you can and at your own pace.
N,"Besides that, you can learn as many languages as you want by ading another coarse."
P,Awesome.
E,Really easy and comfortable.
N,Makes learning a new language something smooth.
P,It's awesome.
N,It seems to be doing the trick
P,Amazing.
