R,Bring back month view!
R,No monthly view on smartphone makes it useless
R,Bring back month view.
N,Ap is nice.
E,Looks and feels smooth.
R,However a month view is a necessity!
E,"The month preview is nice, but it doesn't cut it."
R,I wish it displayed the color of the events rather than just grey.
R,Also a widget with month view would be nice.
P,Love it.
P,Awesome
N,1080p screen =/=> 5 days!
N,I switched to Today Calendar Pro!
E,The previous versions were wonderful.
E,The updated version of G.C. is backwards with way less options.
E,Cool Calendar
P,Good.
N,"Rarely any issues with it, but when I do it's easy to fix."
R,"Would like to see monthly view, and could have a better 4-day view."
E,"Other than that, it does its job and keeps me organized and syncs prety well."
E,It is not so thrilled any more.
E,It is not syncing and no monthly view?
N,"It was awesome, and it helped me get on track with work."
P,Love!
N,Month View.
R,"I'd give it a 5, but the lack of month view breaks it for me."
E,Looks better than it functions.
N,Why can't I ad an exchange calendar event from my Nexus 7?
N,"I really don't use my gmail calendar for much, and certainly not for anything work-related."
N,"If I need to ad something important to my calendar, I have to pick up my Galaxy S4."
R,Please stop trying to push us to gmail.
P,Loving it.
E,Really good I like the widget that tells me what's going to hapen today and tomorow etc well done like how there's more colors to pick
N,Widget.
R,Would like different widgets for this.
N,It only has a widget for the day.
N,Other than that it is prety good for what I need.
R,Miss the old layout.
R,I liked being able to look at the month view and have some indication what part of the day my apointments were.
E,These circles are no help.
N,Functionally has gone to the wayside in favour of aesthetics.
N,Guys the new update works for lolipop.
N,I am a moto g 1 gen user and so far the lollipop doing great and the google calendar works great in lollipop guys upgrade your  system ASAP
P,Great ap
N,What hapened?
N,"I used to be able to edit single events in a series, but now I have to either change all of them or all future ones."
R,Also no month view and a generally worse experience than the previous version.
E,It is very disapointed in what this app has become.
N,Nice.
P,GOOGLE IS DOING A Great job
N,Greg Otersbach.
B,Stoped working.
B,Events disapear and won't save.
N,I can't use it now and I need a working calendar on my phone.
P,Was good one.
N,With latest updates I am forced to search alternative.
R,Main reason is lacking of month view.
N,The game done changed
E,Looks nice but that's it.
E,It is very prety but completely useless.
R,"No month view, not even a full week view."
E,Pointless graphics take up space.
N,I didn't believe a Google product could be as bad as the reviews said but it really is.
N,Don't bother.
E,Bad update.
R,Calendar can't zoom out far enough to view the entire week on my phone anymore.
