P,Good.
N,But soom time hang out
N,It's very bad.
N,"Srsly it needed wifi to run, I have a picture with a location and I can't locate that location in this program without having wifi why?"
N,What's the point of it if you can't set locations while being offline ?
N,Bored!
R,Need renewal concept more atractive.
P,Excellent.
E,It has been very helpful.
E,Sweet app.
N,Use it all the time
N,Nekib Ahmed.
N,Nice ap
P,good.
N,helper my job.
P,Great.
N,India fine tuning
B,Crashes all the time.
B,After the update I couldn't even start the app.
N,Confuses where I am.
N,Doesn't know the best routes from point A to B.
P,Good.
R,"Wish list: Wikipedia layer, via-points in navigation, navigation with public transit, better change logs."
E,Slower.
E,Improve speed!
N,Exactly what bugs did you fix?
N,Well the update to fix bugs I think caused others and now it barely works at all.
N,"Kind of feel bad for whoever got fired for the last ""update""."
N,It for sure wasn't tested fully on Android.
N,Won't let you type anything (won't bring up keyboard).
E,And just extremely slow overall.
N,Wow.
P,Liked it
N,works great!
P,"A must have,, I use Google maps every day, best app of it's kind !"
B,Keeps saying I'm at different location when I'm home
P,Google maps.
P,Awsome
P,Used to be great.
E,It's not accurate lately and malfunctioning.
E,So slow
P,Worst.
N,"Does not work at all.I have used Google map to travel from Kolkata to puri it was accurate but curently it only keeps saying ""waiting for location"" and does not show any direction as well totally disgusted.Can someone help me with anything better for India"
P,Good.
R,Can try for offline services too.
E,Really useful and good helper when giving accurate directions.
N,It is not bad.
N,Can't change voice for navigation
E,New version very slow on S5.
N,If I downgrade it runs fast.
E,This new version is slow.
E,I downloaded  waze because it was so slow and waze works fast with no problems.
R,No Public Transportation navigation.
N,I can't understand the more updates I receive the worse Google Maps gets.
R,I want all my Navigation features back including public transit.
N,As for viewing times when to catch the bus I use a different app because Google can't find buses on it's maps.
R,If Google had the same features as transit now or any other transit app I would use Google now.
E,All in all the map is geting a lot worse to use.
E,3D maps are not available for my country
B,It doesn't work after update.
N,It does not work after the update on my note 3.
B,Can't Uninstaller and reinstall either.
B,Please fix issues.
N,Worked very well prior to latest update.
P,Good app.
N,Hangs a lot
E,It is very help full aps.
N,I thing that it cool.
N,And it save you time to look at the map
E,It is very useful.
P,Good
P,Great.
E,Very helpfull for the journey
E,Extremely useful.
N,I almost use it daily to reach my new destinations.
E,It is very slow.
E,Location is not able to load with time.while in car/bus.
P,this app is absolutely waste.
N,Closes soon as I start navigation.
E,Slow and was much better before update.
N,Google map.
E,"It's a very useful app , my apreciation to the entire team."
E,GPS not accurated.
E,GPS not accurated after being upgraded to android lollipop and gmaps to the latest version and also very slow compared then the previous one.
P,Excellent.
E,"This is most important and usefull when I am in traveling but onething is missing it was, speed."
R,some navigation map aps show me my traveling speed but google map.don't show it.
R,Ad this feature and keep develop for better performance.
P,Best ap!
N,Google Maps.
P,Awesome ap!
N,It doesn't even slightly work on CAT B15 phone.
N,Can't even find my curent location and I'm in Toronto with tons of service.
N,regreting the switch from iPhone already
N,Most used app.
N,It's showing me the wrong time now.
N,4 hours behind !
N,Fix this!
P,Excellent.
N,It has helped me every time I need
N,maps.
P,very nice
N,Amy.
N,I always loose GPS single when trying to get to a place.
E,And it is very in accurate
P,The best free Map app out there.
R,Just a function request: easy access to stared locations and businesses.
R,It would make comparing business and locations a lot easier.
N,Annoying.
N,Auto update turned off and it still updates 3-4 a day.
E,Unstable.
E,Inaccurate.
N,The last few updates have really downgraded this app.
E,"Location is inaccurate, delayed and droping out"
P,It's good
P,Great.
P,Fantastic .
R,speed cameras would make it  better
B,It does not warking.
B,It does not  warks in tbilisi
N,If it worked I'd give it five.
B,Was working great but after the last few updates I just get popup say its stoped working
N,Google Maps - Ap Review.
P,Amazing app.
