P,Good
N,Much potential.
R,"Needs more refinements- not able to highlight/comment in pdfs, clicking on footnote references seems you to back pages instead of a pop up."
R,Wish I could use one eReader instead of jumping to many different ones.
R,For reading it's great but for studying - needs more features.
N,Like just litle.
N,I don't way I like this
E,Love the books
N,Opo joy.
P,This app is so good.
N,because it look like a true book.
P,I love it so much.
N,Don't like to get aps i don't want
N,Wrost online reading Ap.
N,At first they say its free then why are they asking for credit/debit no.
N,and all the relevant about it.
N,That's no mean at all.
N,Try another app like kindle.
N,Nice Ap!
N,Nice app.
P,Good
P,Great Google
P,Great app.
E,This update has greatly improved navigation with skim mode.
N,YOUTUBE.zh&k. A1/12FEar
N,Like it.
B,Fix bookmarks.
B,Once a bookmark is placed you have to press remove bookmark around 10 times before it actually goes away
R,Need search feature.
R,Search feature Like page search or chapter search is needed  Still from my side 5 star
N,Google play books.
P,It is a good ap
P,Good
N,Google books.
P,I would die without this!
N,Literally!
E,It is helpful but.
N,The books taged free are not actually free why?
N,Google Books has come a long way.
N,"I started using the app again once I was able to use ts, upload my own books and sync with all my devices."
E,"Unfortunately, the uploader can be bugy and doesn't suport certain file types, but it's a good start."
E,Now my main concern is the library and sorting.
R,"There are no book shelves, no way to group books into categories, and no way to edit book titles and covers."
E,"The recents tab is good, but not enough if you have a lot of ebooks."
R,"Also, it should give a message if you're uploading a book that's already uploaded."
E,Poor performance.
B,Couldn't upload any PDF files despite repeated atempts.nd downloads are taking hours together and no 3d page turning.
B,app stops abruptly while reading
N,Forced installed app.
R,Wish I could uninstall
R,Need more functions.
R,Why can't i underline?
N,Surely!
R,Some advance seting options required.
R,PLEASE CONSIDER THIS.
R,"I request you to ad these two features to make everyone's specially mine, reading experience a very pleasant one 1."
R,Ad offline dictionary because keeping data on always drains lots of batery.
B,"When long clicked on a word, it shows the definition, but it is not allowed to be copied."
R,PLEASE PLEASE PLEASE PLEASE Ad this feature because it will help me in my preparations of MBA.
N,"For every word I don't understand,  I copy it's definition and ad it as a note to the world."
N,I have wrote you an email too
E,Could use the ability to place the books where I want them on this app but otherwise it's very simple and easy to use
B,Bug.
E,Really annoying one.
B,"When I go to read a book I uploaded, sometimes it freezes in the midle of a chapter, and it only loads that one page, nothing before or after."
N,ArmagedonIt.
N,Now.
P,Excellent.
P,The best one for me.
E,"Simple, very useful tools and the best part : full syncrhonization across all my devices."
N,A must for assiduous readers.
N,Why?
N,Kindle and Nook are more than enough reading aps.
R,"More unwanted crap being forced onto people, should be illegal."
N,Baik.
N,Membaca merupakan mengabungkan antara 1 huruf ke huruf lain sehinga membentuk suatu KATA
N,Yay.
P,Love it
N,Minecraft.
P,This game is my favorite game ever
N,Wonderful.
P,Oh great it is very very great
N,terbaik.
N,terbaik
N,Very nice.
N,Very well
N,Ok.
N,Nice
P,Excellent.
P,Best eBook aplication
P,Loving it.
E,I just became an ebook reader and I'm loving it the free books that I get and it easy on the eyes to read the book
E,Love the look use and feel but.
N,It takes days to process one book in eoub format
N,Gautam Singh.
N,The aplication so very nice friends
P,Grt.
P,Good
P,Loved
N,kiya khub lagti hoo
P,Good
P,Excellent!
P,Good.
E,Useful
N,Hunger games.
N,Voice
P,Love it.
E,"Simple, fresh, and fast"
P,:D best Reader.EVER.
P,Hands down the best reader ever.
E,"and here comes the best update yet, of the best reader ever!"
N,Thrilled :D
P,Good ap
N,Glitches.
B,Problems since latest update with study highlight jumped around page  as soon as you turn the page.
N,Overall love the update but this glitch makes it impossible to trust for study purposes anymore.
N,offline.
N,why is it i need a connection to open my offline books.
N,it work fine before the update.
P,Very good but.
B,"Very good, however there is qn annoying bug with ts."
E,The text read outloud is highlighted block after blocj
N,10th anniversary.
B,"I bought this book a while ago and thought I would read again, however it won't let me get past the first chapter I have done everything it says in the help section but still nothing."
N,Any ideas what I can do next as there are no contact details
R,No connection?
R,No books.
N,Even downloaded titles will not load if I open the app in the subway.
N,You need to open it while connected to be access to your titles.
P,Awful.
N,Why download the title if it can only be opened while connected?
P,Best
E,Blank pages.
N,I get half a chapter into a book and the pages go blank not very pleased about that
N,Play books.
N,It's too much trouble!
R,"Good, but needs improvement on older devices."
P,Extremely good app.
E,The feature set is impressive.
R,Ability to organise books would be great.
E,"Only annoyance is that books download for offline reading extremely slow, even on wifi (with good internet speed)"
N,First Time.
R,Need Improvment For The Futurea
P,Love it
P,Love it
N,Unwanted
P,Amazing
N,Bookmark.
B,"Please fix the bookmark glitch, it's ridiculous you have to 'remove' it 7 or 8 times before it finally stays off.then clear the app and return to find it has not saved your last place but wherever the bookmark decided to drop itself again"
N,HOW do I UN-INSTALL THIS SHEET!
P,GOOD.
N,Nice
N,Not uploading.
N,Not uploading the epubs
N,Collections next?
N,Keeps improving
E,Love the new version
N,Play Books.
E,Nice update can't get enough
R,No need for updation no one uses it
E,I Love this version
P,Lurv it.
N,Yawh man
P,It's to good
E,SLOW.
B,When I open a book I just opened it takes many seconds to open.
E,Very clumsy.
E,"Rotating screen takes 5-10 seconds to show text, this is with a pinned/downloaded book too!"
E,So slow!
R,Stop forcing us to have this app.
R,We should be able to have a choice to uninstall it completely or to keep it.
R,Please give us this choice.
B,Bookmark bug.
N,The app is fine except for how it takes a good 10-20 taps to remove the bookmark from a page.
B,It glitches out and the bookmark does not disapear.
E,Skim mode is a useless adition.
N,How do we disable it?
P,It's great
N,Night mode.
R,"The new update set the brightness to more than half, this is not a good idea for night reading you guys should bring back the night mode which was available in the old version also to follow system brightness and don't't make it set the brightness."
N,Still crap.
N,Still broke.
N,Still garbage.
N,I changed phones now all my notes and bookmarks take me to the title page.
N,All that time wasted annotating for my exam.
