N,Janete.
N,Thank you :-)
P,Great.
N,Perfect for geting some quick information on movies and TV.
R,Still lacking many elements of a full website experience but still a great app.
N,8.8/10
N,IMDB.
P,Love it.
N,Db.
N,It has what we need.
N,Movie details and allows us to manage our list of movies
R,Good but could be better.
R,you could ad more list of movies thn it will be easy for us to find.
N,Mesage boards.
N,I go to show next 20 and view a thread.
N,I then come out and I am back at the beginning.
N,It is not good when you've pressed show next 20 a few times.
N,It's like groundhog day
E,Great information!
P,Love this Ap.
E,Some of the biographies are short.
N,I get lots of entertainment and information from this app.
E,Too many ads to be usable.
E,With every update Amazon makes the content less accessible and the ads more intrusive.
E,This app is becoming painful to use.
E,"Sadly,  it's still better than the Web site."
P,i love movies i love imdb!
E,new update's just perfect
P,Best movie app ever !
P,Great app .
E,contains all useful information for every movie :)
P,Great.
N,Why does it keep forgeting who I am?
N,Bloody iritating.
N,It is not working on 4.4.
N,Bu
P,Amazing.
P,this is amazing I can watch any trailer for free
E,Lacks way too much functionality you'd find present on the website.
E,Most notably the user reviews section.
N,"Where's the dropdown filter (loved, hated, etc.)?"
N,Where's the pagination?
R,"From an episode page, there's no link to take you back to the series or even a mention of what series it belongs to whatsoever."
N,That's just the tip of the iceberg.
N,Bre bre.
N,It suck you have to pay for everything not one is free
N,So much info in one place.
P,Awesome
P,Best.
P,Best app to search for movie info
P,Love it.
P,All good.
N,Movies.
R,I mean that I want movie not TRAILER because in youtube I can't even watch without wifi!
N,You wrong
E,Message Boards are still not fixed!
B,"When you click on ""next 20 messages"", it automatically opens the first thread in the next 20 and never gives the option to view any other threads."
B,When you close that thread you are back to the first page of message threads.
B,Please fix and I will give 5 stars.
P,Loved this app before the last 3 updates.
N,I have a Samsung S4.
E,It is very useful.
P,Great app for a world that loves cinema!
B,Search stoped working.
B,After I type something in the search box and press enter on keyboard nothing hapens.
E,"Otherwise, its a good app but most important function is broken."
N,IMDb Movie and TV.
N,Don't use
N,Xperia M2.
P,I'm lovin it
P,Lovee.
