N,Dumb.
N,Why do people pay 9$ a month when you can get all these songs for free with Gwhale.
N,Guess millions of people like to waste money.
E,Convenient.
E,Nice anf easy to use.
N,It is a good thing to listen to music on.
P,It is good
N,Otimo
P,Love.
N,Who needs Pandora when you have Spotify
E,Quality sound
P,Best music ap
N,It's gay(hapy gay)
P,Great app.
N,I can find about almost every song i know but there are some good songs cannot find in it
P,Awesome.
N,"Even if you don't pay the $10 charge for unlimited Downloads, this app is still beast with the amazing line of albums"
P,Awesome!
N,Has all of the songs I want!
N,Works great can put the whole album on playlist without trouble
P,I love it
P,Loved it.
P,Nothing wrong love the songs
N,Has EVERYTHING!
P,Best music app available!
R,Awesome app but it needs a feature where you can play exactly the song you want at that time
N,Paid Version.
E,Fantastic student deal!
N,The future of music - why buy a single album when you can buy them all!
P,Amazing.
N,Spot on none like it
N,At my fingertips.
N,I got my jam.
N,and then some.
N,Awkward.
B,"O my tablet I get to skip as many songs as I want but one my phone it is limited and if,I choose one song it will get other songs like Pandora please fix it like I get to do on the tablet"
P,Loved it!
N,I have a question tho.
N,"If I download the premium version of this in another device, can this device also get the premium version of this on the same gmail acc?"
N,"Southborder,  nina"
P,Awesome.
N,Nothing else to say!
P,I love this app its the best app I found for the best music they have wherever you want to listen the sky is the limit just love it thank you so much
P,Cool ap
P,Awesome.
N,Can listen to my favorite music screw pandora
P,It's awesome.
P,I love it
P,Excelente.
N,Pega Pouha
P,"I love it,I could install all of my favourite songs.tnx for this app."
N,loging in.
N,i absolutely love spotify and usually have no trouble with it .
N,i have it on my iPad and my old phone but recently just got a new one and it won't let me log in .
B,"i keep trying and trying but it says an ""eror has occured try again later"" please fix !"
N,Unreal.
P,Love this ap!
N,Swear by it
N,All the music I want is here
P,It's the best!
E,Much beter than Pandora's app.
E,Good Music.
N,It keeps me on track.
P,great ap
E,Endless unwanted advertizing.
R,No opt out of constant advertizing.
N,They don't pay the artist proper for using their music.
N,Spotify is everything that is wrong with Internet radio.
N,Uninstalling.
P,Amazing.
E,Probably one of the best music aps out there with such great quality sound
P,Best music app.
P,Awesome app never had a problem with it
N,The best I've seen in a long time.
N,You should get this ap
P,Best Music Ap Out There.
N,Thumbs up
N,Well .
E,Premium is everything
B,"Nice program, freezes my phone from time to time though"
N,Why can't I download.
N,It music downloader
B,System crushes very often.
B,"System crushes very often  especially after I haven't use it for a while and I need to delete the app and reinstall it for it to work and the problem with that is that all my music that I play offline needs to be downloaded again, pain in the but."
N,Spotify music.
P,Love this ap
P,Great Aps (y)
P,Great.
N,always on time.
P,Great
P,Awesome!
P,Best music app ever!
P,Love it!
E,Use it everyday and it's very reliable.
N,Where are my saved albums?
B,"All my recent saved albums and followed artists just disapear, even without exiting the ap!"
N,"For a ??10 a month service this is absurd, just keeps hapening even after I reinstalled it !"
