N,"I hate my iPad keyboard so much and wish, wish, wish I could use Swift ."
E,So much better than the default keyboard on Android!
E,"THE KEYS ARE WELL SPACED, SUPPORTS THUMB MODE."
N,We can bring the arrow keys and can customise the themes.
E,I have never seen a touch keyboard which is very accurate like shift key.
N,The swipe feature works like charm.
P,"The best touch keyboard, i recommend it."
N,Won't use any other keyboard.
P,Superb keyboard!!!
N,I personally see no difference between samsungs keyboard and SwiftKey.
N,Any time for maltese language?
P,Best keyboard in Android.
P,Great.
N,This keyboard is currently my favorite for my HTC One M8 but  there is only one problem.
B,"The problem is sometime stay it lags when you are typing very fast,  like I do."
P,"Other than that,  this is the perfect keyboard for me."
E,The customizable interface is just the cost things to show my friends and the swipe action is very accurate as long as you're not just swiping around the whole keyboard.
N,4/5 Stars!!
P,Just a great App.
N,This keyboard has a ton of features that make typing easy.
N,"It's not always a ""kiss""!"
N,"Sometimes it's just ""miss""."
E,Many ever so awkward texts were sent.
P,"Otherwise, a great app!"
N,Muito ??til.
N,Principalmente com as palavras que uso no dia a dia.
N,Gostei da nova interface.
N,Por??m n?o dou 5 por n?o poder selecionar manualmente o idioma que quero usar.
N,Vamos fazer uma op??
N,o para isso irm?os.
P,Love it.
N,Make a glow in the dark keyboard... I love this.
N,I simply can't use my phone without it.
N,it made people's life so easy by less typing mistakes :p.
N,Excelente software de teclado com a fun??
N,o swipe + qwerty.
N,"Vale a pena usar, leve e pr??tico."
P,Simply the best....
N,I'm enjoying it.
R,Just wanted to req for aqua color keyboard  az well den i wud definitely  love it ?
N,I  used those keyboard for 1 years.
P,"In all the other keyboards I have tried, this is by far the best one."
N,I can type as fast as I usually do without worrying about autocorrect mistakes.
P,And I'm totally in love with it it's amazing I even got a new tablet and the first download was the keyboard!
N,Thank you SwiftKey team!!!!
N,I miss the numbers you get on top of the Samsung keyboard but it is worth losing this feature.
R,everything is perfect except there is no language option for Japanese.
P,Best keyboard around.
N,Makes me look like a professional typist.
B,Love it but had to go back to stock keyboard because the lag when typing and pop up when switch to another app.
B,"Hope you can fix this, best keyboard app I've tried so far...."
P,It is without a doubt the best way to type on a keyboard more than any other keyboard out there.
P,This is definately the best keyboard to type and predict.
R,"Great with more themes, but I still want more and one could hope it could go for open development."
E,The buttons are to small for my big fingers.
R,Is there a way to make this for larger hands?
N,A lots of language to choose from!
N,Highly recommended .
E,very helpful and smart.
N,swiftkey read my mind while typing.
E,The fact I don't have to switch languages is amazing.
N,Looking for the best keyboard out there?
N,You've got it with this one.
P,Super apps!
N,"So I pay for this, then you make it free."
N,Thx.
E,So much better than the stock Keyboard on my HTC One M8.
E,It's predictions are always spot on.
N,Saves time and typing.
B,I recently keep getting a notification saying choose input method.
N,"When I click into it, SwiftKey is already selected so don't know what the problem is?"
N,Very close to uninstalling... Please do advise.
N,Thanks.
N,These things are horrible for anyone who doesn't swype.
B,It's always deleting words and the only solution is to turn on flow which causes worse errors.
E,SwiftKey use to be good.
N,Now it's pure crap!
P,Love iy.
R,"can get ""Russian Phonetic keyboard"", but with latin (qwerty) letters?"
N,Thx an advance!
E,Love all the options.
N,"Siiiiiiip,  nyaman."
E,I don't know why but this app is alot easier to work with than factory keyboards.
E,Great keyboard layout.
E,Learns how you type and great selection of emoji.
E,I love all the features but I hate how you have to pay to keep the app longer.
R,We shouldn't have to pay!
E,Niceeeeeee love it so much but i need keyboard have numbers and alphabat both ...thix.
P,So far so good.
N,Everything works perfect there's just a little problem.
E,"The emoticon slides are lagging when I go left, right, down and up on my nexus 5."
B,Can you please fix that and I'll give you 5 stars.
P,"The best keyboard UI, I've ever seen."
B,"While writing this sentence too, SwiftKey corrected at least 10 errors of mine!"
N,LOL.
P,Todo perfecto.
P,Love this app.
B,"I like this keyboard, but why it lags when scrolling through the emojis?"
N,I have a nexus 5 so it's supposed to be smooth.
N,I feel so bad when I use other peoples phones it's like instantly you can tell the difference between this and the horrible other keyboards that are made for Android.
P,Love it.
E,Perfectly predicts my style of texting.
N,I cant download it !!
P,Far and away the best of the best!
N,EDIT August 2014 : Just keeps getting better....
N,Can't get over how good it predicts.
E,Flow typing is awesome!
E,Awesome setup and crazy good text predicting.
E,I also like how it is easier than the standard keyboard to input slang.
B,"Samsung Galaxy, Android 4.1.2; about once a week, while using the keyboard, my phone freezes and the only way to get out is to remove the battery."
N,"Only ever happens when the keyboard is in use, in any program."
N,Still happening as of 8/25/14.
E,Very intuitive keyboard.
R,Wish it had swipe functionality like the Google keyboard for swiping through the space bar accurately.
E,And it can be just a little slow as compared to stock keyboard.
N,But even then it deserves the 5 stars.
E,The emoji is in blocks.
R,Maybe it needs some more help.
N,"Used for two months but, went back to Swype."
E,"I get more accurate hits, the trail is smaller, the possible word options is much larger and seems more responsive."
P,Really helps with typing and is awesome overall.
E,I love it and it's functionality.
P,Good.
N,Thanks to team.
R,Tya for add more themes.
R,Could you plz add some glittery diamond ones?
N,Mayb sum pink n purple baby blue n black??
R,Also wud love see grey n pink one.
E,Love how it learns how I type n predicts my words almost flawlessly.
N,N jus as i said im now givn 5 stars!!
R,Tya for the pink&black themes!!
R,Hoping to see sum glittery ones soon!!!
P,Lovn even more!!
P,good keyboard.
P,Jesus Christmas it's annoying.
E,"Also, have to love the daily updates/notifications."
N,Honestly will probably uninstal out of spite.
P,Great.
E,SwiftKey is great at predictions.
E,"Nice layout options, customizable, variety of colors/themes."
E,"Word prediction is great, but as far as autocorrect goes I don't know if it's just horrible or if I'm a sloppy swipe typer."
P,Great!
E,Feature swipe in Bahasa Indonesia is great!
B,"Keeps telling me that ""no language pack is installed"" ."
N,"I keep re installing and have to do this at least twice a day, very tiresome."
E,Well my mobile it s very easy.
N,It's legit.
R,Why dont you provide option to disable it ?
E,Butyful system.
R,Does everything i need with a slick look.
E,Predictive spelling is great but sometimes a bit annoying as with technical jargon.
E,Otherwise better  than the factory text app.
P,Great app really.
E,TERRIBLY annoying.
N,"Kii has  better  swipe word  recognition,  and  isn't  always  trying  to  add words  in  that  I didn't  type."
E,"Got tired of the CONSTANT insertion of spaces, the fact that it seems to ""learn"" typos at a greater rate than actual words, and with the last few updates you can't move the cursor where you want and edit what you are trying to write."
R,No match for Samsung's Swype - still hoping they release a stand alone version of that.
N,Suka.
P,"Excellent,  highly recommended."
P,So amazing.
N,You can type fadt.
E,Never seen such an easy to use and beautiful keyboard ever.
N,So far extremely happy from using this.
N,"I have saved 50000 keystrokes, SwiftKey shows."
P,Awesomeness and what else :).
R,I'm  not a fan of the sound it makes...  Wish there were more options.
P,The feel is grt swipe is awesome  love it.
E,"Always innovating, always accurate on the keystrokes."
N,Doesn't get any better than free either.
N,The first app I install every android phone.
P,This is the best app on the market.
N,6/5.
P,This will be the best app you will install.
N,A must have.
N,Makes the Android keyboard obsolete.
N,It has lots of language... Even Javanese (my region language).
N,"Even it lags a bit, but not a break dealer."
B,It's good freezes though.
N,?.
E,I really enjoy using this app it's fun and quick to use.
N,Exactly.
E,It GA (has) the worst memory and worst intuition ever.
P,Unbelievable.
B,"Like many apps there are bugs, this one has some but its worth!"
E,I love the way it suggest words in my selected languages.
B,"i like the features but my problem is that,  there's no setting in turning on/off pop up letters."
R,it doesn't support multi letters.
P,all in all its great  :)).
N,"Falled in love with it on the very first day I used it, like since 2 years ago."
P,Amazing.
R,"I wish you could also put an auto hide button or feature because my phone only have a 4"" screen and the app takes half of that space."
N,Not too shabby.
P,Love it.
P,Thanks for such a fantastic app.
E,It saves me so much time and is really intelligent at anticipation of my keystrokes.
B,"Good, but sometimes writes the incorrect word after I add space."
N,That really sucks.
N,"Like now I wrote word ""sucks"" added a space and it corrected it to ""sick""."
N,Then I have to go back and edit it.
N,And it happens all the time -.
N,You have all these smart phones but not so smart keyboards.
P,SwiftKey is the perfect answer to keyboard woes especially for people like me with incredibly large fingers.
N,Now I am going to type all the way.
E,The different themes and customisations are really smooth and smart.
N,5 stars from me.
N,Love this product and the fact that you guys always looking to improve more .
R,"I will give it a 5 rating when we get (better use of clipboard on the galaxy s series) , is all it need for now."
R,Please do this and you will make lots and lots of people happy.
N,Thanks.
N,My  typing mistakes are minimal now.
P,Looove.
P,Perfect.
N,Go.
P,Excellent application!
E,Sheiiiram keyboard.
N,For writing texts quicker you really can't beat this app.
N,If you like to use a thousand words then this is the kiddie for you.
E,Absolutely brilliant.
P,Good.
E,Nice keywords with nice colours keyboards?
P,The best.
E,Useful.
E,"Looks a very sleak app and really easy to use - however, I can't download any languages yet, can anyone help?"
N,Obtuvo ko.
P,This is really a great app.
B,"The only problem I've been having is sometimes when typing the active application exits and some other random app opens, it's really weird."
P,Besides that I think this is one of the best keyboards out there.
R,"The one thing it lacks is the ability to *prevent* the text we write in a specific app or website to be sent to the cloud, they use it to improve the quality of the suggestions and such but there should exclusions."
E,Every android users should have this keyboard on their phone... As manufacturers keyboards sucks big time.... Best I love is suggestions... It is as fast as iPhone word suggestions...
E,It has good predictive text.
P,The best app ever!
N,Lanat.
P,I love swiftkey keyboard  after the ladt update ??
E,Good autocorrect love it.
P,good.
P,Incredible app.
E,It works so fine and the prediction is very accurate.
N,Thanks dev.
P,Awsome.
N,I have been stuck with this since first time I use.
E,Great app although it takes some time in getting used to the send key compared to the default Samsung ones other than that I love the themes and the accuracy.
E,But the swipe is kinda slow for me compared to the default Samsung swipe.
P,great keyboard app.
P,Gr8 app.
N,First needs some getting use to.
N,After a while it saves a lot of time and reduces typing errors.
P,Great.
N,Nice app...
P,SwiftKey is the best keyboard app.
N,The must have for every android...
P,Loved it really.
N,Just ?
P,loved it and can't live without this keyboard.....
P,Love.
P,Nice app.
B,"Used to be great but now,  many mistakes, types words multiple times, cannot deal with elipses and changes words to make sentences junk."
N,Uninstalling.
P,Have been using this app since I can remember it's the best everyone should get it.
E,Good app but Vietnamese is not very accurate when using flow.
R,"And I want more options such as character size on keyboard,  change key position etc...."
P,Great app.
E,predictions are also very accurate but sometimes app loads  slow.
N,Cool.
P,Best keyboard used so far.
E,Its so neetly designed with cumfy colors that makes you relaxed while typing or texting with no stress.
P,Like this virtual keyboard.
P,Love it.
E,Work very good.
P,Awesome!!!
R,"Needs a little work on the auto spell, but NICE!!!"
P,Every android device I've had this is the first thing I download I love this keyboard!
B,The problem is that it takes a long time to appear.... Yess because of my device.... But irritates alot.... And typing is also sometimes slow......
B,Emojies doesn't works sometimes tooo!!
P,..... Bt its great.
P,I like it.
N,Am also using this keyboard.
E,its a very helpful app.
P,thanks for make this app.I like it very much.
R,If possible can you add Chinese Language.
P,Love it.
E,This app is a little slow at times but does the job!
N,They have really thought  out their keyboard layout and functionality!
N,Well done.
P,SwiftKey is awesome!!
N,5 stars!!!!!
N,"Letter p does not work on my touch, so this app saved my as from buying a new TouchPad, and it's super sweet with suggestions."
N,Nice.
E,Using my HTC One default keypad for purposes of both English and Polish input is an impossible task.
R,"It is the worst part of this phone,  and with SwiftKey the fix took about a minute,  together with configuration and visual adjustments."
N,All the problems I had with HTC Sense is now gone.
N,This app swiftly recognises used language and adjusts it's corrections seamlessly.
P,The best!
N,The only keyboard I use!
E,And now even better with emoticons and lots of new options!
E,And the basic setup is now free!
E,Way better than stock and gives you many customizable options.
E,Something different from others and awesome theme.
N,"Very pleased to have installed it on my smartphone, would recommend it as a worthwhile addition."
N,I used to love your app back when you had Swiftkey X in 2012.
E,Was very smooth and responsive.
E,"Now this, this is just way too slow and lags the heck out of my typing, I believe its the word prediction which is what I had liked your app for before, but it never lagged like this."
P,Disappointing to use.
N,Unbearable really.
N,Worse in facebook mobile site.
N,Had to go back to stock keyboard.
