P,"Amazing, we have to for."
N,It's a simple game really fun and everybody will love it from Amy age.
P,CD.
P,Best aps.
P,It's awesome I like i said I love it.
P,Wow.
N,Game.
N,Play for time pass you will be hapy.
N,Good game.
P,I love this game.
P,Like it.
N,Chachada game .
N,Dear developer many times instill this aps but show insfisiant specs my device.
N,Lo3bibktir hlwi tmpla Run 2.
N,Very fun.
N,No problems.
N,Galaxy S3.
E,Neev 0126point.
N,Aavil.
N,Nice.
P,Temple.
P,Awesome game.
P,Amazing.
P,Nice game.
P,Trololoo.
N,Nice ap my daughter like this game.
P,It's amazing.
P,Awesome.
P,I loved it.
P,Good.
N,CH.
P,T.
N,secrete.
N,Super.
P,Crashes in level 9.
N,Nice game.
P,Just fantastic......
E,Good.
P,Excellent !
P,yehey  by missy.
P,Super.
P,Bhenchod.
P,Good.
P,Superb game.
P,I loved it.
P,Execellant.
N,Love the game.
P,nice ap.
P,Forever games.
N,at.
N,Very adicted to it .
N,I'm John.
N,Nnnice.
P,Super game but what after 10th label how complete 10th label?
N,&lt;3 its okay I guess.
P,Loved it.
P,Good game.
P,I like it too supeer game.
P,The Game is truly like awesome.
N,You get Challenges every time.
P,And fun to play.
E,It's fun and adictive to play.
P,Awesome game.
P,Super.
P,Soo fun.
P,I really enjoyed this game.
N,Good time pass.
P,Awesome.
P,Wast wast wast wast wast.
P,Super.
P,"I love this game really awesome,,,."
P,Love this game Karma Lee look nice .
E,It was the great and most adventures game.
P,It's a cool and awesome game.
P,Game.
N,Wow it freshing.
N,Thank for.
P,it's the best and it's sick.
P,It's OK very good.
P,Great.
E,I AM GOING TO KILL THE PRODUCERS FOR SUCH ADDICTIONS.:-).
P,I like it.
P,Nice game.
P,badest game in my all life.
P,i have been playing this game for a month and this game is just aWseome .... and yeah m really good player as my highest score yet is 14700602 .... and believe or not its my highest score without using any Save Me ......
P,Super best.
P,Half.
N,It's a nice game.
P,Bakwas.
P,Good (y).
P,Wow superb.
P,Super b.
P,Good game.
P,Temple run is amazing but I am rubish at number 1 really good at number 2.
P,Good game but it has no end no mission.
P,It's a good game for time pass.
N,Awe.
N,Bonjo.
N,Nt to bad.
E,I love play store.
P,It's a nice game.i like too......
P,Run and ran.
P,Loved it whatever.
N,It's a nyc game but if the production will provide the another game in free of cost them it will more beter than it!
N,It's so fun.
E,Great endless fun.
E,i love this game.... it keeps me busy always.
E,good graphics and good time consumeing game.
E,Abhi.
N,",well."
N,Good but its stucks a lot.
E,Hfjv.
N,Vary nice.
N,Amazing game.
P,Mann.
N,Going good.
N,My temple run is not giving me daily challenge and weekly challenges.Please do something.
N,Good game.
P,Zeenia RAHIM.
N,It was one of the best games that i play.
P,Nice game.
P,Real adicting game.
P,Very Adictive.
E,Good graphic.
P,Veery.
P,Interesting.
E,Excellent:.
N,Good.
P,Nice game we enjoyed lot.
P,Fantastic note 3.
N,Nice.
P,Very very nice game please trai.
N,This aps is weary nice time pas.
P,We are installed and enjoyed your time.
P,Worst.
N,Good to say good.
N,Love the treasure chest so fun x.
N,Nice game.
P,my 4 and half yr old daughter loves it....
P,I realy like this game bcoz itz very intresting.
P,Good game.
P,Fantastic.
P,Good.
P,Have to improve.
N,I love this game...I am highly adicted by this  game...
P,Good.
P,The best game in play store.
P,good.
P,Aftab khan.
N,Good.
N,Iguana the hibiscus gig v here hub Gogh v)!?
P,~~h.
N,I'm a prince.
N,NICE.
P,"Fun simple game, good time waster."
P,My best games.
P,V.good to play.
N,Change the save me options.
N,Superp.
N,Scintillating.
P,Get it.
N,Running so fast to win.
N,Super.
P,A good game recomended to friends.
N,I love temple run 2.
P,Good.
P,My phone says insufficient storage whiles there is space.
B,Good.
P,Nice game.
P,Excellent.
P,Liked it very much.
N,Great time pass.
P,Very good.
N,Interesting.
P,"Very adictive game, it's awesome."
N,It's really easy to do all you would need to do is try your hardest to make it to the mine and the best.
P,Much beter tham temple run 1 more levles.
R,preety good game liked it.
P,I love this game realy it is amaizing and i never played a good game that is beter than  it.
P,Good game.
P,Ih.
N,Wat to eare.
N,Ok.
N,Runs great on EVO.
N,Unable to download for MotoG.
