N,No thank you.
N,Why do you need every detail about me just to text someone?
N,You wonder why your geting strange calls.
N,No thanks.
N,Do you need WiFi?
P,Good
B,It doesn't work.
N,"I have this app on my iPod, and I just got a phone, but the sim isn't working properly so I wanted to get this app because it works fine on my iPod, but the network connection doesn't work even though I can clearly see I have bars of WiFi at the top -."
N,- seriously fix it and I'll reinstall again
N,Text plus.
E,Wonderful ap
P,The app is great!
P,I love this app because I can do every thing I want.
N,"TeX, talk."
N,Free TeX and Talk
P,Great app.
E,It is easy and simple
N,It works fine
E,"Super slow, bogs down any device I use it on."
E,"But it is a completely free texting service, it just doesn't work as well as it did 3 years ago when I first started using this service."
N,Text plus.
P,AWSOME
N,It's ok.
N,It's okay but it keeps hanging up while we are on the phone
P,LOVE IT.
P,This app is awesome!
P,It works perfect!
P,Loved it so much.
N,This is a great app I can call whoever I want
N,I'm gonna try this.
N,Check it out
N,i try.
N,Try
N,Justin adam.
P,I love this app it is amazing
P,Perfect.
P,It's great
R,It is not allowing to send sms to Indian numbers
N,It worked perfectly when I needed it most.
P,i love it
P,I don't like.
P,I LOVEEE
N,Text plus free calling and texting.
E,This is so easy to use.
N,Buy or earn min for calls.
N,Text for free and your own phone number also free.
N,So anyone can reach you.
R,No strings
P,Love it
R,NaW I can't received pictures at all
N,Won't download.
N,I have plenty of memory but yet it says 'error.
E,Insignificant space on divice'
P,Loving it.
N,New Update.
E,I love the new update its just perfect saves memory saves ram runs a whole lot smoother its just awesome good job text plus :)
P,I like it.
N,"Although it cuts out a lot when calling my mom and it is difficult to hear her, it is a lot better than nothing!"
N,Garbage.
P,No good.
E,It works wonderfully.
P,I love this ap!
N,"I have absolutely no problems with using it, and I would definitely recommend it to anyone."
N,Mike tyson.
N,It's ludacris
N,No one can hear me when I call them!
N,Everything is great EXCEPT no one can hear me when I call them or they call me!
E,This is extremely frustrating!
B,Please fix this BC I have already bought talk time and can't refund!
N,If it's not fixed I will just lose the money and find a better app.
N,Also it have me a crazy number.
N,What is up with that?
N,Yea me
N,Okay.
P,It's alright but kind lags a litle best texting app I've found so far so far though
B,Absolutely rubish doesn't let me text anyone on my phone
N,How d I i delete  my account
N,Can't call out
P,"Great VoiP, but maybe not super stable"
P,The dumbest app.
N,It would not let me put my name because it's telling me that it doesn't have enough characters or that it has characters that shouldn't be there which I spelled it the way my name is so congratulations I'm deleting this app screw you guys I'm going home
P,Best app ever.
