N,Sony experia can't login !
P,But in pc work perfectly ~.
N,??iOS???????????.
E,SO FAST TO DOWNLOAD AND I LOVE WE CHAT MY ID IS ID vi62003 and raj_boy360.
N,Asraf.
N,Asraf
P,like.
P,like
E,Grateful.
P,Great deals amazing offers
B,Cannot log in with Android L..
E,Beter.
N,Loathe it.
N,5.4???ios????????????????????????????????????Go f**k yourself.
P,Super A1 ap.
N,bhopal.
N,s
N,Wechat.
N,Perfect way to stay intouch
P,Cool ap.
P,good.
P,very good
N,Thanks.
N,Thanks fix my problem before this.
N,New ui?
P,Doesn't really like it much
N,It's look like a beetalk.
N,Compare other very nice.
P,Are yar best.
P,Best app never
P,Awesome ap.
N,The best way to talk to Chinese girls.
N,Rajesh.
P,Good......
R,Needs improvement.
R,There should be an option for sharing pictures with only frnds in your list dan keeping it public or private.
N,It's we cheat!
N,I didn't got 60 rupees even after sending stickers daily.
N,Tried to redeem on given dates.
N,They said failed redeemed will be corected after 20 August.
N,But even after many complains I didn't got my  balance.
N,Feeling bring cheated by we chat.
N,Rayhan.
N,Rayhan
P,I love we chat.
P,So good
P,I love this ap.
P,Nice ap
P,Good.
N,call problem.
N,WTH.
N,??????????????????????????????
N,WhatsAp.
N,Game
P,Love.
E,Nice promos
N,Aplication not installed.
P,Loveing it.
P,Cool aplication
P,Good.
P,It's kool to use
N,Alam maya.
N,Mencari
P,Good aps....
N,suka.
N,saya suka wechat sebab dari sini saya boleh membuat bisness tanpa modal.
P,Vere good ap.
P,I so much love it.
N,I recommend it to everyone.
N,Hit.
N,Hit
P,awesome.
N,i have made some new friend and i got girlfriend hehehe
N,Ok.
N,Use.
N,Used
P,Good and Excellent.
R,Need more development.
P,Nd it's amazing.
P,Good.
N,Very much
P,Good.
N,Hyee... Hahahaha
P,Good ap.
N,Apa yang baru nya .
N,Nice aps which can Help to find new friends....
E,Slow download.
E,Hate this because so slow
N,Bugy.
B,It occasionally crashes on my Samsung Galaxy S5.
N,Yolandar.
N,Selamat
N,I can't use voice and video call.
N,almost one week now I can't use video and voice call every time I use it shows eror network try to call later but why the other aplication like Skype is good
N,Nice.
P,Good.
P,Good work
P,Good.
N,where has the andriod design gone?
N,one star till back to android  design
P,Good... Having great time.
R,Please ad last seen option too... And it would b nice.
N,Wen you can able to see .
N,Tat other read our message or not
N,Name.
N,Spiderman
P,like it.
E,Cool and earn.
N,This is coolest app and you can earn money from it
R,No iOS ui pls!
N,WeChat.
P,This was a great.
B,But sometimes can't make a video call but the WiFi or data is in perfect signal.
N,Maybe new version is making problem
P,So good.
N,I have that
N,?????android design?.
N,?????android design?
N,Note 3 user.
N,Cannot using this weechat afta a 1 or 2 days.
N,need to re-install.
E,old version is beter!
E,BAD IMPROVEMENT
N,Wechat.
N,Is a funny aps.
N,and get more friends.
N,while tiz.
P,It's very nice aps.
N,Really?!
N,IOS STYLE ALL OVER AGAIN.
N,Are you devs retarded?
N,Taiko.
N,Tai
N,Wiked!
N,You can talk and call almost every where in the world.
N,Get WhatAp or WeChat.
P,Love it.
E,Extremely useful but extremely slow.
B,"Most of the time slow when surfing Moments, taking too long to open photos or visit profiles."
N,Past Wechat was much faster without speed issues.
N,"Don't think is my galaxy Mega's problem since I keep it clean and speedy at all times, but even tried deleting contacts to see if it improves it."
P,Very nice!
N,360
P,Hi wechat very nice
N,When I tried to voice call.
N,My phone hang.
P,It is cool.
N,Facck.
N,Stup1d aps cannot change my picture profile and my cover.
N,this is sh1t aps...
E,It's  great 'coz it gives  free  recharge.
N,atention.
E,"there is a problem for me to log in and update the moment, it is very very slow and very bad speed."
B,i need to log in and log out again to solve the problems but there are also a problem to log in- very slow /even doesn't moving !
N,Install only for voting in bigboss episode.
N,Rb.
N,Bhaiya te kati chutiya app h
P,Good.
P,Good  ap
B,Can't open!
P,Best.
P,Best aps for video call
P,Good.
N,Fieyrzuera25.
N,Fieyrzuera
P,Great app but.
R,There should be a function of confrence in calling option then it would be a far awesome aplication...Hapy chating :)
N,Chutiya log balance ata hau.
P,It's awosome.
P,I like it
N,Jeevasham.
N,Dsv
N,Always problem.
E,Dear team hi people's nearby location access is not working properly
B,Why can't log in?
E,Stupid~!
E,Poor.
E,This updte to make powerful or power fcking slow?
N,l..
N,friendly....
N,I can't  make video call.
B,Always eror connection.
N,Other app works on same network.
P,Good friend.
N,I  maried but love friend
N,Wechat.
P,Wechat the best
N,Tab 2 p3100.
P,Nice
N,Lolss.
P,Love it
N,Doesn't work.
E,Annoying ads !
N,Just deliver messages.
R,Please don't send ads to me.
N,Ok.
P,Love.
P,I like it!
B,"""BUG"" IN A NEW UPDATE."
B,USER LOGIN CAN NOT BE POSSIBLE WITH VERIFICATION OF FRIENDS PROFILE PICTURE .
N,"BECAUSE , most of friends change their name or profile photos ."
N,I have recently formated my device and now it says login from your old device -    HOW ?
B,PLEASE FIX THIS BUG  ...PLEASE REMOVE THIS FUNCTIONALITY .
B,WE CANT REMEMBER WECHAT FRIENDS EXACT NAME AS THEY DONT KEEP SAME NAME FOR LONGER ...FIX THIS AND I WILL RATE IT 5 STAR .
E,Beautiful future and look grate.
N,But one problem that we can't see that our friends are online or not
N,Kabare kabihanea.
N,Apa khabar semua
N,"No android design, 0 star."
E,"I hate ios design, ugly"
N,Ok.
N,Hmm
N,wechat.
P,good
N,rabish.
N,Chinese have to use it.
P,love.
P,love
P,Good.
N,Chat.
N,I can chat with my friends
E,Slow.
N,Keep updating and never solve the problem
N,Betsey Ludick.
N,"I am new with We Chat but looking at the options giving it is a challenge with ""the new ap"" !"
N,Hahaha.
N,Bagiseechat
N,Solid.
N,Android.
E,Bad speed
E,I love the design.
P,Good job.
N,Just a Chinese tricks to trap the world.
N,Be careful.
P,a very nice ap.
E,It is bit very open chat communication.
N,Very nice to interconnectandcall...
N,Nnn.
N,Hai.
P,I love you
N,WTF.
N,It's an android app godamnit.
N,Not a f*cking iOS ap.
N,Can't you just follow the android design guidelines?
R,Please improve.
N,As promised.
N,As promised.
N,Hi guys.
N,iOS UI.
E,"iOS UI on Android phone, sucks"
P,Love it.
P,Just great ap
P,Great ap.
P,Good ap.
E,NYC update.
N,Top Ap.
E,It's very convinient and easy to talk and voice chat .
R,We're still expecting to upgrade this app equivalent to Skype .
E,To much update.
B,Cannot download the update eror
P,Good.
P,i like it.
B,This ap's server crashes usually.
N,This app deserves 0 star.
N,Don't use it.
P,Good aplication.
N,Hu.
N,so badly .
N,Last seen and online status.
