E,Love the photos.
P,"It's great, best weather app out there."
R,Just wish they had some more towns that are on other weather aps.
N,"And my local weather is London,  although I am 15 miles from London"
P,Very good app.
E,Nice graphics
N,Clock.
R,Clock should change relevant to location.
N,Time remain the same when location is changed.
N,Weather.
N,The sun always shines on TV.
N,Love it its working good as long as it stays that way I will keep loving it
P,GOOD APP.
P,Really love it
E,Accurate.
E,Accurately keeps track of the weather.
B,During the last snowstorm it constantly adjusted the snow fall rate hour by hour.
N,You could see that the severity of the predicted storm was going to be mild compared to what had been expected.
E,I like the small widget too and leaving it to give me the weather of wherever I hapen to be versus assigning a home city.
N,Yahoo weather.
N,Weather ap
P,Amazing ap!
E,This app is so helpful and beautiful !
E,Beautiful UI.
P,"Like it, but."
E,The widget doesn't sync often enough to be relevant.
N,I always have to open the app to get the curent weather.
B,"It frequently forgets my setings for some reason, so I'm constantly having to update those."
E,"Otherwise, I love the layout and functionality."
E,Looks very sleek and modern.
N,Ads.
E,Are ugly.
N,"Nothing against them, they're just not apealing here."
P,Good ap
N,Ads killed it.
P,"Used to be my favourite, ads killed it."
N,"It's bloated, uses a lot  of traffic to download ads every 15 seconds."
B,Because of the ads it force closes.
N,Never hapened before.
N,Sory yahoo.
R,No movement in the maps.
N,It's  10 pm and it's sunshine in green bay?
E,Yes it's indeed a beautiful app.
N,That's the good news.
E,The bad news is it's inaccurate and does not update frequently.
N,The Flickr photos match only big touristy cities not small towns.it's just a big overblown and overated nothing.
N,Ads.
E,Was fine and beautiful without the ads - curent ones are obtrusive and detract from the aesthetics of the ap
P,Love it!
E,Nice good looking ap
P,Great Ap!
N,Does what it's meant to do!
N,Never any issues.
E,Love the background photos.
P,Great job Yahoo!
E,Great interface.
E,I've used several weather aps before and this has by far the best interface!
E,Not a 5-star rating as the widgets are a bit slow and don't update as often as set up!
P,This is perfect guys
N,Podr??a ser mejor.
N,No la cambio porque es genial pero aun queda por mejorar por ejemplo los widgets no funcionan bien.
P,Love it.
E,"Beautiful pictures,accurate weather."
E,Awesome interface.
P,Loved it
N,What have you done with your excellent ap
P,Excellent ap
E,Accurate and easy to use
N,Fix it!
N,After update app is not starting at all!
N,Weather.
E,Very accurate
N,Gak sesuai.
N,Kondisi cuaca yang diberikan seringkali tidk sesuai dengan kenyatan.
N,"Padahal hujan deras, tp di tampilkan berawan."
P,Good
E,"Accurate, with great local scenery."
N,Lost a star.
B,"I had already rated the app and gave 5 stars, but every time I open my phone it bugs me again to rate it."
N,"I have hit no thanks several times to no avail, so I'm downgrading my previous rating."
B,Fix the thing so it quits pestering me please!
E,Great pictures.
E,I like the pictures it gives you as well as the weather information.
R,Would like to be able to rearange my cities
E,Awesomely reliable weather information
P,Good app.
E,I hate ads and yahoo weather seems to have less obnoxious ads than some other weather aps I tried out.
N,Che.
N,Baloch
P,The Best
P,Great ap!
E,I love the animations on this app.
E,Very accurate so far.
P,Good weather app.
E,Like hourly temp display on screen
P,My favorite my favourite app at the moment.
P,Great app and it really does look great!
N,It has in my opinion all of the information that the average person would need for checking the weather.
E,It also seems to be accurate to me.
N,The people who marked it down for lack of information must be anoraks who want to work for the met office ?? I also had the problem with the animations switch not staying on.
N,I was disapointed so left it as still liked it.
N,"When I used it the next day it was working perfectly ? Spoke to soon, has given me the latest update, now the animations buton will not stay set to on again!"
N,Weather It's hot or cold in Houston.
N,I never know how to dress my young one.myself.
N,dress for warm weather under the cold weather in the mornings.
N,this helps determine.
N,hourly forecast.
N,Helps momma to help young lady to stay warm and cool all-day.
N,Everyday.
N,unsatisfactory app.
E,"good design, but prety basic and with annoying ads"
