E,It is easy app to use in or out of town.
P,Good.
N,It is good for foreigner!
E,Helpfull.
N,Really gets you what you need
E,It is easy to use!
P,Great port from website to app.
E,All the important info and reviews laid out in a user-friendly manner.
P,Love it
P,Loving it.
N,It really comes in handy when determining who to do business with.
N,Big help.
P,Best app I have in my phone
E,Handy.
R,It is not bad but hope it gets more user friendly
B,I love this app but sometimes  it doesn't  work.
N,Yelp!
E,It's super helpful when I need to make decisions on plans and purchases.
N,I just don't like you guys
N,It works like a charm for food
P,Good app.
N,Everyone i get a new phone i use this app.
N,Hasn't disapointed me.
R,"Yelp is useful but I wish it was better in some areas, they should have more deals with local businesses"
P,Great app.
R,I only wish they would give you accurate prices
P,Great ap!
E,I love the monacle part of the ap- wiah id discovered it ages ago!
N,Bad.
E,Update is so bad!
R,"No pictures load, what's the point of yelp if you can't see the photos?"
E,So helpful.
N,I'm new to my area and every time I want to try something new I go right to yelp.
N,It's a prety cool app works well no bugs so far
P,Love Yelp.
P,Love thus app.
N,I'm prety adventurous and random so this app helps me find unique food spots in unfamiliar places.
E,I love the coupons I get for checking in.
N,"Great to find what you want, where you are."
N,If you're not using Yelp!
N,"already, fix that failure and download this app immediately."
P,Horible.
N,"Ordered online, food arived and wasn't what I ordered."
N,"Non english speaking woman said ""I don't care"" and hung up."
P,"I use this every day, it's great"
E,It is very helpful.
N,I use it more when looking for new places to visit.
N,Won't dl.
N,It's been installing for 36 hrs now.
N,I restarted it's still saying installing.
N,It does what it needs to do.
E,Useful and intuitive
N,Gets worse by the minute.
N,I'm an avid yelper and always liked this app but recent updates are diminishing my opinion of it.
B,"Too many crashes, pages i used to visit often are now buried in my profile and it takes forever to load."
R,Please restore this app to its previous wonderfulness or I'll be forced to use the Web version.
P,Love this ap!
N,Really cool when trying to find new places.
N,On this aplication I can see the events page.
R,Just wish you could see the pictures you've liked.
P,Prety awesome ap!
N,Nice.
E,Always gives accurate details and descriptions.
E,It is very helpful and very useful!
E,The updated version is OK.
E,I liked the old version more
N,I use it almost daily!
E,"I  enjoy reading many of the reviews and opinions, Yelp is very useful,  the best!"
P,Cool.
P,And awesome
N,It works for me
R,I wish there was a way to filter out food carts from the listings
E,It is very helpful
N,My Go To.
N,For helping me find restaurants
E,Good pointers.
E,I like the sugestions from different people but some are really old and outdated.
P,I love Yelp!
P,And I love this Ap!
N,Never fails for me!
N,Yelp.
P,I swear by my beloved yelp
N,Just started utilizing it.
P,I like it so far.
E,I like the monocle option that shows you places you are near.
E,I also like reading reviews.
E,I enjoy leaving reviews for places especially for pleasant experiences.
E,The not so great reviews will help others I hope.
E,It is very useful!
P,A awesome
N,Filter reviews based on keywords.
N,I don't know when this feature was implemented but i just noticed it.
N,"Click on ""more reviews"" of a business page and at the top is a search box."
N,You can filter the reviews based on any text you type here.
N,This was always on the desktop site but now it's in the app as well!
E,"It is very useful for finding details about parking, specific days of the week, menu items, etc."
P,The app is now perfect.
N,Thank you!
P,Great!
E,It is very easy to use.
P,I love it!
N,"Vanessa's nails sunnyvale, SUCKS!"
N,So glad yelp exists.
N,Some places as for my comment above get so many bad reviews and it's great that the owners can't do anything to change them.
N,Because it makes it an honest place to find and search great places.
P,Good stuff
N,To dye fore.
P,This is great
P,Awesome app.
N,Never lets me down.
E,Best &really Helpful
E,"Easy, Friendly, Helpful."
E,"It is easy to join and use, does not ask for special permissions, people usually give very helpful input."
P,Favorite place!
E,Thank you Debra for your great service.
N,We will see you again
P,Love it!
N,"I'm able to share my experience with business establishments in Crestview, FL online."
P,Good ap!
N,I enjoy this app very much!
N,"I get to check in, meet new friends, write reviews, etc."
N,Your app sucks!
R,I can't write a review and see the words as I type.
N,Lame
N,I redownloaded same bs over again
E,Useful.
N,I always open up yelp before trying a new restaurant.
E,It is easy to use.
R,No email sent.
N,How am I supose to use this app if no email ever gets sent?
N,Owner.
N,Painting conyractor
N,It's really helped with my bad eating habits!
E,Soo helpful.
N,Tells you the best places to go!
E,Helpful love this ap
N,My 2nd bible.
N,I yelp therefore I am.
N,Never leave home without it
N,"I don't  use it often, but find it useful on a couple of occasions when I was on the road  and needed to select a vegan restaurant  in the vicinity."
N,Recent glitches.
B,"Normally love this ap, recently it keeps reseting over and over which is super annoying!"
N,"I use this app for uploading pictures and finding local places, but I still prefer to turn to the computer to type up reviews."
N,An aplication you'll actually use.
N,This app makes posting as easy as making a phone call.
N,I highly recommend it.
P,Love this app.
N,I yelp everything before I check it out
N,Manager.
N,Transportation industry
P,Great ap!
N,Nothing more to say.
E,It is very helpful
N,Always use it.
N,Helps me find food when i need and browse different options.
E,Comes in very handy
E,I apreciate people's food pictures.
N,"Some restraunts have names for their food, and no pictures on menus, that's one way Yelp helps me out."
E,Love this service.
E,Thanks but some reviews are NOT genuine so read up and look at them ALL
E,Best fake review app out there!
N,I downloaded this app when on vacation in a small resort town (where all the restaurants and nightclubs are on the same road.)
N,It became clear to me that there was something up with their reviews.
N,Restaurants with a lot of 1 star reviews were busier than some with 5 stars.
N,The nice 1 star restaurant we ate at didn't even have the item on the menu that one of the 1 star reviewers complained about.
N,Yelp is nothing more than the mob making businesses pay for the protection of their 5 star reviews.
P,Good to go.
N,Good app a lot of information to be had.
N,Couldn't find a place to eat without it.
E,Awesome service for crowd sourcing reviews in an easy to use app with nice maping integration.
N,Unreal.
N,"Literally, Yelp is life."
E,It is very cool.
E,It is very usefull ap
N,It works well.
E,It is easy to find reviews
N,Great way to find restaurants while traveling.
E,An essential tool when visiting a new place.
N,"Where ever we are, I can quickly find a place to eat and see what others say about the place."
P,Fantabulous!
N,(Samsung Galaxy 4).
N,"i wasn't sure about the new way of navigating on this ap,but i'm geting the hang of it!"
E,This is one of my most useful aps!
R,i would give 5 stars if i could figure out how to get my pictures to NOT post  on facebook as i Don't  have that even checked to do so!
R,Response please on how to corect this?
N,People who don't know how to review shouldn't.
N,This is not a place for your yelp business reviews pl.
N,This is a place to rate the yelp app.
N,Think before typing.
N,Other than the fact that thr majority of the yelp app ratings were penned by idiots thus making the true rating of this app unknown I found it easy to use.
P,One of the best aps I've used.
P,I love them all
N,What can I say but YES.
N,From the time that I've started using Yelp it has opened my eyes to the world of food around me.
N,"literally, I can go to any city I would like and find the best of food that is right for my palate without having to leave my car."
N,"All because of one aplication on my phone, thank you you Yelp."
N,"I would sugest this ap, this way of life to any friend I come across."
N,Events.
E,I love the event listings.
E,"I dislike the new, batery draining interface."
E,"Tedious, unthoughtful, aesthetically displeasing design to simply get up-to-date with Google's Material Design."
E,"I dislike having to keep opening the side menu to access what used to be on an apealling, quick, icon-based main page."
E,"If they had wanted to do something new and exciting, they should have developed an atractive and useful widget, not this failure."
N,Drains my batery like crazy when it's running.
E,Disapointed with the new update.
R,"Also, there is no way to turn off auto update."
P,Thee Best Ap EVER.
P,The Yelp app is one of the best aps ever!
E,The restaurant reviews are recent and the wide selection of photos allows you to see the food from a particular place before dining there.
N,These are real photos and not model photos.
E,The reviews are truthful and there's perks to checking in at certain restaurants.
N,I highly recommend downloading this ap!
N,My source for restaurant reviews.
N,I use this app as often as I can.
P,Great Ap
N,It works great.
N,No complaints from me
E,Really Confused.
N,I had heard a lot about Yelp so I decided to download the app and start leaving reviews of some of the places I had been recently.
N,And now they're all not visible on the business page.
N,What a waste of time.
N,I will be deleting the app.
N,The 2 stars is because if it weren't for my reviews being deleted I would actually like this app.
P,Good app.
E,I love the idea but not used enough to be helpful for the areas I travel to
N,Loe being able to look up restaurants and hotel ratings on trips
P,Great app.
N,To have on your phone.
P,Great Ap.
E,This is a very candid app that has helped me avoid some bad places.
N,Yelp app.
P,Love it.
E,It's slick.
P,Love it
R,If it would actually post my reviews maybe I would like the app more.
N,Update.
P,Good update .
E,History of friends check ins are inaccurate.
N,That's the only thing that is broken
P,Great ap
N,Once you yelp you won't stop
P,Love this app.
N,Has help me in more ways than one and has never failed .
P,"Great ap, a lil dumb sometimes."
E,"Search isn't always the best, but geting reviews and discounts is the best part."
N,Yelp.
E,"Yelp is the worst company ever, they are horible for consumers and small business"
N,Yelping it.
N,This app makes me hungry and then helps fill the void
P,Did a+good job  the best recommend to you
E,Reliable.
P,Ap is good.
N,It is not so sure about the reviews though.
P,Love this ap!
