Feature Key,Feature f(i),"Effort(Story Points) t(i,2)","Stakeholder S (1), Value v(1,i)","Stakeholder S (1), Urgency u(1,i)","Stakeholder S (2), Value v(2,i)","Stakeholder S (2), Urgency u(2,i)"
R-C9A310,background eraser,5,5,"(5, 0, 0)",3,"(3, 0, 0)"
R-3AD796,eg layers,5,1,"(5, 0, 0)",1,"(3, 0, 0)"
R-E1649C,made transparent,5,1,"(5, 0, 0)",1,"(3, 0, 0)"
R-E7C15A,settings option,5,2,"(1, 0, 0)",1,"(1, 0, 0)"
R-D1901F,lowers resolution,5,2,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-71,create block library,5,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-68,resize canvas tool,5,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-67,hand tool,5,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-66,rename crop transform tool,0,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-65,color picker fullscreen,5,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-64,color picker library,8,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-63,color input,3,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-62,text stroke option,5,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-47,merge jenkins,5,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-44,merge jenkins,5,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-41,rotating icons example shape tool,3,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-39,menus slide buggy,8,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-35,color picker apply cancel buttons,3,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-34,text tool confirm,2,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-33,merge jenkins limit resources paintroid docker container,5,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-31,jenkins release pipeline,5,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-30,merge jenkins,5,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-29,jenkins avoid gradle clean,5,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-28,jenkins track statistics,5,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-27,refactor tools transformtool,5,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-26,refactor tools cursor,5,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-25,refactor tools pipette,5,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-24,refactor tools filltool,5,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-23,refactor tools importtool,5,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-22,refactor tools texttool,5,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-21,refactor tools stamptool,5,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-20,refactor tools brush,5,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-19,refactor tools linetool,5,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-18,refactor tools eraser,5,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-17,refactor tools shapetool,5,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-16,refactor tools basetool observable,13,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-15,refactor tools modification tools,20,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-14,refactor tools public static variables,13,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-13,refactor tools separate application business logic,40,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-12,refactor tools public static tool state,5,1,"(1, 0, 0)",1,"(1, 0, 0)"
PAINTROID-10,handle android dependencies docker directly,5,1,"(1, 0, 0)",1,"(1, 0, 0)"
