field,fieldtype,from,fromString,to,toString,key,created,author,project
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-164,2020-04-30T14:27:32.878+0200,thomasschwengler,PAINTROID
status,jira,10006,Backlog,10007,Ready For Development,PAINTROID-164,2020-05-10T16:52:57.884+0200,wslany,PAINTROID
Story Points,custom,,,,5,PAINTROID-163,2020-04-30T14:26:41.174+0200,thomasschwengler,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-163,2020-04-30T14:27:25.992+0200,thomasschwengler,PAINTROID
Link,jira,,,PAINTROID-160,This issue relates to PAINTROID-160,PAINTROID-163,2020-05-10T16:41:21.102+0200,wslany,PAINTROID
Link,jira,,,PAINTROID-161,This issue relates to PAINTROID-161,PAINTROID-163,2020-05-10T16:41:21.180+0200,wslany,PAINTROID
description,jira,,"Depends on PAINTROID-160 / PAINTROID-161

Save image at regular intervals, restore on process exit",,"Save image in internal format (including layers, undo information) at regular intervals, whenever the phone is idle in between user actions. 

When the user saves the image and then exits the app in the normal way (i.e., without any additional edits), Paintroid can delete this temporary image data.

Background: 
* This is a two-star feedback of a user on Google Play: ""Айтуар Мұхарам Mar 15, 2020 at 12:50 PM Auto-translated from Russian - The application is good. BUT WHEN I DRAWED THE WHOLE 2 HOURS AT THE LAST MOMENT, THE APPLICATION JUST TURNED OFF AND THE FIGURE HAS NOT BEEN SAVED. And I tried so hard. It was a shame. He just laid. And I deleted it ."" 
* There were other similar reviews also, e.g., ""Spyro The Dragon Mar 8, 2020 at 12:50 AM Auto-translated from Spanish - It is a very good app in general, even without pocket code, but, constantly crashing me for no reason, it is very annoying since sometimes I lose progress in what I was doing or even lose what I was doing completely"". 
* And here's another one: ""Jacob Howie Jan 25, 2020 at 6:19 PM ... if you go off the app (not close it, just visit Google for instance) it will delete your current project."" 

This is also a simple solution for similar such cases, e.g., for Huawei phones with an aggressive battery saving mode as its default.

If we keep two such temporary copies, and only delete the previous one once the current one has been safely saved on persistent memory, there's no danger that data is lost while overwriting of the saved copy. If the saved copy is corrupted after restart, just use the earlier one. Only a single image data needs to be remembered in this way most of the time (besides when a new one is stored, for a short time, i.e., until the new one is safely stored). Once the app is restarted without being called with an image already selected, Paintroid could first check whether such temporary image data is present and is recent (within the last 60 minutes, e.g., maybe after a phone call), and if so, restore it, so that the user can continue from that place. It is also possible to ask the user in a small dialog whether he/she wants to resume, e.g., if the time is more than a minute ago. For below one minute, it should resume without asking --- there's always the option to delete the canvas anyway. It is OK if only the very last actions are lost, which might be unavoidable, but at least most of the work will have been saved and remembered. ",PAINTROID-163,2020-05-10T17:03:03.429+0200,wslany,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-162,2020-04-30T14:20:48.861+0200,thomasschwengler,PAINTROID
description,jira,,Current stamp only allows to add. Cut & paste would allow to also grab and move parts of an image.,,"Current stamp only allows to add. Cut & paste would allow to also grab and move parts of an image.

Stamp tool in fact now becomes a copy/cut/paste tool.",PAINTROID-162,2020-05-10T16:10:53.748+0200,wslany,PAINTROID
status,jira,10002,Issues Pool,10006,Backlog,PAINTROID-161,2020-04-30T14:19:01.408+0200,thomasschwengler,PAINTROID
Link,jira,,,PAINTROID-160,This issue is blocked by PAINTROID-160,PAINTROID-161,2020-05-10T16:31:24.409+0200,wslany,PAINTROID
