,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
0,gp:AOqpTOFHWLkxGK_W6k5V1wxu4E38FiTVDHfuxzvXWeqJ41B6RYKdHk1ZyiADmKOi2wQWZ7TbqAn--lNtGQ6dlA,꧁Pixel_ Kumi꧂,https://lh3.googleusercontent.com/a-/AOh14GgVg7l_yLQ534IiVd-iL5QY7_0CUyrBkIu3o0hIVg,"This is a great drawing app. I thought it was just going to be one of those stupid little doodle apps that serves no purpose but you guys proved me wrong. The only thing I would improve is that you could select and move the image around. Other than that, it is SUCH a perfect drawing app. 100% would recommend. UwU -DragonTales",5,17,2.4.1,2020-04-20 23:09:45,,
1,gp:AOqpTOEnSejmZRPqfNvemJdeQaYqAlbu0PYIULndY8tKlRcARE_F2JiOymHCRiLaoL-jaZdiX4xKJmdSISoLSQ,Hoyden Nova,https://lh3.googleusercontent.com/a-/AOh14GjbJrkViV2Sx94ZTydoVnQql9B-Uf7LvLl7dExxFw,"The only app I've actually sought actively to positively review. I forgot to forever because it never bugged me for one. So I use a lot of art software on my phone, a ridiculous amount, but this is still my standby and tbh fave. It's dead fast, it works, no ads or pestering, it's a lovely little app. It barely leaves a footprint too, it's bloody tiny. Can't hype it enough. Just a wonderful little utility.",5,41,2.4.1,2020-02-22 19:58:39,,
2,gp:AOqpTOGwjYkukgpZUwQBeJMavA6plT3YhR6oHDJnYAVh91yjo1BiGhgs0NukO-uTVivpB9dKU-dAFx8R_2Ae7w,Christopher Robin,https://lh3.googleusercontent.com/-acvibK1tcLc/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclq-Gc_-N6jSmmeLY20hFqbo24Zww/photo.jpg,"The best simple paint\drawing app I've found. It's possible to do some quite complex picture editing with a good range of tools, much more than most simple draw apps offer. Minimal permissions, most importantly no Internet permission and no ads. It would be great to have options when saving. Unfortunately it reduces the resolution and removes the EXIF data (most similar apps do the same), else it would be perfect.",5,28,2.4.1,2020-03-01 15:46:11,"Thank you. Fixing these issues is planned for the future. Sorry, we are just pro-bono volunteers working in our free time on this free open source non-profit project... any help, e.g., as a developer would be highly appreciated. Thanks again for your kind understanding!",2020-04-26 12:30:33
3,gp:AOqpTOEZTbQpMnUcKYrfMfzME1IwDdFCOAQ1ns8zUeoOvcWlbu-TltSfWD8KCykcDoz2d9jye5AV9jVE5V1yrg,Anthony L,https://lh3.googleusercontent.com/-Ycb2ydiHd8I/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmPcJYc6wJEX5PKt8Fff2-nTt049A/photo.jpg,"So nearly a great app. But saving works badly (you aren't prompted to choose a path), and the function i most need (pixel perfect crop) is impossible to use. It zones out every time you select it... and it's impossibly touchy and keeps committing before you've finished adjusting. I tried about 15 times or more before giving up. Real shame as this is almost, otherwise what all the other apps fall to be. (Simple and powerful)",2,7,,2020-03-16 22:34:02,"Fixing these issues is planned for the future. Sorry, we are just pro-bono volunteers working in our free time on this free open source non-profit project... any help, e.g., as a developer would be highly appreciated. Thanks!",2020-04-26 11:31:31
4,gp:AOqpTOEujZDFND-GfMPknXz2koI2_mbFR4pJfJOjDv127TVYLFv8nqranrc0VFQsNBJtPg7yAdAxSYTOFPp3qA,- zeladore -,https://lh3.googleusercontent.com/a-/AOh14Gj7xZunsUvF6FpB4G8PWSq8x9aiSGSzpo1_zr-3,"Surprisingly good! Good job devs, as long as it doesn't end up drowning me in ads or locking out features as it grows, it certainly deserves 5/5!",5,2,2.4.1,2020-04-23 12:43:08,,
5,gp:AOqpTOHDXKVTD4LikQCzvKeK_6t4z6Z6fEL_myAA0oAU0X2PmOnhQbUdb-YA62nosCoGAoG_bX39aoSrPSzpew,SK Boyd,https://lh3.googleusercontent.com/a-/AOh14GjjbSXtyqakTVDMecphMsFS3MijGQ63T7GIQkUMOA,Can't open images to edit in the programme without their being compressed and pixellated - not sure why? I only wanted to draw on screenshots so nothing fancy.,1,0,2.4.1,2020-04-30 08:31:44,,
6,gp:AOqpTOEaLFmexKlD8CyBozjc-EFOaZW6zaX2XRd00aNyVW05Uxdhhq_ZbyZ3c3cXCMIzhrb8eqd9saxMEJHeGg,Baby Kitten,https://lh3.googleusercontent.com/a-/AOh14Gjg-fCkyE7_BjVogxZiGtaT4hoisPubMlzsFfyY,"Only rating 1 star as there is not 0 stars. I try to add an image or a shape, they all disappear. I can easily find a better one.",1,0,2.4.1,2020-04-23 03:52:45,,
7,gp:AOqpTOFDp2pTfVz2TXGvcYsLIWHDAoZQKJlFVMDJkNHCV_YnyEYuqesQH6nwSr1OAmnQ0Moo7K_m0reyuEj_RQ,Dl J,https://lh3.googleusercontent.com/a-/AOh14GiIMc2pQyPxPPVfKT8_QTAH5APhBFcbaph7PtVH,"I too was gonna post something really nice a about this app, until it crashed without an app error message and wiped 2 hours worth of saved work. Load of rubbish. Where is the android design app that works?",1,0,2.4.1,2020-05-03 02:58:43,,
8,gp:AOqpTOEZsWbd09UMHaBvYrVIwA_jLbCejAK6a9Mrh3EDSFpg7wMziav7DSwwV6ILiD_r3kEFjtNDYQ9tFVxbYQ,Danny Velazquez,https://lh3.googleusercontent.com/a-/AOh14Gim2QjcRFzCqsunt2LY7nJT0TdiAVqmzw-fDKAdY0c,honestly I love this app is great and has no ads it's perfect however the only think that I would like to ask is if you could add a future and where you can bend a line,5,2,2.4.1,2020-02-27 12:27:24,Thank you for suggesting this!,2020-04-26 12:33:25
9,gp:AOqpTOGnFBoL1QHCwP9xZDQyD3lc-7OT_iumWUZgw0Uo58AlNOuKsGyYSVtoH0OfkTCMEzng6FwSP_f9asYhaA,Naroath Theam run,https://lh3.googleusercontent.com/-F7V2HVZzS7c/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuclWUe2fipwbDFYPMmgKcLnc1USbaA/photo.jpg,"It is useful, but when select anything , it make the background so dark that is not necessary.",3,0,2.4.1,2020-03-26 13:51:56,Good idea! We will change it. Thank you!,2020-04-25 19:43:15
10,gp:AOqpTOEGzOxob9f6FKMQynmKhZm0Z9Cok3kKVUnFmoL3QpR2yF3KP_RtUMxAldvaIWOHexHtSElqMmHkHV6wrg,Tom Thomas,https://lh3.googleusercontent.com/-5RlPqyUtaGw/AAAAAAAAAAI/AAAAAAAAAAA/AMZuuckBWZY3cS_NEgDEwQQJFnkMjtYN6w/photo.jpg,"This app is under rated. It has good features for drawing, allows layers and doesn't have alot of invasive, unnecessary permissions. It was also easy to export my pics from the app to my device folder. I'm glad I found it.",5,7,2.4.1,2020-01-01 00:44:55,,
11,gp:AOqpTOH4vZfWvQUMHi2dj6qYyrIW2Ck5Q_KG2yrmYpm7jKZCuRWzcWxKiZhC_Pxzi_HnOGXg84qhWmAVQNtKww,Ryan Haskin,https://lh3.googleusercontent.com/-Zg4ZGq_NUI0/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucn1QD9XWhD281dH0GFY3JAxjzdr7g/photo.jpg,"incredible. one thing i would like to be improved is the option to stop the camera from scrolling to follow your finger, it can lead to messy or overly long lines. when you move your finger too close to the edge of the screen, i would like it for the picture to stay still. thats my only complaint though, great app, perfect for drawing a good amount of detail!",5,16,2.1.2,2018-12-04 08:54:02,,
