,class,sentence,at,char_grams,content,dep_tree,parse_tree,pos,repliedAt,replyContent,reviewCreatedVersion,reviewId,root,score,tagged_sent,thumbsUpCount,userName
0,,"Exactly what I was looking for ... .just a simple , straight forward 'draw/write on photo ' app .",2019-04-09 21:48:11,"['Ex', 'xa', 'ac', 'ct', 'tl', 'ly', 'yw', 'wh', 'ha', 'at', 'tI', 'Iw', 'wa', 'as', 'sl', 'lo', 'oo', 'ok', 'ki', 'in', 'ng', 'gf', 'fo', 'or', 'r.', '..', '..', '..', '.j', 'ju', 'us', 'st', 'ta', 'as', 'si', 'im', 'mp', 'pl', 'le', 'e,', ',s', 'st', 'tr', 'ra', 'ai', 'ig', 'gh', 'ht', 'tf', 'fo', 'or', 'rw', 'wa', 'ar', 'rd', ""d'"", ""'d"", 'dr', 'ra', 'aw', 'w/', '/w', 'wr', 'ri', 'it', 'te', 'eo', 'on', 'np', 'ph', 'ho', 'ot', 'to', ""o'"", ""'a"", 'ap', 'pp', 'p.', 'Exa', 'xac', 'act', 'ctl', 'tly', 'lyw', 'ywh', 'wha', 'hat', 'atI', 'tIw', 'Iwa', 'was', 'asl', 'slo', 'loo', 'ook', 'oki', 'kin', 'ing', 'ngf', 'gfo', 'for', 'or.', 'r..', '...', '...', '..j', '.ju', 'jus', 'ust', 'sta', 'tas', 'asi', 'sim', 'imp', 'mpl', 'ple', 'le,', 'e,s', ',st', 'str', 'tra', 'rai', 'aig', 'igh', 'ght', 'htf', 'tfo', 'for', 'orw', 'rwa', 'war', 'ard', ""rd'"", ""d'd"", ""'dr"", 'dra', 'raw', 'aw/', 'w/w', '/wr', 'wri', 'rit', 'ite', 'teo', 'eon', 'onp', 'nph', 'pho', 'hot', 'oto', ""to'"", ""o'a"", ""'ap"", 'app', 'pp.', 'Exac', 'xact', 'actl', 'ctly', 'tlyw', 'lywh', 'ywha', 'what', 'hatI', 'atIw', 'tIwa', 'Iwas', 'wasl', 'aslo', 'sloo', 'look', 'ooki', 'okin', 'king', 'ingf', 'ngfo', 'gfor', 'for.', 'or..', 'r...', '....', '...j', '..ju', '.jus', 'just', 'usta', 'stas', 'tasi', 'asim', 'simp', 'impl', 'mple', 'ple,', 'le,s', 'e,st', ',str', 'stra', 'trai', 'raig', 'aigh', 'ight', 'ghtf', 'htfo', 'tfor', 'forw', 'orwa', 'rwar', 'ward', ""ard'"", ""rd'd"", ""d'dr"", ""'dra"", 'draw', 'raw/', 'aw/w', 'w/wr', '/wri', 'writ', 'rite', 'iteo', 'teon', 'eonp', 'onph', 'npho', 'phot', 'hoto', ""oto'"", ""to'a"", ""o'ap"", ""'app"", 'app.']","Exactly what I was looking for....just a simple, straight forward 'draw/write on photo' app. It's not fancy or complicated at all, but it does offer you some basic options such as color, brush size and shape, etc. It also has a background eraser, which is handy. And it's a tiny app, too. A+ app😊","ROOT-VBG-nsubj-PRP-aux-VBD-prep-IN-punct-NFP-ROOT-NFP-ROOT-VB-det-DT-amod-JJ-punct-,-punct-``-nmod-NN-punct-SYM-prep-IN-punct-.",ROOT-FRAG-S-NP-.-NP,"RB-WP-PRP-VBD-VBG-IN-:-VBP-DT-NN-,-RB-RB-VB-IN-NN-''-NN-.",,,2.3.1,gp:AOqpTOGzrRRmEXTRrSz-W6H3DtfNqoemagSdaLRz3qF5TSRq_rIWxZOmjcjjpu1nJksi1a7z3UCbLIJVWm-yRQ,looking,5.0,"[('Exactly', 'RB'), ('what', 'WP'), ('I', 'PRP'), ('was', 'VBD'), ('looking', 'VBG'), ('for', 'IN'), ('...', ':'), ('.just', 'VBP'), ('a', 'DT'), ('simple', 'NN'), (',', ','), ('straight', 'RB'), ('forward', 'RB'), (""'draw/write"", 'VB'), ('on', 'IN'), ('photo', 'NN'), (""'"", ""''""), ('app', 'NN'), ('.', '.')]",16.0,Aileen Reinstadler
1,,"It 's not fancy or complicated at all , but it does offer you some basic options such as color , brush size and shape , etc .",2019-04-09 21:48:11,"['It', ""t'"", ""'s"", 'sn', 'no', 'ot', 'tf', 'fa', 'an', 'nc', 'cy', 'yo', 'or', 'rc', 'co', 'om', 'mp', 'pl', 'li', 'ic', 'ca', 'at', 'te', 'ed', 'da', 'at', 'ta', 'al', 'll', 'l,', ',b', 'bu', 'ut', 'ti', 'it', 'td', 'do', 'oe', 'es', 'so', 'of', 'ff', 'fe', 'er', 'ry', 'yo', 'ou', 'us', 'so', 'om', 'me', 'eb', 'ba', 'as', 'si', 'ic', 'co', 'op', 'pt', 'ti', 'io', 'on', 'ns', 'ss', 'su', 'uc', 'ch', 'ha', 'as', 'sc', 'co', 'ol', 'lo', 'or', 'r,', ',b', 'br', 'ru', 'us', 'sh', 'hs', 'si', 'iz', 'ze', 'ea', 'an', 'nd', 'ds', 'sh', 'ha', 'ap', 'pe', 'e,', ',e', 'et', 'tc', 'c.', ""It'"", ""t's"", ""'sn"", 'sno', 'not', 'otf', 'tfa', 'fan', 'anc', 'ncy', 'cyo', 'yor', 'orc', 'rco', 'com', 'omp', 'mpl', 'pli', 'lic', 'ica', 'cat', 'ate', 'ted', 'eda', 'dat', 'ata', 'tal', 'all', 'll,', 'l,b', ',bu', 'but', 'uti', 'tit', 'itd', 'tdo', 'doe', 'oes', 'eso', 'sof', 'off', 'ffe', 'fer', 'ery', 'ryo', 'you', 'ous', 'uso', 'som', 'ome', 'meb', 'eba', 'bas', 'asi', 'sic', 'ico', 'cop', 'opt', 'pti', 'tio', 'ion', 'ons', 'nss', 'ssu', 'suc', 'uch', 'cha', 'has', 'asc', 'sco', 'col', 'olo', 'lor', 'or,', 'r,b', ',br', 'bru', 'rus', 'ush', 'shs', 'hsi', 'siz', 'ize', 'zea', 'ean', 'and', 'nds', 'dsh', 'sha', 'hap', 'ape', 'pe,', 'e,e', ',et', 'etc', 'tc.', ""It's"", ""t'sn"", ""'sno"", 'snot', 'notf', 'otfa', 'tfan', 'fanc', 'ancy', 'ncyo', 'cyor', 'yorc', 'orco', 'rcom', 'comp', 'ompl', 'mpli', 'plic', 'lica', 'icat', 'cate', 'ated', 'teda', 'edat', 'data', 'atal', 'tall', 'all,', 'll,b', 'l,bu', ',but', 'buti', 'utit', 'titd', 'itdo', 'tdoe', 'does', 'oeso', 'esof', 'soff', 'offe', 'ffer', 'fery', 'eryo', 'ryou', 'yous', 'ouso', 'usom', 'some', 'omeb', 'meba', 'ebas', 'basi', 'asic', 'sico', 'icop', 'copt', 'opti', 'ptio', 'tion', 'ions', 'onss', 'nssu', 'ssuc', 'such', 'ucha', 'chas', 'hasc', 'asco', 'scol', 'colo', 'olor', 'lor,', 'or,b', 'r,br', ',bru', 'brus', 'rush', 'ushs', 'shsi', 'hsiz', 'size', 'izea', 'zean', 'eand', 'ands', 'ndsh', 'dsha', 'shap', 'hape', 'ape,', 'pe,e', 'e,et', ',etc', 'etc.']","Exactly what I was looking for....just a simple, straight forward 'draw/write on photo' app. It's not fancy or complicated at all, but it does offer you some basic options such as color, brush size and shape, etc. It also has a background eraser, which is handy. And it's a tiny app, too. A+ app😊","ROOT-VBZ-nsubj-PRP-neg-RB-acomp-JJ-punct-,-cc-CC-conj-VB","ROOT-FRAG-NP-NP-,-NP","PRP-VBZ-RB-JJ-CC-VBN-IN-DT-,-CC-PRP-VBZ-VB-PRP-DT-JJ-NNS-JJ-IN-NN-,-NN-NN-CC-NN-,-FW-.",,,2.3.1,gp:AOqpTOGzrRRmEXTRrSz-W6H3DtfNqoemagSdaLRz3qF5TSRq_rIWxZOmjcjjpu1nJksi1a7z3UCbLIJVWm-yRQ,'s,5.0,"[('It', 'PRP'), (""'s"", 'VBZ'), ('not', 'RB'), ('fancy', 'JJ'), ('or', 'CC'), ('complicated', 'VBN'), ('at', 'IN'), ('all', 'DT'), (',', ','), ('but', 'CC'), ('it', 'PRP'), ('does', 'VBZ'), ('offer', 'VB'), ('you', 'PRP'), ('some', 'DT'), ('basic', 'JJ'), ('options', 'NNS'), ('such', 'JJ'), ('as', 'IN'), ('color', 'NN'), (',', ','), ('brush', 'NN'), ('size', 'NN'), ('and', 'CC'), ('shape', 'NN'), (',', ','), ('etc', 'FW'), ('.', '.')]",16.0,Aileen Reinstadler
2,,"It also has a background eraser , which is handy .",2019-04-09 21:48:11,"['It', 'ta', 'al', 'ls', 'so', 'oh', 'ha', 'as', 'sa', 'ab', 'ba', 'ac', 'ck', 'kg', 'gr', 'ro', 'ou', 'un', 'nd', 'de', 'er', 'ra', 'as', 'se', 'er', 'r,', ',w', 'wh', 'hi', 'ic', 'ch', 'hi', 'is', 'sh', 'ha', 'an', 'nd', 'dy', 'y.', 'Ita', 'tal', 'als', 'lso', 'soh', 'oha', 'has', 'asa', 'sab', 'aba', 'bac', 'ack', 'ckg', 'kgr', 'gro', 'rou', 'oun', 'und', 'nde', 'der', 'era', 'ras', 'ase', 'ser', 'er,', 'r,w', ',wh', 'whi', 'hic', 'ich', 'chi', 'his', 'ish', 'sha', 'han', 'and', 'ndy', 'dy.', 'Ital', 'tals', 'also', 'lsoh', 'soha', 'ohas', 'hasa', 'asab', 'saba', 'abac', 'back', 'ackg', 'ckgr', 'kgro', 'grou', 'roun', 'ound', 'unde', 'nder', 'dera', 'eras', 'rase', 'aser', 'ser,', 'er,w', 'r,wh', ',whi', 'whic', 'hich', 'ichi', 'chis', 'hish', 'isha', 'shan', 'hand', 'andy', 'ndy.']","Exactly what I was looking for....just a simple, straight forward 'draw/write on photo' app. It's not fancy or complicated at all, but it does offer you some basic options such as color, brush size and shape, etc. It also has a background eraser, which is handy. And it's a tiny app, too. A+ app😊",ROOT-VBZ-nsubj-PRP-advmod-RB-dobj-NN-punct-.,ROOT-FRAG-S-FRAG-.-NP,"PRP-RB-VBZ-DT-NN-NN-,-WDT-VBZ-JJ-.",,,2.3.1,gp:AOqpTOGzrRRmEXTRrSz-W6H3DtfNqoemagSdaLRz3qF5TSRq_rIWxZOmjcjjpu1nJksi1a7z3UCbLIJVWm-yRQ,has,5.0,"[('It', 'PRP'), ('also', 'RB'), ('has', 'VBZ'), ('a', 'DT'), ('background', 'NN'), ('eraser', 'NN'), (',', ','), ('which', 'WDT'), ('is', 'VBZ'), ('handy', 'JJ'), ('.', '.')]",16.0,Aileen Reinstadler
3,,"And it 's a tiny app , too .",2019-04-09 21:48:11,"['An', 'nd', 'di', 'it', ""t'"", ""'s"", 'sa', 'at', 'ti', 'in', 'ny', 'ya', 'ap', 'pp', 'p,', ',t', 'to', 'oo', 'o.', 'And', 'ndi', 'dit', ""it'"", ""t's"", ""'sa"", 'sat', 'ati', 'tin', 'iny', 'nya', 'yap', 'app', 'pp,', 'p,t', ',to', 'too', 'oo.', 'Andi', 'ndit', ""dit'"", ""it's"", ""t'sa"", ""'sat"", 'sati', 'atin', 'tiny', 'inya', 'nyap', 'yapp', 'app,', 'pp,t', 'p,to', ',too', 'too.']","Exactly what I was looking for....just a simple, straight forward 'draw/write on photo' app. It's not fancy or complicated at all, but it does offer you some basic options such as color, brush size and shape, etc. It also has a background eraser, which is handy. And it's a tiny app, too. A+ app😊","ROOT-VBZ-cc-CC-nsubj-PRP-attr-NN-punct-,-advmod-RB-punct-.","ROOT-FRAG-FRAG-,-NP-FRAG","CC-PRP-VBZ-DT-JJ-NN-,-RB-.",,,2.3.1,gp:AOqpTOGzrRRmEXTRrSz-W6H3DtfNqoemagSdaLRz3qF5TSRq_rIWxZOmjcjjpu1nJksi1a7z3UCbLIJVWm-yRQ,'s,5.0,"[('And', 'CC'), ('it', 'PRP'), (""'s"", 'VBZ'), ('a', 'DT'), ('tiny', 'JJ'), ('app', 'NN'), (',', ','), ('too', 'RB'), ('.', '.')]",16.0,Aileen Reinstadler
4,,A+ app😊,2019-04-09 21:48:11,"['A+', '+a', 'ap', 'pp', 'p😊', 'A+a', '+ap', 'app', 'pp😊', 'A+ap', '+app', 'app😊']","Exactly what I was looking for....just a simple, straight forward 'draw/write on photo' app. It's not fancy or complicated at all, but it does offer you some basic options such as color, brush size and shape, etc. It also has a background eraser, which is handy. And it's a tiny app, too. A+ app😊",ROOT-NNP-compound-``-compound-NNP,ROOT-S-NP-VP-SYM-NNS,NNP-NN,,,2.3.1,gp:AOqpTOGzrRRmEXTRrSz-W6H3DtfNqoemagSdaLRz3qF5TSRq_rIWxZOmjcjjpu1nJksi1a7z3UCbLIJVWm-yRQ,😊,5.0,"[('A+', 'NNP'), ('app😊', 'NN')]",16.0,Aileen Reinstadler
5,,No ads ( that I saw after using it for 5 min ) .,2019-02-19 10:07:17,"['No', 'oa', 'ad', 'ds', 's(', '(t', 'th', 'ha', 'at', 'tI', 'Is', 'sa', 'aw', 'wa', 'af', 'ft', 'te', 'er', 'ru', 'us', 'si', 'in', 'ng', 'gi', 'it', 'tf', 'fo', 'or', 'r5', '5m', 'mi', 'in', 'n)', ').', 'Noa', 'oad', 'ads', 'ds(', 's(t', '(th', 'tha', 'hat', 'atI', 'tIs', 'Isa', 'saw', 'awa', 'waf', 'aft', 'fte', 'ter', 'eru', 'rus', 'usi', 'sin', 'ing', 'ngi', 'git', 'itf', 'tfo', 'for', 'or5', 'r5m', '5mi', 'min', 'in)', 'n).', 'Noad', 'oads', 'ads(', 'ds(t', 's(th', '(tha', 'that', 'hatI', 'atIs', 'tIsa', 'Isaw', 'sawa', 'awaf', 'waft', 'afte', 'fter', 'teru', 'erus', 'rusi', 'usin', 'sing', 'ingi', 'ngit', 'gitf', 'itfo', 'tfor', 'for5', 'or5m', 'r5mi', '5min', 'min)', 'in).']","No ads (that I saw after using it for 5 min). No instructions, so you need to figure it out by trial and error. Which I guess is why some people have given it 1 star.",ROOT-NNS-det-DT-punct--LRB--relcl-VBD-punct--RRB--punct-.,ROOT-FRAG-S--RRB--NP-.,DT-NNS-(-IN-PRP-VBD-IN-VBG-PRP-IN-CD-NN-)-.,,,2.2.0,gp:AOqpTOFMogZsVCv42qd08V83wWpg-CEYKDONjMF69y4-o48pr20QcwhlzEt7gMLi09VQBlNb0n5p-53zElmYNw,ads,5.0,"[('No', 'DT'), ('ads', 'NNS'), ('(', '('), ('that', 'IN'), ('I', 'PRP'), ('saw', 'VBD'), ('after', 'IN'), ('using', 'VBG'), ('it', 'PRP'), ('for', 'IN'), ('5', 'CD'), ('min', 'NN'), (')', ')'), ('.', '.')]",6.0,Daniel Fitzgerald
6,,"No instructions , so you need to figure it out by trial and error .",2019-02-19 10:07:17,"['No', 'oi', 'in', 'ns', 'st', 'tr', 'ru', 'uc', 'ct', 'ti', 'io', 'on', 'ns', 's,', ',s', 'so', 'oy', 'yo', 'ou', 'un', 'ne', 'ee', 'ed', 'dt', 'to', 'of', 'fi', 'ig', 'gu', 'ur', 're', 'ei', 'it', 'to', 'ou', 'ut', 'tb', 'by', 'yt', 'tr', 'ri', 'ia', 'al', 'la', 'an', 'nd', 'de', 'er', 'rr', 'ro', 'or', 'r.', 'Noi', 'oin', 'ins', 'nst', 'str', 'tru', 'ruc', 'uct', 'cti', 'tio', 'ion', 'ons', 'ns,', 's,s', ',so', 'soy', 'oyo', 'you', 'oun', 'une', 'nee', 'eed', 'edt', 'dto', 'tof', 'ofi', 'fig', 'igu', 'gur', 'ure', 'rei', 'eit', 'ito', 'tou', 'out', 'utb', 'tby', 'byt', 'ytr', 'tri', 'ria', 'ial', 'ala', 'lan', 'and', 'nde', 'der', 'err', 'rro', 'ror', 'or.', 'Noin', 'oins', 'inst', 'nstr', 'stru', 'truc', 'ruct', 'ucti', 'ctio', 'tion', 'ions', 'ons,', 'ns,s', 's,so', ',soy', 'soyo', 'oyou', 'youn', 'oune', 'unee', 'need', 'eedt', 'edto', 'dtof', 'tofi', 'ofig', 'figu', 'igur', 'gure', 'urei', 'reit', 'eito', 'itou', 'tout', 'outb', 'utby', 'tbyt', 'bytr', 'ytri', 'tria', 'rial', 'iala', 'alan', 'land', 'ande', 'nder', 'derr', 'erro', 'rror', 'ror.']","No ads (that I saw after using it for 5 min). No instructions, so you need to figure it out by trial and error. Which I guess is why some people have given it 1 star.","ROOT-VBP-dep-NNS-punct-,-advmod-IN-nsubj-PRP-xcomp-VB-punct-.",ROOT-S-NP-VP-.-NNS,"DT-NNS-,-IN-PRP-VBP-TO-VB-PRP-RP-IN-NN-CC-NN-.",,,2.2.0,gp:AOqpTOFMogZsVCv42qd08V83wWpg-CEYKDONjMF69y4-o48pr20QcwhlzEt7gMLi09VQBlNb0n5p-53zElmYNw,need,5.0,"[('No', 'DT'), ('instructions', 'NNS'), (',', ','), ('so', 'IN'), ('you', 'PRP'), ('need', 'VBP'), ('to', 'TO'), ('figure', 'VB'), ('it', 'PRP'), ('out', 'RP'), ('by', 'IN'), ('trial', 'NN'), ('and', 'CC'), ('error', 'NN'), ('.', '.')]",6.0,Daniel Fitzgerald
7,,Which I guess is why some people have given it 1 star .,2019-02-19 10:07:17,"['Wh', 'hi', 'ic', 'ch', 'hI', 'Ig', 'gu', 'ue', 'es', 'ss', 'si', 'is', 'sw', 'wh', 'hy', 'ys', 'so', 'om', 'me', 'ep', 'pe', 'eo', 'op', 'pl', 'le', 'eh', 'ha', 'av', 've', 'eg', 'gi', 'iv', 've', 'en', 'ni', 'it', 't1', '1s', 'st', 'ta', 'ar', 'r.', 'Whi', 'hic', 'ich', 'chI', 'hIg', 'Igu', 'gue', 'ues', 'ess', 'ssi', 'sis', 'isw', 'swh', 'why', 'hys', 'yso', 'som', 'ome', 'mep', 'epe', 'peo', 'eop', 'opl', 'ple', 'leh', 'eha', 'hav', 'ave', 'veg', 'egi', 'giv', 'ive', 'ven', 'eni', 'nit', 'it1', 't1s', '1st', 'sta', 'tar', 'ar.', 'Whic', 'hich', 'ichI', 'chIg', 'hIgu', 'Igue', 'gues', 'uess', 'essi', 'ssis', 'sisw', 'iswh', 'swhy', 'whys', 'hyso', 'ysom', 'some', 'omep', 'mepe', 'epeo', 'peop', 'eopl', 'ople', 'pleh', 'leha', 'ehav', 'have', 'aveg', 'vegi', 'egiv', 'give', 'iven', 'veni', 'enit', 'nit1', 'it1s', 't1st', '1sta', 'star', 'tar.']","No ads (that I saw after using it for 5 min). No instructions, so you need to figure it out by trial and error. Which I guess is why some people have given it 1 star.",ROOT-VBP-nsubj-PRP-ccomp-VBZ-punct-.,ROOT-FRAG-S-FRAG-S-.,JJ-PRP-NN-VBZ-WRB-DT-NNS-VBP-VBN-PRP-CD-NN-.,,,2.2.0,gp:AOqpTOFMogZsVCv42qd08V83wWpg-CEYKDONjMF69y4-o48pr20QcwhlzEt7gMLi09VQBlNb0n5p-53zElmYNw,guess,5.0,"[('Which', 'JJ'), ('I', 'PRP'), ('guess', 'NN'), ('is', 'VBZ'), ('why', 'WRB'), ('some', 'DT'), ('people', 'NNS'), ('have', 'VBP'), ('given', 'VBN'), ('it', 'PRP'), ('1', 'CD'), ('star', 'NN'), ('.', '.')]",6.0,Daniel Fitzgerald
8,,Difficult .,2019-01-30 00:00:29,"['Di', 'if', 'ff', 'fi', 'ic', 'cu', 'ul', 'lt', 't.', 'Dif', 'iff', 'ffi', 'fic', 'icu', 'cul', 'ult', 'lt.', 'Diff', 'iffi', 'ffic', 'ficu', 'icul', 'cult', 'ult.']","Difficult. No useful instructions. Couldn't work out how to cut one image and paste onto another. Totally unuseable, eg how are layers made transparent? Why is there no dialog for working with layers or adequate text help?",ROOT-JJ-punct-.,ROOT-FRAG-NP-NP-.-NP,NN-.,,,2.1.2,gp:AOqpTOED-jt8By98yQCd5phzIGknW_NBoIbeB_Hy-mf7gg0vD-ke4MoWHBn09QMThy5fnXXzE9qkMWOtz9QZqA,Difficult,1.0,"[('Difficult', 'NN'), ('.', '.')]",13.0,A Google user
9,,No useful instructions .,2019-01-30 00:00:29,"['No', 'ou', 'us', 'se', 'ef', 'fu', 'ul', 'li', 'in', 'ns', 'st', 'tr', 'ru', 'uc', 'ct', 'ti', 'io', 'on', 'ns', 's.', 'Nou', 'ous', 'use', 'sef', 'efu', 'ful', 'uli', 'lin', 'ins', 'nst', 'str', 'tru', 'ruc', 'uct', 'cti', 'tio', 'ion', 'ons', 'ns.', 'Nous', 'ouse', 'usef', 'sefu', 'eful', 'fuli', 'ulin', 'lins', 'inst', 'nstr', 'stru', 'truc', 'ruct', 'ucti', 'ctio', 'tion', 'ions', 'ons.']","Difficult. No useful instructions. Couldn't work out how to cut one image and paste onto another. Totally unuseable, eg how are layers made transparent? Why is there no dialog for working with layers or adequate text help?",ROOT-NNS-det-DT-amod-JJ-punct-.,ROOT-S-NP-VP-.-NNS,DT-JJ-NNS-.,,,2.1.2,gp:AOqpTOED-jt8By98yQCd5phzIGknW_NBoIbeB_Hy-mf7gg0vD-ke4MoWHBn09QMThy5fnXXzE9qkMWOtz9QZqA,instructions,1.0,"[('No', 'DT'), ('useful', 'JJ'), ('instructions', 'NNS'), ('.', '.')]",13.0,A Google user
