,Crossover Type,Selection,Fitness Score,Mutation Rate,Crossover Rate,Cycles Taken to Converge,Time
0,edge_recombination,fittest,329.6,0.1,1,2002,80.50819110870361
1,edge_recombination,fittest,371.2,0.05,0.5,165,7.194430589675903
2,edge_recombination,fittest,412.8,0.15,1,2002,80.65590763092041
3,edge_recombination,fittest,428.8,0.2,1,2002,80.5072500705719
4,edge_recombination,fittest,444.8,0.05,0.1,108,4.859472036361694
5,edge_recombination,fittest,444.8,0.05,1,2002,80.37304997444153
6,edge_recombination,fittest,444.8,0.3,1,2002,81.64327216148376
7,edge_recombination,fittest,470.4,0.05,0.6,310,12.945672750473022
8,edge_recombination,fittest,502.4,0.05,0.7,461,18.944884538650513
9,edge_recombination,fittest,518.4,0.25,1,2002,80.52040243148804
10,edge_recombination,fittest,526.4,0.1,0.1,166,7.167951583862305
11,edge_recombination,fittest,526.4,0.05,0.2,93,4.276906728744507
12,edge_recombination,fittest,526.4,0.1,0.2,200,8.480878829956055
13,edge_recombination,fittest,526.4,0.05,0.4,173,7.444084882736206
14,edge_recombination,fittest,526.4,0.15,0.4,376,15.489519596099854
15,edge_recombination,fittest,526.4,0.1,0.8,709,29.232651472091675
16,edge_recombination,fittest,536.0,0.15,0.2,232,9.704504251480103
17,edge_recombination,fittest,536.0,0.1,0.4,193,8.176899194717407
18,edge_recombination,fittest,536.0,0.05,0.9,1541,62.74842023849487
19,edge_recombination,fittest,560.0,0.25,0.1,319,13.176047086715698
20,edge_recombination,fittest,560.0,0.2,0.2,257,10.708579301834106
21,edge_recombination,fittest,560.0,0.1,0.3,313,12.960416078567505
22,edge_recombination,fittest,560.0,0.2,0.3,291,12.128769636154175
23,edge_recombination,fittest,560.0,0.25,0.3,496,20.161274194717407
24,edge_recombination,fittest,560.0,0.3,0.5,636,25.837517023086548
25,edge_recombination,fittest,560.0,0.1,0.7,793,32.278282165527344
26,edge_recombination,fittest,560.0,0.05,0.8,618,25.253192901611328
27,edge_recombination,fittest,560.0,0.2,0.9,2002,80.86122131347656
28,edge_recombination,fittest,560.0,0.25,0.9,2002,82.09540891647339
29,edge_recombination,fittest,560.0,0.3,0.9,2002,80.54626393318176
30,edge_recombination,fittest,584.0,0.25,0.6,683,27.826061487197876
31,edge_recombination,fittest,617.6,0.15,0.1,293,12.155256509780884
32,edge_recombination,fittest,617.6,0.2,0.1,322,13.359548568725586
33,edge_recombination,fittest,617.6,0.3,0.1,529,21.462292909622192
34,edge_recombination,fittest,617.6,0.25,0.2,611,24.868759870529175
35,edge_recombination,fittest,617.6,0.3,0.2,595,24.18401265144348
36,edge_recombination,fittest,617.6,0.05,0.3,267,11.082056999206543
37,edge_recombination,fittest,617.6,0.15,0.3,322,13.33430552482605
38,edge_recombination,fittest,617.6,0.3,0.3,777,31.326847791671753
39,edge_recombination,fittest,617.6,0.2,0.4,304,12.662747859954834
40,edge_recombination,fittest,617.6,0.25,0.4,667,27.074793338775635
41,edge_recombination,fittest,617.6,0.3,0.4,520,21.24535822868347
42,edge_recombination,fittest,617.6,0.1,0.5,381,15.824466466903687
43,edge_recombination,fittest,617.6,0.15,0.5,537,22.064191579818726
44,edge_recombination,fittest,617.6,0.2,0.5,611,25.03934383392334
45,edge_recombination,fittest,617.6,0.25,0.5,760,31.018704652786255
46,edge_recombination,fittest,617.6,0.1,0.6,456,18.699333667755127
47,edge_recombination,fittest,617.6,0.15,0.6,698,28.425987482070923
48,edge_recombination,fittest,617.6,0.2,0.6,479,19.4924578666687
49,edge_recombination,fittest,617.6,0.3,0.6,2002,80.16285061836243
50,edge_recombination,fittest,617.6,0.15,0.7,426,17.788071393966675
51,edge_recombination,fittest,617.6,0.2,0.7,2002,80.82703638076782
52,edge_recombination,fittest,617.6,0.25,0.7,1075,43.20111083984375
53,edge_recombination,fittest,617.6,0.3,0.7,1607,65.05836510658264
54,edge_recombination,fittest,617.6,0.15,0.8,1694,68.32274842262268
55,edge_recombination,fittest,617.6,0.2,0.8,2002,80.42893624305725
56,edge_recombination,fittest,617.6,0.25,0.8,2002,80.76095676422119
57,edge_recombination,fittest,617.6,0.3,0.8,1852,74.67286896705627
58,edge_recombination,fittest,617.6,0.1,0.9,2002,81.47963881492615
59,edge_recombination,fittest,617.6,0.15,0.9,2002,80.92525148391724
