,Crossover Type,Selection,Fitness Score,Mutation Rate,Crossover Rate,Cycles Taken to Converge,Time
0,ordered,fittest,420.8,0.05,0.8,76,3.596503734588623
1,ordered,fittest,476.8,0.05,0.3,102,4.715243816375732
2,ordered,fittest,478.4,0.05,0.5,103,4.688579797744751
3,ordered,fittest,526.4,0.15,0.6,187,7.92558217048645
4,ordered,fittest,560.0,0.05,0.1,196,8.352816820144653
5,ordered,fittest,560.0,0.05,0.2,308,12.816073417663574
6,ordered,fittest,560.0,0.1,0.3,221,9.550309419631958
7,ordered,fittest,560.0,0.25,0.3,280,11.758894681930542
8,ordered,fittest,560.0,0.05,0.4,181,7.827154636383057
9,ordered,fittest,560.0,0.1,0.4,190,8.201665878295898
10,ordered,fittest,560.0,0.15,0.4,235,9.992630958557129
11,ordered,fittest,560.0,0.25,0.4,330,13.732026815414429
12,ordered,fittest,560.0,0.3,0.4,480,19.517115831375122
13,ordered,fittest,560.0,0.1,0.5,121,5.431044340133667
14,ordered,fittest,560.0,0.05,0.6,178,7.564493179321289
15,ordered,fittest,560.0,0.1,0.6,201,8.519460678100586
16,ordered,fittest,560.0,0.05,0.7,177,7.504563808441162
17,ordered,fittest,560.0,0.2,0.7,210,8.879411220550537
18,ordered,fittest,560.0,0.1,0.8,191,8.169471740722656
19,ordered,fittest,560.0,0.05,0.9,83,3.9009623527526855
20,ordered,fittest,560.0,0.1,0.9,156,6.74346923828125
21,ordered,fittest,560.0,0.25,0.9,444,18.138301372528076
22,ordered,fittest,560.0,0.3,0.9,262,10.908286094665527
23,ordered,fittest,560.0,0.05,1,182,7.8056206703186035
24,ordered,fittest,560.0,0.15,1,206,8.63880443572998
25,ordered,fittest,560.0,0.2,1,166,7.201019525527954
26,ordered,fittest,560.0,0.25,1,295,12.248800992965698
27,ordered,fittest,617.6,0.1,0.1,200,8.614787340164185
28,ordered,fittest,617.6,0.15,0.1,345,14.25352668762207
29,ordered,fittest,617.6,0.2,0.1,500,20.599028825759888
30,ordered,fittest,617.6,0.25,0.1,284,11.933076620101929
31,ordered,fittest,617.6,0.3,0.1,418,17.205652713775635
32,ordered,fittest,617.6,0.1,0.2,242,10.216149091720581
33,ordered,fittest,617.6,0.15,0.2,236,10.03559684753418
34,ordered,fittest,617.6,0.2,0.2,336,14.037940979003906
35,ordered,fittest,617.6,0.25,0.2,549,22.76141119003296
36,ordered,fittest,617.6,0.3,0.2,492,20.326042890548706
37,ordered,fittest,617.6,0.15,0.3,312,13.194276571273804
38,ordered,fittest,617.6,0.2,0.3,451,18.74825620651245
39,ordered,fittest,617.6,0.3,0.3,558,22.91896939277649
40,ordered,fittest,617.6,0.2,0.4,338,14.040069341659546
41,ordered,fittest,617.6,0.15,0.5,320,13.141260623931885
42,ordered,fittest,617.6,0.2,0.5,399,16.269644498825073
43,ordered,fittest,617.6,0.25,0.5,354,14.417004108428955
44,ordered,fittest,617.6,0.3,0.5,351,14.338207483291626
45,ordered,fittest,617.6,0.2,0.6,336,13.823283433914185
46,ordered,fittest,617.6,0.25,0.6,567,23.046458959579468
47,ordered,fittest,617.6,0.3,0.6,552,22.411370754241943
48,ordered,fittest,617.6,0.1,0.7,239,10.030279636383057
49,ordered,fittest,617.6,0.15,0.7,258,10.873299837112427
50,ordered,fittest,617.6,0.25,0.7,544,22.16699242591858
51,ordered,fittest,617.6,0.3,0.7,538,21.661651611328125
52,ordered,fittest,617.6,0.15,0.8,249,10.661118745803833
53,ordered,fittest,617.6,0.2,0.8,279,11.823384523391724
54,ordered,fittest,617.6,0.25,0.8,430,17.49213218688965
55,ordered,fittest,617.6,0.3,0.8,597,24.202187538146973
56,ordered,fittest,617.6,0.15,0.9,229,9.66660761833191
57,ordered,fittest,617.6,0.2,0.9,459,18.633564949035645
58,ordered,fittest,617.6,0.1,1,151,6.547533988952637
59,ordered,fittest,617.6,0.3,1,470,19.15906572341919
