,Crossover Type,Selection,Fitness Score,Mutation Rate,Crossover Rate,Cycles Taken to Converge,Time
0,partially_matched,fittest,387.2,0.05,0.4,92,4.027527809143066
1,partially_matched,fittest,387.2,0.05,0.7,60,3.0003957748413086
2,partially_matched,fittest,444.8,0.1,0.4,168,6.951918125152588
3,partially_matched,fittest,444.8,0.1,0.6,122,5.233571767807007
4,partially_matched,fittest,478.4,0.1,0.3,89,3.9794607162475586
5,partially_matched,fittest,502.4,0.1,0.2,189,7.727119207382202
6,partially_matched,fittest,502.4,0.05,0.3,161,6.739360570907593
7,partially_matched,fittest,502.4,0.1,0.7,122,5.21215033531189
8,partially_matched,fittest,502.4,0.05,1,110,4.715855598449707
9,partially_matched,fittest,526.4,0.05,0.1,182,7.390715837478638
10,partially_matched,fittest,526.4,0.05,0.5,144,6.010368347167969
11,partially_matched,fittest,536.0,0.2,0.1,182,7.452072381973267
12,partially_matched,fittest,536.0,0.05,0.8,104,4.520641565322876
13,partially_matched,fittest,560.0,0.05,0.2,185,7.518798112869263
14,partially_matched,fittest,560.0,0.3,0.2,297,11.76990818977356
15,partially_matched,fittest,560.0,0.15,0.3,167,6.965814113616943
16,partially_matched,fittest,560.0,0.3,0.5,437,17.107741117477417
17,partially_matched,fittest,560.0,0.05,0.6,91,4.073237895965576
18,partially_matched,fittest,560.0,0.15,0.7,197,8.095004796981812
19,partially_matched,fittest,560.0,0.25,0.7,334,13.141898155212402
20,partially_matched,fittest,560.0,0.1,0.8,223,9.152435064315796
21,partially_matched,fittest,560.0,0.05,0.9,109,4.682796955108643
22,partially_matched,fittest,560.0,0.15,0.9,216,8.696933269500732
23,partially_matched,fittest,560.0,0.3,0.9,260,10.358347415924072
24,partially_matched,fittest,560.0,0.1,1,146,6.055751800537109
25,partially_matched,fittest,584.0,0.1,0.1,120,5.086778879165649
26,partially_matched,fittest,584.0,0.15,1,243,9.745568752288818
27,partially_matched,fittest,617.6,0.15,0.1,220,8.810972690582275
28,partially_matched,fittest,617.6,0.25,0.1,285,11.475504159927368
29,partially_matched,fittest,617.6,0.3,0.1,572,22.05298662185669
30,partially_matched,fittest,617.6,0.15,0.2,226,9.160581111907959
31,partially_matched,fittest,617.6,0.2,0.2,244,9.94249701499939
32,partially_matched,fittest,617.6,0.25,0.2,356,13.9901602268219
33,partially_matched,fittest,617.6,0.2,0.3,294,12.052340507507324
34,partially_matched,fittest,617.6,0.25,0.3,492,19.29176640510559
35,partially_matched,fittest,617.6,0.3,0.3,539,21.07962727546692
36,partially_matched,fittest,617.6,0.15,0.4,244,9.87034797668457
37,partially_matched,fittest,617.6,0.2,0.4,329,13.126129865646362
38,partially_matched,fittest,617.6,0.25,0.4,676,26.083988666534424
39,partially_matched,fittest,617.6,0.3,0.4,800,30.964651584625244
40,partially_matched,fittest,617.6,0.1,0.5,370,14.613311290740967
41,partially_matched,fittest,617.6,0.15,0.5,239,9.653131008148193
42,partially_matched,fittest,617.6,0.2,0.5,480,18.671622037887573
43,partially_matched,fittest,617.6,0.25,0.5,425,16.561797618865967
44,partially_matched,fittest,617.6,0.15,0.6,338,13.356478691101074
45,partially_matched,fittest,617.6,0.2,0.6,367,14.374824047088623
46,partially_matched,fittest,617.6,0.25,0.6,294,11.680926084518433
47,partially_matched,fittest,617.6,0.3,0.6,492,19.38549304008484
48,partially_matched,fittest,617.6,0.2,0.7,260,10.391338348388672
49,partially_matched,fittest,617.6,0.3,0.7,466,18.174539804458618
50,partially_matched,fittest,617.6,0.15,0.8,268,10.737829685211182
51,partially_matched,fittest,617.6,0.2,0.8,304,12.013126134872437
52,partially_matched,fittest,617.6,0.25,0.8,424,16.521509170532227
53,partially_matched,fittest,617.6,0.3,0.8,549,21.36179828643799
54,partially_matched,fittest,617.6,0.1,0.9,119,5.089165925979614
55,partially_matched,fittest,617.6,0.2,0.9,225,9.120519638061523
56,partially_matched,fittest,617.6,0.25,0.9,365,14.29720687866211
57,partially_matched,fittest,617.6,0.2,1,356,14.182147026062012
58,partially_matched,fittest,617.6,0.25,1,489,18.986294507980347
59,partially_matched,fittest,617.6,0.3,1,707,27.54609251022339
