,Crossover Type,Selection,Fitness Score,Mutation Rate,Crossover Rate,Cycles Taken to Converge,Time
0,edge_recombination,proportionate,411.2,0.05,0.2,296,11.785780906677246
1,edge_recombination,proportionate,465.6,0.05,0.1,508,19.65161395072937
2,edge_recombination,proportionate,510.4,0.05,1,2002,77.62920570373535
3,edge_recombination,proportionate,510.4,0.15,1,2002,76.96571636199951
4,edge_recombination,proportionate,526.4,0.1,0.1,739,29.20816421508789
5,edge_recombination,proportionate,526.4,0.15,0.1,589,23.11975646018982
6,edge_recombination,proportionate,526.4,0.05,0.4,595,23.18426203727722
7,edge_recombination,proportionate,526.4,0.2,1,2002,76.8983085155487
8,edge_recombination,proportionate,526.4,0.25,1,2002,77.3254041671753
9,edge_recombination,proportionate,528.0,0.3,1,2002,76.91641902923584
10,edge_recombination,proportionate,560.0,0.15,0.2,851,32.782445430755615
11,edge_recombination,proportionate,560.0,0.1,0.4,1186,45.377832651138306
12,edge_recombination,proportionate,560.0,0.15,0.6,996,39.33067178726196
13,edge_recombination,proportionate,560.0,0.25,0.7,2002,76.60128545761108
14,edge_recombination,proportionate,560.0,0.05,0.8,1953,74.90671062469482
15,edge_recombination,proportionate,560.0,0.2,0.8,2002,76.75515460968018
16,edge_recombination,proportionate,560.0,0.25,0.8,2002,76.73485779762268
17,edge_recombination,proportionate,560.0,0.3,0.8,2002,77.0282232761383
18,edge_recombination,proportionate,560.0,0.1,0.9,2002,77.64656805992126
19,edge_recombination,proportionate,560.0,0.2,0.9,2002,77.56509852409363
20,edge_recombination,proportionate,560.0,0.25,0.9,2002,78.11595320701599
21,edge_recombination,proportionate,560.0,0.1,1,2002,77.19501805305481
22,edge_recombination,proportionate,584.0,0.1,0.5,1245,48.19139385223389
23,edge_recombination,proportionate,584.0,0.2,0.7,2002,76.48750901222229
24,edge_recombination,proportionate,617.6,0.2,0.1,921,35.473472595214844
25,edge_recombination,proportionate,617.6,0.25,0.1,1514,58.28511357307434
26,edge_recombination,proportionate,617.6,0.3,0.1,1875,71.97554063796997
27,edge_recombination,proportionate,617.6,0.1,0.2,1287,48.99230337142944
28,edge_recombination,proportionate,617.6,0.2,0.2,1645,63.00755739212036
29,edge_recombination,proportionate,617.6,0.25,0.2,1731,64.46528244018555
30,edge_recombination,proportionate,617.6,0.3,0.2,1490,57.50532603263855
31,edge_recombination,proportionate,617.6,0.05,0.3,1223,46.636260747909546
32,edge_recombination,proportionate,617.6,0.1,0.3,1508,57.615745067596436
33,edge_recombination,proportionate,617.6,0.15,0.3,1126,43.11711668968201
34,edge_recombination,proportionate,617.6,0.2,0.3,1942,73.87106943130493
35,edge_recombination,proportionate,617.6,0.25,0.3,2002,75.91317915916443
36,edge_recombination,proportionate,617.6,0.3,0.3,2002,76.4876823425293
37,edge_recombination,proportionate,617.6,0.15,0.4,1882,71.73813009262085
38,edge_recombination,proportionate,617.6,0.2,0.4,1463,56.10679745674133
39,edge_recombination,proportionate,617.6,0.25,0.4,2002,77.31818199157715
40,edge_recombination,proportionate,617.6,0.3,0.4,2002,76.60284852981567
41,edge_recombination,proportionate,617.6,0.05,0.5,1466,56.877638816833496
42,edge_recombination,proportionate,617.6,0.15,0.5,1579,60.29673171043396
43,edge_recombination,proportionate,617.6,0.2,0.5,1993,76.08995652198792
44,edge_recombination,proportionate,617.6,0.25,0.5,2002,76.45557308197021
45,edge_recombination,proportionate,617.6,0.3,0.5,2002,76.08428502082825
46,edge_recombination,proportionate,617.6,0.05,0.6,1433,54.80918622016907
47,edge_recombination,proportionate,617.6,0.1,0.6,2002,77.4605348110199
48,edge_recombination,proportionate,617.6,0.2,0.6,2002,76.7412760257721
49,edge_recombination,proportionate,617.6,0.25,0.6,2002,77.4526584148407
50,edge_recombination,proportionate,617.6,0.3,0.6,2002,76.18792366981506
51,edge_recombination,proportionate,617.6,0.05,0.7,2002,76.5308895111084
52,edge_recombination,proportionate,617.6,0.1,0.7,2002,76.58663773536682
53,edge_recombination,proportionate,617.6,0.15,0.7,2002,76.30513739585876
54,edge_recombination,proportionate,617.6,0.3,0.7,2002,76.64291405677795
55,edge_recombination,proportionate,617.6,0.1,0.8,2002,76.84563088417053
56,edge_recombination,proportionate,617.6,0.15,0.8,2002,78.5146062374115
57,edge_recombination,proportionate,617.6,0.05,0.9,2002,77.18278455734253
58,edge_recombination,proportionate,617.6,0.15,0.9,2002,77.86325597763062
59,edge_recombination,proportionate,617.6,0.3,0.9,2002,77.46183276176453
