,Crossover Type,Selection,Fitness Score,Mutation Rate,Crossover Rate,Cycles Taken to Converge,Time
0,ordered,proportionate,436.8,0.05,0.3,227,9.167639017105103
1,ordered,proportionate,468.8,0.05,0.1,241,10.02318787574768
2,ordered,proportionate,502.4,0.05,0.4,662,25.75469446182251
3,ordered,proportionate,560.0,0.1,0.1,540,21.013277053833008
4,ordered,proportionate,560.0,0.1,0.2,658,25.484086751937866
5,ordered,proportionate,560.0,0.1,0.3,801,30.877031564712524
6,ordered,proportionate,560.0,0.1,0.6,716,27.439990043640137
7,ordered,proportionate,560.0,0.05,0.8,955,36.79826283454895
8,ordered,proportionate,560.0,0.05,1,530,20.621785879135132
9,ordered,proportionate,560.0,0.15,1,829,32.21273469924927
10,ordered,proportionate,560.0,0.2,1,788,30.62105083465576
11,ordered,proportionate,584.0,0.1,1,992,38.25639295578003
12,ordered,proportionate,617.6,0.15,0.1,818,31.24432396888733
13,ordered,proportionate,617.6,0.2,0.1,1148,44.05353617668152
14,ordered,proportionate,617.6,0.25,0.1,1090,41.60497808456421
15,ordered,proportionate,617.6,0.3,0.1,1447,55.50605916976929
16,ordered,proportionate,617.6,0.05,0.2,712,27.338821411132812
17,ordered,proportionate,617.6,0.15,0.2,1043,39.8470253944397
18,ordered,proportionate,617.6,0.2,0.2,1579,60.419843912124634
19,ordered,proportionate,617.6,0.25,0.2,1354,52.14711403846741
20,ordered,proportionate,617.6,0.3,0.2,1854,71.70959711074829
21,ordered,proportionate,617.6,0.15,0.3,956,36.44209957122803
22,ordered,proportionate,617.6,0.2,0.3,1062,40.52531147003174
23,ordered,proportionate,617.6,0.25,0.3,1804,69.18754291534424
24,ordered,proportionate,617.6,0.3,0.3,1890,71.90432238578796
25,ordered,proportionate,617.6,0.1,0.4,726,27.99261212348938
26,ordered,proportionate,617.6,0.15,0.4,1317,50.44118285179138
27,ordered,proportionate,617.6,0.2,0.4,1140,43.62958359718323
28,ordered,proportionate,617.6,0.25,0.4,1819,70.75123691558838
29,ordered,proportionate,617.6,0.3,0.4,1551,58.948158264160156
30,ordered,proportionate,617.6,0.05,0.5,1020,38.812903881073
31,ordered,proportionate,617.6,0.1,0.5,720,27.617071628570557
32,ordered,proportionate,617.6,0.15,0.5,985,37.5330491065979
33,ordered,proportionate,617.6,0.2,0.5,1146,44.007689476013184
34,ordered,proportionate,617.6,0.25,0.5,1267,48.60943102836609
35,ordered,proportionate,617.6,0.3,0.5,1848,70.51473689079285
36,ordered,proportionate,617.6,0.05,0.6,666,25.556657791137695
37,ordered,proportionate,617.6,0.15,0.6,866,33.46719527244568
38,ordered,proportionate,617.6,0.2,0.6,1377,52.884883642196655
39,ordered,proportionate,617.6,0.25,0.6,1074,41.21462345123291
40,ordered,proportionate,617.6,0.3,0.6,1800,69.03047275543213
41,ordered,proportionate,617.6,0.05,0.7,746,28.645824909210205
42,ordered,proportionate,617.6,0.1,0.7,1087,41.72846722602844
43,ordered,proportionate,617.6,0.15,0.7,1321,51.471195936203
44,ordered,proportionate,617.6,0.2,0.7,1105,42.19124436378479
45,ordered,proportionate,617.6,0.25,0.7,1253,47.487184286117554
46,ordered,proportionate,617.6,0.3,0.7,1339,51.13953518867493
47,ordered,proportionate,617.6,0.1,0.8,1323,50.36597037315369
48,ordered,proportionate,617.6,0.15,0.8,1005,38.72453570365906
49,ordered,proportionate,617.6,0.2,0.8,1258,48.03997492790222
50,ordered,proportionate,617.6,0.25,0.8,945,36.173584938049316
51,ordered,proportionate,617.6,0.3,0.8,1972,74.721107006073
52,ordered,proportionate,617.6,0.05,0.9,1307,50.18457555770874
53,ordered,proportionate,617.6,0.1,0.9,1115,42.651692390441895
54,ordered,proportionate,617.6,0.15,0.9,915,35.341055393218994
55,ordered,proportionate,617.6,0.2,0.9,697,26.879130363464355
56,ordered,proportionate,617.6,0.25,0.9,1118,42.56180286407471
57,ordered,proportionate,617.6,0.3,0.9,1428,54.38983392715454
58,ordered,proportionate,617.6,0.25,1,1204,46.15420174598694
59,ordered,proportionate,617.6,0.3,1,1785,68.02631950378418
