,Crossover Type,Selection,Fitness Score,Mutation Rate,Crossover Rate,Cycles Taken to Converge,Time
0,partially_matched,proportionate,560.0,0.05,0.1,536,21.844115734100342
1,partially_matched,proportionate,560.0,0.3,0.1,1078,43.03815317153931
2,partially_matched,proportionate,560.0,0.05,0.2,656,26.21220302581787
3,partially_matched,proportionate,560.0,0.1,0.2,778,31.31045889854431
4,partially_matched,proportionate,560.0,0.05,0.3,754,30.37684416770935
5,partially_matched,proportionate,560.0,0.05,0.4,842,34.03612518310547
6,partially_matched,proportionate,560.0,0.1,0.6,967,38.72164463996887
7,partially_matched,proportionate,560.0,0.05,0.7,710,29.128133058547974
8,partially_matched,proportionate,560.0,0.05,0.9,531,21.380346298217773
9,partially_matched,proportionate,617.6,0.1,0.1,1282,50.87154173851013
10,partially_matched,proportionate,617.6,0.15,0.1,903,36.10700583457947
11,partially_matched,proportionate,617.6,0.2,0.1,1559,62.066182374954224
12,partially_matched,proportionate,617.6,0.25,0.1,1451,57.72765636444092
13,partially_matched,proportionate,617.6,0.15,0.2,1264,50.14127159118652
14,partially_matched,proportionate,617.6,0.2,0.2,1233,49.133408546447754
15,partially_matched,proportionate,617.6,0.25,0.2,2002,79.25365853309631
16,partially_matched,proportionate,617.6,0.3,0.2,1889,75.02734279632568
17,partially_matched,proportionate,617.6,0.1,0.3,845,34.21350574493408
18,partially_matched,proportionate,617.6,0.15,0.3,1331,52.81887626647949
19,partially_matched,proportionate,617.6,0.2,0.3,1005,40.483163595199585
20,partially_matched,proportionate,617.6,0.25,0.3,1556,61.67999863624573
21,partially_matched,proportionate,617.6,0.3,0.3,2002,79.8697440624237
22,partially_matched,proportionate,617.6,0.1,0.4,680,27.709312677383423
23,partially_matched,proportionate,617.6,0.15,0.4,960,38.452183961868286
24,partially_matched,proportionate,617.6,0.2,0.4,1285,51.19256377220154
25,partially_matched,proportionate,617.6,0.25,0.4,1451,57.85483002662659
26,partially_matched,proportionate,617.6,0.3,0.4,2002,80.0884017944336
27,partially_matched,proportionate,617.6,0.05,0.5,1054,42.57387351989746
28,partially_matched,proportionate,617.6,0.1,0.5,959,38.26913404464722
29,partially_matched,proportionate,617.6,0.15,0.5,1448,57.350935220718384
30,partially_matched,proportionate,617.6,0.2,0.5,1350,53.89846420288086
31,partially_matched,proportionate,617.6,0.25,0.5,1664,66.11020135879517
32,partially_matched,proportionate,617.6,0.3,0.5,1691,66.97827076911926
33,partially_matched,proportionate,617.6,0.05,0.6,874,35.20431208610535
34,partially_matched,proportionate,617.6,0.15,0.6,1100,43.95214056968689
35,partially_matched,proportionate,617.6,0.2,0.6,1531,60.983022928237915
36,partially_matched,proportionate,617.6,0.25,0.6,1880,75.71551084518433
37,partially_matched,proportionate,617.6,0.3,0.6,1945,77.21768689155579
38,partially_matched,proportionate,617.6,0.1,0.7,1045,41.92000699043274
39,partially_matched,proportionate,617.6,0.15,0.7,907,36.23863983154297
40,partially_matched,proportionate,617.6,0.2,0.7,1102,44.14359378814697
41,partially_matched,proportionate,617.6,0.25,0.7,1723,68.43482327461243
42,partially_matched,proportionate,617.6,0.3,0.7,1846,73.57580924034119
43,partially_matched,proportionate,617.6,0.05,0.8,910,36.339221715927124
44,partially_matched,proportionate,617.6,0.1,0.8,951,37.99981880187988
45,partially_matched,proportionate,617.6,0.15,0.8,901,35.98943257331848
46,partially_matched,proportionate,617.6,0.2,0.8,1073,43.23122501373291
47,partially_matched,proportionate,617.6,0.25,0.8,1795,71.30408239364624
48,partially_matched,proportionate,617.6,0.3,0.8,2002,79.65421891212463
49,partially_matched,proportionate,617.6,0.1,0.9,1167,46.53370451927185
50,partially_matched,proportionate,617.6,0.15,0.9,1071,43.18612861633301
51,partially_matched,proportionate,617.6,0.2,0.9,1604,63.7804114818573
52,partially_matched,proportionate,617.6,0.25,0.9,1677,67.38125228881836
53,partially_matched,proportionate,617.6,0.3,0.9,2002,79.7198076248169
54,partially_matched,proportionate,617.6,0.05,1,1074,43.008793115615845
55,partially_matched,proportionate,617.6,0.1,1,997,39.73709988594055
56,partially_matched,proportionate,617.6,0.15,1,1026,41.09994339942932
57,partially_matched,proportionate,617.6,0.2,1,1707,68.50415658950806
58,partially_matched,proportionate,617.6,0.25,1,1863,74.30378723144531
59,partially_matched,proportionate,617.6,0.3,1,2002,80.4014298915863
