,Crossover Type,Selection,Fitness Score,Mutation Rate,Crossover Rate,Cycles Taken to Converge,Time
0,edge_recombination,tournament,502.4,0.1,1,2001,35.4127516746521
1,edge_recombination,tournament,536.0,0.05,1,2001,35.30929374694824
2,edge_recombination,tournament,536.0,0.2,1,2001,35.612154960632324
3,edge_recombination,tournament,536.0,0.3,1,2001,35.395509481430054
4,edge_recombination,tournament,560.0,0.05,0.8,2001,38.348758935928345
5,edge_recombination,tournament,560.0,0.05,0.9,2001,36.881352186203
6,edge_recombination,tournament,560.0,0.1,0.9,2001,36.78359270095825
7,edge_recombination,tournament,560.0,0.25,1,2001,35.66524815559387
8,edge_recombination,tournament,617.6,0.05,0.1,2001,48.13647985458374
9,edge_recombination,tournament,617.6,0.1,0.1,2001,47.71539878845215
10,edge_recombination,tournament,617.6,0.15,0.1,2001,48.065871715545654
11,edge_recombination,tournament,617.6,0.2,0.1,2001,47.866069078445435
12,edge_recombination,tournament,617.6,0.25,0.1,2001,47.85747170448303
13,edge_recombination,tournament,617.6,0.3,0.1,2001,48.06911516189575
14,edge_recombination,tournament,617.6,0.05,0.2,2001,47.02419662475586
15,edge_recombination,tournament,617.6,0.1,0.2,2001,47.217005014419556
16,edge_recombination,tournament,617.6,0.15,0.2,2001,46.47843337059021
17,edge_recombination,tournament,617.6,0.2,0.2,2001,46.120851278305054
18,edge_recombination,tournament,617.6,0.25,0.2,2001,46.7941370010376
19,edge_recombination,tournament,617.6,0.3,0.2,2001,46.97684931755066
20,edge_recombination,tournament,617.6,0.05,0.3,2001,44.871989488601685
21,edge_recombination,tournament,617.6,0.1,0.3,2001,44.619372844696045
22,edge_recombination,tournament,617.6,0.15,0.3,2001,44.83214211463928
23,edge_recombination,tournament,617.6,0.2,0.3,2001,45.132508993148804
24,edge_recombination,tournament,617.6,0.25,0.3,2001,44.812543630599976
25,edge_recombination,tournament,617.6,0.3,0.3,2001,45.36129808425903
26,edge_recombination,tournament,617.6,0.05,0.4,2001,43.7958505153656
27,edge_recombination,tournament,617.6,0.1,0.4,2001,43.66476082801819
28,edge_recombination,tournament,617.6,0.15,0.4,2001,43.458128690719604
29,edge_recombination,tournament,617.6,0.2,0.4,2001,43.50663876533508
30,edge_recombination,tournament,617.6,0.25,0.4,2001,43.980650901794434
31,edge_recombination,tournament,617.6,0.3,0.4,2001,43.2504723072052
32,edge_recombination,tournament,617.6,0.05,0.5,2001,42.34656095504761
33,edge_recombination,tournament,617.6,0.1,0.5,2001,42.27487635612488
34,edge_recombination,tournament,617.6,0.15,0.5,2001,42.32530927658081
35,edge_recombination,tournament,617.6,0.2,0.5,2001,42.12195825576782
36,edge_recombination,tournament,617.6,0.25,0.5,2001,42.14084076881409
37,edge_recombination,tournament,617.6,0.3,0.5,2001,42.41187882423401
38,edge_recombination,tournament,617.6,0.05,0.6,2001,40.60889387130737
39,edge_recombination,tournament,617.6,0.1,0.6,2001,40.44060301780701
40,edge_recombination,tournament,617.6,0.15,0.6,2001,41.05474257469177
41,edge_recombination,tournament,617.6,0.2,0.6,2001,41.61344885826111
42,edge_recombination,tournament,617.6,0.25,0.6,2001,40.915088415145874
43,edge_recombination,tournament,617.6,0.3,0.6,2001,41.07237911224365
44,edge_recombination,tournament,617.6,0.05,0.7,2001,40.544071435928345
45,edge_recombination,tournament,617.6,0.1,0.7,2001,39.54501700401306
46,edge_recombination,tournament,617.6,0.15,0.7,2001,39.57161498069763
47,edge_recombination,tournament,617.6,0.2,0.7,2001,39.610854387283325
48,edge_recombination,tournament,617.6,0.25,0.7,2001,40.01857113838196
49,edge_recombination,tournament,617.6,0.3,0.7,2001,39.398078203201294
50,edge_recombination,tournament,617.6,0.1,0.8,2001,38.31385564804077
51,edge_recombination,tournament,617.6,0.15,0.8,2001,38.590654373168945
52,edge_recombination,tournament,617.6,0.2,0.8,2001,38.21103048324585
53,edge_recombination,tournament,617.6,0.25,0.8,2001,38.15887403488159
54,edge_recombination,tournament,617.6,0.3,0.8,2001,38.41536068916321
55,edge_recombination,tournament,617.6,0.15,0.9,2001,36.71971249580383
56,edge_recombination,tournament,617.6,0.2,0.9,2001,36.96650004386902
57,edge_recombination,tournament,617.6,0.25,0.9,2001,36.761759519577026
58,edge_recombination,tournament,617.6,0.3,0.9,2001,36.904688358306885
59,edge_recombination,tournament,617.6,0.15,1,2001,35.57894492149353
