,Crossover Type,Selection,Fitness Score,Mutation Rate,Crossover Rate,Cycles Taken to Converge,Time
0,ordered,tournament,617.6,0.05,0.1,2001,47.77776598930359
1,ordered,tournament,617.6,0.1,0.1,2001,47.32345366477966
2,ordered,tournament,617.6,0.15,0.1,2001,47.64682221412659
3,ordered,tournament,617.6,0.2,0.1,2001,47.48057532310486
4,ordered,tournament,617.6,0.25,0.1,2001,47.728068351745605
5,ordered,tournament,617.6,0.3,0.1,2001,47.64375138282776
6,ordered,tournament,617.6,0.05,0.2,2001,46.49016714096069
7,ordered,tournament,617.6,0.1,0.2,2001,45.82615637779236
8,ordered,tournament,617.6,0.15,0.2,2001,46.12800860404968
9,ordered,tournament,617.6,0.2,0.2,2001,46.08130860328674
10,ordered,tournament,617.6,0.25,0.2,2001,46.20786643028259
11,ordered,tournament,617.6,0.3,0.2,2001,47.11429738998413
12,ordered,tournament,617.6,0.05,0.3,2001,44.49478459358215
13,ordered,tournament,617.6,0.1,0.3,2001,44.72470426559448
14,ordered,tournament,617.6,0.15,0.3,2001,44.93895196914673
15,ordered,tournament,617.6,0.2,0.3,2001,44.2660756111145
16,ordered,tournament,617.6,0.25,0.3,2001,44.80394959449768
17,ordered,tournament,617.6,0.3,0.3,2001,45.00445556640625
18,ordered,tournament,617.6,0.05,0.4,2001,43.38627624511719
19,ordered,tournament,617.6,0.1,0.4,2001,43.07942008972168
20,ordered,tournament,617.6,0.15,0.4,2001,42.93181014060974
21,ordered,tournament,617.6,0.2,0.4,2001,43.488003730773926
22,ordered,tournament,617.6,0.25,0.4,2001,43.186147689819336
23,ordered,tournament,617.6,0.3,0.4,2001,43.18267822265625
24,ordered,tournament,617.6,0.05,0.5,2001,42.20003843307495
25,ordered,tournament,617.6,0.1,0.5,2001,41.79599690437317
26,ordered,tournament,617.6,0.15,0.5,2001,41.39711332321167
27,ordered,tournament,617.6,0.2,0.5,2001,41.481029748916626
28,ordered,tournament,617.6,0.25,0.5,2001,42.108606576919556
29,ordered,tournament,617.6,0.3,0.5,2001,41.46541905403137
30,ordered,tournament,617.6,0.05,0.6,2001,40.245808839797974
31,ordered,tournament,617.6,0.1,0.6,2001,40.17056322097778
32,ordered,tournament,617.6,0.15,0.6,2001,40.478275537490845
33,ordered,tournament,617.6,0.2,0.6,2001,39.93079328536987
34,ordered,tournament,617.6,0.25,0.6,2001,40.05460810661316
35,ordered,tournament,617.6,0.3,0.6,2001,40.306573152542114
36,ordered,tournament,617.6,0.05,0.7,2001,38.74818992614746
37,ordered,tournament,617.6,0.1,0.7,2001,38.645774126052856
38,ordered,tournament,617.6,0.15,0.7,2001,38.65754413604736
39,ordered,tournament,617.6,0.2,0.7,2001,38.77999567985535
40,ordered,tournament,617.6,0.25,0.7,2001,38.45325422286987
41,ordered,tournament,617.6,0.3,0.7,2001,38.90495705604553
42,ordered,tournament,617.6,0.05,0.8,2001,36.89436888694763
43,ordered,tournament,617.6,0.1,0.8,2001,37.04644799232483
44,ordered,tournament,617.6,0.15,0.8,2001,36.94938945770264
45,ordered,tournament,617.6,0.2,0.8,2001,36.95244598388672
46,ordered,tournament,617.6,0.25,0.8,2001,37.3845431804657
47,ordered,tournament,617.6,0.3,0.8,2001,36.92020630836487
48,ordered,tournament,617.6,0.05,0.9,2001,35.70615196228027
49,ordered,tournament,617.6,0.1,0.9,2001,36.04253315925598
50,ordered,tournament,617.6,0.15,0.9,2001,35.38378024101257
51,ordered,tournament,617.6,0.2,0.9,2001,35.70973610877991
52,ordered,tournament,617.6,0.25,0.9,2001,35.91203284263611
53,ordered,tournament,617.6,0.3,0.9,2001,35.5921905040741
54,ordered,tournament,617.6,0.05,1,2001,34.201700925827026
55,ordered,tournament,617.6,0.1,1,2001,33.886006355285645
56,ordered,tournament,617.6,0.15,1,2001,34.48790001869202
57,ordered,tournament,617.6,0.2,1,2001,34.02974343299866
58,ordered,tournament,617.6,0.25,1,2001,34.05513095855713
59,ordered,tournament,617.6,0.3,1,2001,33.87821173667908
