Feature 1,Feature 2,Label
dynamic color scheme,colour shades,similar
paste tool,copy paste,similar
copy paste symbols stamp tool selection application,copy paste,similar
image file size editing,editing large images,similar
export,export my pictures,similar
image file size editing,image editing,similar
correct user intended position tools,original position,similar
paste tool,paste a part,similar
paste tool,paste images,similar
image file size editing,resize picture,similar
image file size editing,resizing entire image,similar
copy paste symbols stamp tool selection application,selection tool,similar
confirm tool application selecting tool,selection tool,similar
hint change default settings tools,settings option,similar
image file size editing,shrinks image size,similar
confirm tool application selecting tool,simple area selection,similar
spray tool,spray tool,similar
dynamic color scheme,color fill tool,different
auto crop icon,crop edge,different
auto crop icon,crop images,different
save load pocketpaint format,load photos,different
save load pocketpaint format,load photos,different
save load pocketpaint format,load pictures,different
copy paste symbols stamp tool selection application,paste a part,similar
image file size editing,resize pictures,similar
save temporary copies automatically,save your favourite,different
save load pocketpaint format,save your favourite,different
dynamic color scheme,select transparent on colors,different
dynamic color scheme,transparent color,different
dynamic color scheme,add more colour,different
dynamic color scheme,color grid,different
dynamic color scheme,color picker,different
dynamic color scheme,colour picker,different
dynamic color scheme,add transparency,different
dynamic color scheme,applying a color,different
dynamic color scheme,applying transparency,different
dynamic color scheme,pictures with transparency,different
close transform tool options clicking apply,add a blur,different
save temporary copies automatically,add a blur,different
paste tool,add a blur,different
save load pocketpaint format,add a blur,different
save load pocketpaint format,add a blur,different
hide unhide layer,add a blur,different
share feature,add a blur,different
feedback menu entry overflow menu,add a blur,different
spray tool,add a blur,different
insert image catrobat media gallery,add a blur,different
auto crop icon,add a blur,different
hint change default settings tools,add a blur,different
checkmark confirm tool applications,add a blur,different
copy paste symbols stamp tool selection application,add a blur,different
save dialog,add a blur,different
better compression research implementation,add a blur,different
export,add a blur,different
confirm tool application selecting tool,add a blur,different
center button transform tool,add a blur,different
fastlane support huawei store,add a blur,different
github crowdin integration,add a blur,different
build paintroid pull requests catroid develop jenkins,add a blur,different
reuse drawingsurface pipette activity,add a blur,different
image file size editing,add a blur,different
upload mapping jenkins release builds,add a blur,different
correct user intended position tools,add a blur,different
dynamic color scheme,add a blur,different
close transform tool options clicking apply,add graph,different
save temporary copies automatically,add graph,different
paste tool,add graph,different
save load pocketpaint format,add graph,different
save load pocketpaint format,add graph,different
hide unhide layer,add graph,different
share feature,add graph,different
feedback menu entry overflow menu,add graph,different
spray tool,add graph,different
insert image catrobat media gallery,add graph,different
auto crop icon,add graph,different
hint change default settings tools,add graph,different
checkmark confirm tool applications,add graph,different
copy paste symbols stamp tool selection application,add graph,different
save dialog,add graph,different
better compression research implementation,add graph,different
export,add graph,different
confirm tool application selecting tool,add graph,different
center button transform tool,add graph,different
fastlane support huawei store,add graph,different
github crowdin integration,add graph,different
build paintroid pull requests catroid develop jenkins,add graph,different
reuse drawingsurface pipette activity,add graph,different
image file size editing,add graph,different
upload mapping jenkins release builds,add graph,different
correct user intended position tools,add graph,different
dynamic color scheme,add graph,different
close transform tool options clicking apply,add more colour,different
save temporary copies automatically,add more colour,different
paste tool,add more colour,different
save load pocketpaint format,add more colour,different
save load pocketpaint format,add more colour,different
hide unhide layer,add more colour,different
share feature,add more colour,different
feedback menu entry overflow menu,add more colour,different
spray tool,add more colour,different
insert image catrobat media gallery,add more colour,different
auto crop icon,add more colour,different
hint change default settings tools,add more colour,different
checkmark confirm tool applications,add more colour,different
copy paste symbols stamp tool selection application,add more colour,different
save dialog,add more colour,different
better compression research implementation,add more colour,different
export,add more colour,different
confirm tool application selecting tool,add more colour,different
center button transform tool,add more colour,different
fastlane support huawei store,add more colour,different
github crowdin integration,add more colour,different
build paintroid pull requests catroid develop jenkins,add more colour,different
reuse drawingsurface pipette activity,add more colour,different
image file size editing,add more colour,different
upload mapping jenkins release builds,add more colour,different
correct user intended position tools,add more colour,different
close transform tool options clicking apply,add pen tool,different
save temporary copies automatically,add pen tool,different
paste tool,add pen tool,different
save load pocketpaint format,add pen tool,different
save load pocketpaint format,add pen tool,different
hide unhide layer,add pen tool,different
share feature,add pen tool,different
feedback menu entry overflow menu,add pen tool,different
spray tool,add pen tool,different
insert image catrobat media gallery,add pen tool,different
auto crop icon,add pen tool,different
hint change default settings tools,add pen tool,different
checkmark confirm tool applications,add pen tool,different
copy paste symbols stamp tool selection application,add pen tool,different
save dialog,add pen tool,different
better compression research implementation,add pen tool,different
export,add pen tool,different
confirm tool application selecting tool,add pen tool,different
center button transform tool,add pen tool,different
fastlane support huawei store,add pen tool,different
github crowdin integration,add pen tool,different
build paintroid pull requests catroid develop jenkins,add pen tool,different
reuse drawingsurface pipette activity,add pen tool,different
image file size editing,add pen tool,different
upload mapping jenkins release builds,add pen tool,different
correct user intended position tools,add pen tool,different
dynamic color scheme,add pen tool,different
close transform tool options clicking apply,add transparency,different
save temporary copies automatically,add transparency,different
paste tool,add transparency,different
save load pocketpaint format,add transparency,different
save load pocketpaint format,add transparency,different
hide unhide layer,add transparency,different
share feature,add transparency,different
feedback menu entry overflow menu,add transparency,different
spray tool,add transparency,different
insert image catrobat media gallery,add transparency,different
auto crop icon,add transparency,different
hint change default settings tools,add transparency,different
checkmark confirm tool applications,add transparency,different
copy paste symbols stamp tool selection application,add transparency,different
save dialog,add transparency,different
better compression research implementation,add transparency,different
export,add transparency,different
confirm tool application selecting tool,add transparency,different
center button transform tool,add transparency,different
fastlane support huawei store,add transparency,different
github crowdin integration,add transparency,different
build paintroid pull requests catroid develop jenkins,add transparency,different
reuse drawingsurface pipette activity,add transparency,different
image file size editing,add transparency,different
upload mapping jenkins release builds,add transparency,different
correct user intended position tools,add transparency,different
close transform tool options clicking apply,adding text,different
save temporary copies automatically,adding text,different
paste tool,adding text,different
save load pocketpaint format,adding text,different
save load pocketpaint format,adding text,different
hide unhide layer,adding text,different
share feature,adding text,different
feedback menu entry overflow menu,adding text,different
spray tool,adding text,different
insert image catrobat media gallery,adding text,different
auto crop icon,adding text,different
hint change default settings tools,adding text,different
checkmark confirm tool applications,adding text,different
copy paste symbols stamp tool selection application,adding text,different
save dialog,adding text,different
better compression research implementation,adding text,different
export,adding text,different
confirm tool application selecting tool,adding text,different
center button transform tool,adding text,different
fastlane support huawei store,adding text,different
github crowdin integration,adding text,different
build paintroid pull requests catroid develop jenkins,adding text,different
reuse drawingsurface pipette activity,adding text,different
image file size editing,adding text,different
upload mapping jenkins release builds,adding text,different
correct user intended position tools,adding text,different
dynamic color scheme,adding text,different
close transform tool options clicking apply,air brush,different
save temporary copies automatically,air brush,different
paste tool,air brush,different
save load pocketpaint format,air brush,different
save load pocketpaint format,air brush,different
hide unhide layer,air brush,different
share feature,air brush,different
feedback menu entry overflow menu,air brush,different
spray tool,air brush,different
insert image catrobat media gallery,air brush,different
auto crop icon,air brush,different
hint change default settings tools,air brush,different
checkmark confirm tool applications,air brush,different
copy paste symbols stamp tool selection application,air brush,different
save dialog,air brush,different
better compression research implementation,air brush,different
export,air brush,different
confirm tool application selecting tool,air brush,different
center button transform tool,air brush,different
fastlane support huawei store,air brush,different
github crowdin integration,air brush,different
build paintroid pull requests catroid develop jenkins,air brush,different
reuse drawingsurface pipette activity,air brush,different
image file size editing,air brush,different
upload mapping jenkins release builds,air brush,different
correct user intended position tools,air brush,different
dynamic color scheme,air brush,different
