,Feature 1,Feature 2,Label,Cosine Similarity,Predicted Label
16,spray tool,spray tool,similar,1.000000119,similar
7,paste tool,paste a part,similar,0.924647331,similar
8,paste tool,paste images,similar,0.895172596,similar
1,paste tool,copy paste,similar,0.855311573,similar
1050,correct user intended position tools,correct point,different,0.848976135,similar
30,dynamic color scheme,color grid,different,0.847746491,similar
1695,dynamic color scheme,fill color,different,0.843943536,similar
0,dynamic color scheme,colour shades,similar,0.834153593,similar
2368,correct user intended position tools,intuitive layout,different,0.826105833,different
34,dynamic color scheme,applying a color,different,0.824268579,different
5,image file size editing,image editing,similar,0.82049644,different
2611,correct user intended position tools,liked line tool,different,0.801431179,different
4198,paste tool,resize tool,different,0.800195992,different
1508,dynamic color scheme,dynamic brushes,different,0.799953878,different
5217,share feature,user interface,different,0.794526339,different
4213,confirm tool application selecting tool,resize tool,different,0.787650049,different
4063,dynamic color scheme,reflect chosen colour,different,0.784450233,different
920,dynamic color scheme,colour fill option,different,0.784434199,different
5244,share feature,version ads,different,0.783964872,different
17,dynamic color scheme,color fill tool,different,0.783514977,different
12,confirm tool application selecting tool,selection tool,similar,0.782824159,different
815,dynamic color scheme,color drawings,different,0.782510996,different
1349,paste tool,draw frames,different,0.782410145,different
4547,share feature,settings option,different,0.779993832,different
2180,correct user intended position tools,good work,different,0.779306531,different
27,dynamic color scheme,select transparent on colors,different,0.777772069,different
4495,share feature,selection tool,different,0.772058725,different
1078,dynamic color scheme,create graphics,different,0.76945436,different
2,copy paste symbols stamp tool selection application,copy paste,similar,0.763178766,different
5029,share feature,think concept,different,0.762698531,different
1112,share feature,creating a option,different,0.760723948,different
13,hint change default settings tools,settings option,similar,0.760472894,different
4274,correct user intended position tools,respect landscape orientation,different,0.760289788,different
31,dynamic color scheme,color picker,different,0.757489264,different
29,dynamic color scheme,add more colour,different,0.756704748,different
3301,export,move image,different,0.755223632,different
2558,dynamic color scheme,like paint,different,0.755132198,different
4146,paste tool,resize picture,different,0.754653156,different
834,center button transform tool,color fill tool,different,0.752996266,different
1123,confirm tool application selecting tool,creating a option,different,0.752260447,different
4328,correct user intended position tools,satisfy my experience,different,0.750094533,different
3274,export,move bits,different,0.749854386,different
4214,center button transform tool,resize tool,different,0.749068379,different
1117,hint change default settings tools,creating a option,different,0.74888736,different
2642,paste tool,line tools,different,0.744897604,different
818,paste tool,color fill tool,different,0.744431138,different
2332,export,inport picture,different,0.743681192,different
2615,paste tool,line shapes,different,0.74221468,different
5240,paste tool,version ads,different,0.741964519,different
5254,export,version ads,different,0.741529167,different
2153,correct user intended position tools,good range,different,0.74077487,different
5040,confirm tool application selecting tool,think concept,different,0.739645839,different
710,paste tool,clone tool,different,0.739265501,different
4541,close transform tool options clicking apply,settings option,different,0.734319746,different
5163,share feature,ui design,different,0.734121621,different
3643,spray tool,paint bucket,different,0.733547211,different
4204,spray tool,resize tool,different,0.732922852,different
467,paste tool,blur tool,different,0.732909322,different
3598,confirm tool application selecting tool,outline an addition,different,0.731563866,different
3,image file size editing,editing large images,similar,0.731180191,different
1821,confirm tool application selecting tool,find a place,different,0.730803847,different
5231,github crowdin integration,user interface,different,0.730751872,different
4504,export,selection tool,different,0.730457246,different
5249,hint change default settings tools,version ads,different,0.729331613,different
3311,dynamic color scheme,move image,different,0.728724718,different
2126,correct user intended position tools,good art,different,0.72842288,different
3608,close transform tool options clicking apply,output resolution,different,0.727845013,different
19,auto crop icon,crop images,different,0.725696385,different
3042,close transform tool options clicking apply,marking options,different,0.725598335,different
3341,paste tool,ms paint,different,0.724666119,different
2584,correct user intended position tools,liked line,different,0.724455774,different
3634,dynamic color scheme,output resolution,different,0.724023402,different
3625,confirm tool application selecting tool,output resolution,different,0.723469257,different
2080,share feature,go hang,different,0.723098516,different
3792,correct user intended position tools,perfect substitute,different,0.7218256,different
2090,export,go hang,different,0.72144717,different
4971,paste tool,text outline,different,0.719951272,different
4756,paste tool,spray tool,different,0.719020128,different
4491,paste tool,selection tool,different,0.717463553,different
5399,dynamic color scheme,zooming capabilities,different,0.717263818,different
3624,export,output resolution,different,0.716588855,different
3291,share feature,move image,different,0.716541111,different
463,correct user intended position tools,basic components,different,0.716227531,different
4202,share feature,resize tool,different,0.71572876,different
4196,close transform tool options clicking apply,resize tool,different,0.715512812,different
2639,dynamic color scheme,line shapes,different,0.715459943,different
1106,close transform tool options clicking apply,creating a option,different,0.714705706,different
4557,confirm tool application selecting tool,settings option,different,0.714462042,different
205,spray tool,air brush,different,0.714161396,different
838,reuse drawingsurface pipette activity,color fill tool,different,0.714148164,different
2238,paste tool,image editing,different,0.714096248,different
3614,share feature,output resolution,different,0.714081168,different
1376,paste tool,draw some lines,different,0.7139498,different
4489,close transform tool options clicking apply,selection tool,different,0.713742256,different
410,dynamic color scheme,available font,different,0.712967873,different
32,dynamic color scheme,colour picker,different,0.71277374,different
5039,export,think concept,different,0.712545931,different
1725,paste tool,fill tools,different,0.71219182,different
5050,close transform tool options clicking apply,toggle move option,different,0.711981535,different
5132,paste tool,type text,different,0.711529493,different
4144,close transform tool options clicking apply,resize picture,different,0.711430371,different
2951,confirm tool application selecting tool,main issue tools,different,0.711174786,different
4208,checkmark confirm tool applications,resize tool,different,0.710116506,different
3044,paste tool,marking options,different,0.709750414,different
2235,dynamic color scheme,ground color change,different,0.709210753,different
491,dynamic color scheme,blur tool,different,0.708715677,different
1538,paste tool,edit small things,different,0.708619773,different
63,dynamic color scheme,add a blur,different,0.7083112,different
1054,paste tool,create graphics,different,0.707844973,different
3284,dynamic color scheme,move bits,different,0.707552135,different
3059,confirm tool application selecting tool,marking options,different,0.70750773,different
4212,export,resize tool,different,0.706068754,different
2662,reuse drawingsurface pipette activity,line tools,different,0.706016064,different
4452,export,see this drive,different,0.705914199,different
4,export,export my pictures,similar,0.705583692,different
3392,dynamic color scheme,multi touch interface,different,0.705477357,different
3068,dynamic color scheme,marking options,different,0.705151796,different
3230,dynamic color scheme,more shapes,different,0.704723179,different
2322,share feature,inport picture,different,0.704569459,different
4158,save dialog,resize picture,different,0.703861713,different
2963,paste tool,manipulator programs,different,0.703295112,different
139,reuse drawingsurface pipette activity,add pen tool,different,0.703149319,different
3709,reuse drawingsurface pipette activity,paste a part,different,0.702850103,different
3637,paste tool,paint bucket,different,0.702496946,different
4292,export,rotation controls,different,0.702194154,different
3904,save load pocketpaint format,pocket code,different,0.70199573,different
3905,save load pocketpaint format,pocket code,different,0.70199573,different
3748,spray tool,paths brushes,different,0.701940298,different
4554,save dialog,settings option,different,0.701474071,different
5174,confirm tool application selecting tool,ui design,different,0.701366425,different
1299,share feature,device folder,different,0.701116204,different
1698,paste tool,fill tool fills,different,0.700772405,different
3714,close transform tool options clicking apply,paste images,different,0.700692713,different
5168,hint change default settings tools,ui design,different,0.700677395,different
4566,dynamic color scheme,settings option,different,0.700588584,different
5222,hint change default settings tools,user interface,different,0.700119972,different
3664,paste tool,paint file,different,0.699946761,different
3431,hint change default settings tools,new image option,different,0.699633837,different
1001,save temporary copies automatically,copy paste,different,0.699381113,different
5318,dynamic color scheme,wide range,different,0.699237645,different
4172,paste tool,resize pictures,different,0.699052453,different
2534,paste tool,like paint,different,0.698883653,different
4294,center button transform tool,rotation controls,different,0.698728561,different
4169,dynamic color scheme,resize picture,different,0.698544681,different
84,github crowdin integration,add graph,different,0.698166668,different
1625,insert image catrobat media gallery,export my pictures,different,0.697396338,different
1511,paste tool,edit photos of gacha,different,0.697209001,different
3326,save dialog,move text,different,0.696996212,different
4929,save dialog,text input option,different,0.696739018,different
