,Feature 1,Feature 2,Label,Cosine Similarity,Predicted Label
16,spray tool,spray tool,similar,1.000000119,similar
7,paste tool,paste a part,similar,0.902461112,similar
8,paste tool,paste images,similar,0.854839206,similar
13,hint change default settings tools,settings option,similar,0.844585776,similar
12,confirm tool application selecting tool,selection tool,similar,0.833796322,similar
0,dynamic color scheme,colour shades,similar,0.824326575,similar
4,export,export my pictures,similar,0.82238698,similar
1050,correct user intended position tools,correct point,different,0.820465207,similar
1695,dynamic color scheme,fill color,different,0.819176257,different
2611,correct user intended position tools,liked line tool,different,0.811025143,different
4557,confirm tool application selecting tool,settings option,different,0.796086609,different
3059,confirm tool application selecting tool,marking options,different,0.79455626,different
4213,confirm tool application selecting tool,resize tool,different,0.791823447,different
467,paste tool,blur tool,different,0.789627433,different
920,dynamic color scheme,colour fill option,different,0.78847146,different
29,dynamic color scheme,add more colour,different,0.78772831,different
1123,confirm tool application selecting tool,creating a option,different,0.785380602,different
5,image file size editing,image editing,similar,0.781204283,different
34,dynamic color scheme,applying a color,different,0.781196773,different
4063,dynamic color scheme,reflect chosen colour,different,0.779176176,different
4501,checkmark confirm tool applications,selection tool,different,0.774306715,different
4050,save dialog,reduces resolution,different,0.772670925,different
4208,checkmark confirm tool applications,resize tool,different,0.771131158,different
4214,center button transform tool,resize tool,different,0.769340038,different
4547,share feature,settings option,different,0.769315124,different
30,dynamic color scheme,color grid,different,0.768978179,different
1508,dynamic color scheme,dynamic brushes,different,0.768419147,different
5217,share feature,user interface,different,0.768133163,different
4161,confirm tool application selecting tool,resize picture,different,0.768053472,different
3372,share feature,multi touch interface,different,0.766861796,different
4198,paste tool,resize tool,different,0.764804959,different
3598,confirm tool application selecting tool,outline an addition,different,0.764527857,different
4552,checkmark confirm tool applications,settings option,different,0.762849569,different
3054,checkmark confirm tool applications,marking options,different,0.755678177,different
1725,paste tool,fill tools,different,0.755395889,different
4794,save dialog,stop camera,different,0.753638804,different
3643,spray tool,paint bucket,different,0.751901329,different
4495,share feature,selection tool,different,0.751161039,different
2235,dynamic color scheme,ground color change,different,0.750145674,different
17,dynamic color scheme,color fill tool,different,0.749627233,different
1117,hint change default settings tools,creating a option,different,0.748521149,different
2584,correct user intended position tools,liked line,different,0.744380057,different
4104,save dialog,removes exif data,different,0.74296385,different
683,paste tool,circle tools,different,0.741396844,different
2897,confirm tool application selecting tool,made reviews,different,0.740000725,different
3,image file size editing,editing large images,similar,0.738672614,different
4187,confirm tool application selecting tool,resize pictures,different,0.738409638,different
4156,checkmark confirm tool applications,resize picture,different,0.738283992,different
1112,share feature,creating a option,different,0.73530072,different
4581,save dialog,shrink an image,different,0.734959722,different
2642,paste tool,line tools,different,0.733538151,different
4491,paste tool,selection tool,different,0.73342514,different
1698,paste tool,fill tool fills,different,0.732596576,different
1,paste tool,copy paste,similar,0.730524123,different
2970,insert image catrobat media gallery,manipulator programs,different,0.729237854,different
4320,confirm tool application selecting tool,satisfy my experience,different,0.728457689,different
4512,correct user intended position tools,selection tool,different,0.728286445,different
4500,hint change default settings tools,selection tool,different,0.728121936,different
4221,correct user intended position tools,resize tool,different,0.723285019,different
3053,hint change default settings tools,marking options,different,0.722358406,different
5348,paste tool,zoom tool,different,0.721498966,different
5399,dynamic color scheme,zooming capabilities,different,0.720375955,different
5174,confirm tool application selecting tool,ui design,different,0.720151663,different
572,dynamic color scheme,change width,different,0.720107436,different
2867,save dialog,lowers resolution,different,0.720081031,different
3972,confirm tool application selecting tool,put titles,different,0.719054222,different
1714,center button transform tool,fill tool fills,different,0.718664527,different
710,paste tool,clone tool,different,0.718443811,different
31,dynamic color scheme,color picker,different,0.718271613,different
4328,correct user intended position tools,satisfy my experience,different,0.71785903,different
633,share feature,chat thing,different,0.717462301,different
1741,center button transform tool,fill tools,different,0.716982365,different
5061,hint change default settings tools,toggle move option,different,0.715989292,different
3593,checkmark confirm tool applications,outline an addition,different,0.715896189,different
3437,confirm tool application selecting tool,new image option,different,0.715063155,different
3931,save load pocketpaint format,pocket paint,different,0.713142455,different
3932,save load pocketpaint format,pocket paint,different,0.713142455,different
2840,save dialog,lower resolution,different,0.712376773,different
3048,share feature,marking options,different,0.711866617,different
4146,paste tool,resize picture,different,0.711712956,different
4315,checkmark confirm tool applications,satisfy my experience,different,0.711166501,different
4182,checkmark confirm tool applications,resize pictures,different,0.711022377,different
5364,center button transform tool,zoom tool,different,0.710253954,different
4608,save dialog,shrinks image size,different,0.710183978,different
1074,reuse drawingsurface pipette activity,create graphics,different,0.709991574,different
2892,checkmark confirm tool applications,made reviews,different,0.709838986,different
401,confirm tool application selecting tool,available font,different,0.709680617,different
1713,confirm tool application selecting tool,fill tool fills,different,0.709465444,different
4905,confirm tool application selecting tool,tell resolution,different,0.709049821,different
473,spray tool,blur tool,different,0.708938062,different
4446,auto crop icon,see this drive,different,0.708688378,different
2180,correct user intended position tools,good work,different,0.708087564,different
32,dynamic color scheme,colour picker,different,0.707860887,different
5029,share feature,think concept,different,0.707010865,different
3431,hint change default settings tools,new image option,different,0.70656085,different
4558,center button transform tool,settings option,different,0.706528842,different
5222,hint change default settings tools,user interface,different,0.706469059,different
1118,checkmark confirm tool applications,creating a option,different,0.706457615,different
4150,share feature,resize picture,different,0.706356585,different
5228,confirm tool application selecting tool,user interface,different,0.706110418,different
2368,correct user intended position tools,intuitive layout,different,0.706079006,different
1829,correct user intended position tools,find a place,different,0.706073701,different
782,github crowdin integration,code to games,different,0.70595026,different
3230,dynamic color scheme,more shapes,different,0.705681264,different
1708,checkmark confirm tool applications,fill tool fills,different,0.704658091,different
1668,dynamic color scheme,favourite colours,different,0.70438385,different
5056,share feature,toggle move option,different,0.704253733,different
3694,share feature,paste a part,different,0.703282297,different
755,github crowdin integration,code games,different,0.702934146,different
4309,share feature,satisfy my experience,different,0.702134073,different
5040,confirm tool application selecting tool,think concept,different,0.701016128,different
1518,insert image catrobat media gallery,edit photos of gacha,different,0.700914443,different
5223,checkmark confirm tool applications,user interface,different,0.700282872,different
