,Feature 1,Feature 2,Label,Cosine Similarity,Predicted Label
16,spray tool,spray tool,similar,1.000000119,similar
8,paste tool,paste images,similar,0.834483087,similar
7,paste tool,paste a part,similar,0.81682831,similar
3,image file size editing,editing large images,similar,0.795103371,similar
5,image file size editing,image editing,similar,0.762459517,similar
13,hint change default settings tools,settings option,similar,0.758637488,similar
12,confirm tool application selecting tool,selection tool,similar,0.721693158,similar
4,export,export my pictures,similar,0.719386756,similar
2,copy paste symbols stamp tool selection application,copy paste,similar,0.718800843,similar
2611,correct user intended position tools,liked line tool,different,0.690061986,different
0,dynamic color scheme,colour shades,similar,0.685487688,different
2657,confirm tool application selecting tool,line tools,different,0.669689834,different
2951,confirm tool application selecting tool,main issue tools,different,0.654812276,different
29,dynamic color scheme,add more colour,different,0.645226955,different
2946,checkmark confirm tool applications,main issue tools,different,0.639273942,different
3643,spray tool,paint bucket,different,0.625820637,different
10,image file size editing,resizing entire image,similar,0.623053372,different
34,dynamic color scheme,applying a color,different,0.620322704,different
4063,dynamic color scheme,reflect chosen colour,different,0.619041622,different
5068,center button transform tool,toggle move option,different,0.616909266,different
467,paste tool,blur tool,different,0.615441024,different
2652,checkmark confirm tool applications,line tools,different,0.60948503,different
4501,checkmark confirm tool applications,selection tool,different,0.607983947,different
1050,correct user intended position tools,correct point,different,0.604216754,different
4213,confirm tool application selecting tool,resize tool,different,0.600132704,different
1748,correct user intended position tools,fill tools,different,0.596281588,different
1123,confirm tool application selecting tool,creating a option,different,0.593834221,different
1,paste tool,copy paste,similar,0.590315521,different
2665,correct user intended position tools,line tools,different,0.587499499,different
4557,confirm tool application selecting tool,settings option,different,0.586573362,different
2235,dynamic color scheme,ground color change,different,0.585746825,different
3931,save load pocketpaint format,pocket paint,different,0.583265424,different
3932,save load pocketpaint format,pocket paint,different,0.583265424,different
1074,reuse drawingsurface pipette activity,create graphics,different,0.58289212,different
4221,correct user intended position tools,resize tool,different,0.582640409,different
920,dynamic color scheme,colour fill option,different,0.579240859,different
3040,correct user intended position tools,many tools,different,0.573390067,different
5222,hint change default settings tools,user interface,different,0.570825517,different
3735,reuse drawingsurface pipette activity,paste images,different,0.570443273,different
4552,checkmark confirm tool applications,settings option,different,0.57025063,different
1721,correct user intended position tools,fill tool fills,different,0.569404244,different
487,reuse drawingsurface pipette activity,blur tool,different,0.568664849,different
24,image file size editing,resize pictures,similar,0.567699671,different
2285,image file size editing,image edition,different,0.567229211,different
1740,confirm tool application selecting tool,fill tools,different,0.565056741,different
