,Feature 1,Feature 2,Label,Jaccard Similarity,Predicted Label
16,spray tool,spray tool,similar,1,similar
5,image file size editing,image editing,similar,0.5,similar
2285,image file size editing,image edition,different,0.5,similar
4,export,export my pictures,similar,0.333333333,different
8,paste tool,paste images,similar,0.333333333,different
467,paste tool,blur tool,different,0.333333333,different
473,spray tool,blur tool,different,0.333333333,different
683,paste tool,circle tools,different,0.333333333,different
689,spray tool,circle tools,different,0.333333333,different
710,paste tool,clone tool,different,0.333333333,different
716,spray tool,clone tool,different,0.333333333,different
1187,paste tool,curve tool,different,0.333333333,different
1193,spray tool,curve tool,different,0.333333333,different
1725,paste tool,fill tools,different,0.333333333,different
1731,spray tool,fill tools,different,0.333333333,different
2642,paste tool,line tools,different,0.333333333,different
2648,spray tool,line tools,different,0.333333333,different
3017,paste tool,many tools,different,0.333333333,different
3023,spray tool,many tools,different,0.333333333,different
4198,paste tool,resize tool,different,0.333333333,different
4204,spray tool,resize tool,different,0.333333333,different
4491,paste tool,selection tool,different,0.333333333,different
4497,spray tool,selection tool,different,0.333333333,different
4756,paste tool,spray tool,different,0.333333333,different
5348,paste tool,zoom tool,different,0.333333333,different
5354,spray tool,zoom tool,different,0.333333333,different
11,copy paste symbols stamp tool selection application,selection tool,similar,0.285714286,different
7,paste tool,paste a part,similar,0.25,different
18,auto crop icon,crop edge,different,0.25,different
19,auto crop icon,crop images,different,0.25,different
28,dynamic color scheme,transparent color,different,0.25,different
30,dynamic color scheme,color grid,different,0.25,different
31,dynamic color scheme,color picker,different,0.25,different
119,paste tool,add pen tool,different,0.25,different
125,spray tool,add pen tool,different,0.25,different
815,dynamic color scheme,color drawings,different,0.25,different
818,paste tool,color fill tool,different,0.25,different
824,spray tool,color fill tool,different,0.25,different
1508,dynamic color scheme,dynamic brushes,different,0.25,different
1695,dynamic color scheme,fill color,different,0.25,different
1698,paste tool,fill tool fills,different,0.25,different
1704,spray tool,fill tool fills,different,0.25,different
2588,paste tool,liked line tool,different,0.25,different
2594,spray tool,liked line tool,different,0.25,different
2936,paste tool,main issue tools,different,0.25,different
2942,spray tool,main issue tools,different,0.25,different
3182,hide unhide layer,more layers,different,0.25,different
4342,save dialog,save your favourite,different,0.25,different
12,confirm tool application selecting tool,selection tool,similar,0.2,different
17,dynamic color scheme,color fill tool,different,0.2,different
20,save load pocketpaint format,load photos,different,0.2,different
21,save load pocketpaint format,load photos,different,0.2,different
22,save load pocketpaint format,load pictures,different,0.2,different
34,dynamic color scheme,applying a color,different,0.2,different
367,auto crop icon,auto zoom kills,different,0.2,different
477,checkmark confirm tool applications,blur tool,different,0.2,different
482,confirm tool application selecting tool,blur tool,different,0.2,different
483,center button transform tool,blur tool,different,0.2,different
693,checkmark confirm tool applications,circle tools,different,0.2,different
698,confirm tool application selecting tool,circle tools,different,0.2,different
699,center button transform tool,circle tools,different,0.2,different
720,checkmark confirm tool applications,clone tool,different,0.2,different
725,confirm tool application selecting tool,clone tool,different,0.2,different
726,center button transform tool,clone tool,different,0.2,different
1197,checkmark confirm tool applications,curve tool,different,0.2,different
1202,confirm tool application selecting tool,curve tool,different,0.2,different
1203,center button transform tool,curve tool,different,0.2,different
1403,paste tool,drawing tool for kids,different,0.2,different
1409,spray tool,drawing tool for kids,different,0.2,different
1735,checkmark confirm tool applications,fill tools,different,0.2,different
1740,confirm tool application selecting tool,fill tools,different,0.2,different
1741,center button transform tool,fill tools,different,0.2,different
2235,dynamic color scheme,ground color change,different,0.2,different
2652,checkmark confirm tool applications,line tools,different,0.2,different
2657,confirm tool application selecting tool,line tools,different,0.2,different
2658,center button transform tool,line tools,different,0.2,different
2695,save load pocketpaint format,load pictures,different,0.2,different
3027,checkmark confirm tool applications,many tools,different,0.2,different
3032,confirm tool application selecting tool,many tools,different,0.2,different
3033,center button transform tool,many tools,different,0.2,different
4208,checkmark confirm tool applications,resize tool,different,0.2,different
4213,confirm tool application selecting tool,resize tool,different,0.2,different
4214,center button transform tool,resize tool,different,0.2,different
4501,checkmark confirm tool applications,selection tool,different,0.2,different
4505,center button transform tool,selection tool,different,0.2,different
4765,checkmark confirm tool applications,spray tool,different,0.2,different
4770,confirm tool application selecting tool,spray tool,different,0.2,different
4771,center button transform tool,spray tool,different,0.2,different
5358,checkmark confirm tool applications,zoom tool,different,0.2,different
5363,confirm tool application selecting tool,zoom tool,different,0.2,different
5364,center button transform tool,zoom tool,different,0.2,different
13,hint change default settings tools,settings option,similar,0.166666667,different
14,image file size editing,shrinks image size,similar,0.166666667,different
25,save temporary copies automatically,save your favourite,different,0.166666667,different
26,save load pocketpaint format,save your favourite,different,0.166666667,different
27,dynamic color scheme,select transparent on colors,different,0.166666667,different
129,checkmark confirm tool applications,add pen tool,different,0.166666667,different
134,confirm tool application selecting tool,add pen tool,different,0.166666667,different
135,center button transform tool,add pen tool,different,0.166666667,different
476,hint change default settings tools,blur tool,different,0.166666667,different
490,correct user intended position tools,blur tool,different,0.166666667,different
557,hint change default settings tools,change width,different,0.166666667,different
692,hint change default settings tools,circle tools,different,0.166666667,different
706,correct user intended position tools,circle tools,different,0.166666667,different
719,hint change default settings tools,clone tool,different,0.166666667,different
733,correct user intended position tools,clone tool,different,0.166666667,different
828,checkmark confirm tool applications,color fill tool,different,0.166666667,different
833,confirm tool application selecting tool,color fill tool,different,0.166666667,different
834,center button transform tool,color fill tool,different,0.166666667,different
1050,correct user intended position tools,correct point,different,0.166666667,different
1196,hint change default settings tools,curve tool,different,0.166666667,different
1210,correct user intended position tools,curve tool,different,0.166666667,different
1559,image file size editing,edit small things,different,0.166666667,different
1708,checkmark confirm tool applications,fill tool fills,different,0.166666667,different
1713,confirm tool application selecting tool,fill tool fills,different,0.166666667,different
1714,center button transform tool,fill tool fills,different,0.166666667,different
1734,hint change default settings tools,fill tools,different,0.166666667,different
1748,correct user intended position tools,fill tools,different,0.166666667,different
2245,insert image catrobat media gallery,image editing,different,0.166666667,different
2271,insert image catrobat media gallery,image edition,different,0.166666667,different
2598,checkmark confirm tool applications,liked line tool,different,0.166666667,different
2603,confirm tool application selecting tool,liked line tool,different,0.166666667,different
2604,center button transform tool,liked line tool,different,0.166666667,different
2651,hint change default settings tools,line tools,different,0.166666667,different
2665,correct user intended position tools,line tools,different,0.166666667,different
2946,checkmark confirm tool applications,main issue tools,different,0.166666667,different
2951,confirm tool application selecting tool,main issue tools,different,0.166666667,different
2952,center button transform tool,main issue tools,different,0.166666667,different
3026,hint change default settings tools,many tools,different,0.166666667,different
3040,correct user intended position tools,many tools,different,0.166666667,different
3443,image file size editing,new image option,different,0.166666667,different
4207,hint change default settings tools,resize tool,different,0.166666667,different
