,Feature 1,Feature 2,Label,Cosine Similarity,Predicted Label
0,dynamic color scheme,colour shades,similar,0.8341535925865173,similar
1,paste tool,copy paste,similar,0.8553115725517273,similar
2,copy paste symbols stamp tool selection application,copy paste,similar,0.7631787657737732,similar
3,image file size editing,editing large images,similar,0.7311801910400391,similar
4,export,export my pictures,similar,0.7055836915969849,similar
5,image file size editing,image editing,similar,0.8204964399337769,similar
6,correct user intended position tools,original position,similar,0.6558831930160522,similar
7,paste tool,paste a part,similar,0.924647331237793,similar
8,paste tool,paste images,similar,0.8951725959777832,similar
9,image file size editing,resize picture,similar,0.6391286253929138,similar
10,image file size editing,resizing entire image,similar,0.6097432374954224,similar
11,copy paste symbols stamp tool selection application,selection tool,similar,0.5381631851196289,different
12,confirm tool application selecting tool,selection tool,similar,0.7828241586685181,similar
13,hint change default settings tools,settings option,similar,0.7604728937149048,similar
14,image file size editing,shrinks image size,similar,0.6419402360916138,similar
15,confirm tool application selecting tool,simple area selection,similar,0.47303441166877747,different
16,spray tool,spray tool,similar,1.0000001192092896,similar
17,dynamic color scheme,color fill tool,different,0.7835149765014648,similar
18,auto crop icon,crop edge,different,0.6265700459480286,similar
19,auto crop icon,crop images,different,0.7256963849067688,similar
20,save load pocketpaint format,load photos,different,0.591154158115387,similar
21,save load pocketpaint format,load photos,different,0.591154158115387,similar
22,save load pocketpaint format,load pictures,different,0.5478953123092651,different
23,copy paste symbols stamp tool selection application,paste a part,similar,0.6019869446754456,similar
24,image file size editing,resize pictures,similar,0.6354091167449951,similar
25,save temporary copies automatically,save your favourite,different,0.6414682865142822,similar
26,save load pocketpaint format,save your favourite,different,0.5355553030967712,different
27,dynamic color scheme,select transparent on colors,different,0.777772068977356,similar
28,dynamic color scheme,transparent color,different,0.622860848903656,similar
29,dynamic color scheme,add more colour,different,0.7567047476768494,similar
30,dynamic color scheme,color grid,different,0.8477464914321899,similar
31,dynamic color scheme,color picker,different,0.7574892640113831,similar
32,dynamic color scheme,colour picker,different,0.7127737402915955,similar
33,dynamic color scheme,add transparency,different,0.6609824299812317,similar
34,dynamic color scheme,applying a color,different,0.8242685794830322,similar
35,dynamic color scheme,applying transparency,different,0.6485188007354736,similar
36,dynamic color scheme,pictures with transparency,different,0.5971909165382385,similar
37,close transform tool options clicking apply,add a blur,different,0.5923339128494263,similar
38,save temporary copies automatically,add a blur,different,0.5619404911994934,different
39,paste tool,add a blur,different,0.6548559069633484,similar
40,save load pocketpaint format,add a blur,different,0.45246344804763794,different
41,save load pocketpaint format,add a blur,different,0.45246344804763794,different
42,hide unhide layer,add a blur,different,0.5989450812339783,similar
43,share feature,add a blur,different,0.5633245706558228,different
44,feedback menu entry overflow menu,add a blur,different,0.38770344853401184,different
45,spray tool,add a blur,different,0.5946516990661621,similar
46,insert image catrobat media gallery,add a blur,different,0.5769696235656738,different
47,auto crop icon,add a blur,different,0.359652578830719,different
48,hint change default settings tools,add a blur,different,0.612242579460144,similar
49,checkmark confirm tool applications,add a blur,different,0.5207479000091553,different
50,copy paste symbols stamp tool selection application,add a blur,different,0.3882138729095459,different
51,save dialog,add a blur,different,0.5737015008926392,different
52,better compression research implementation,add a blur,different,0.4564722180366516,different
53,export,add a blur,different,0.6282057762145996,similar
54,confirm tool application selecting tool,add a blur,different,0.4692648947238922,different
55,center button transform tool,add a blur,different,0.5578874349594116,different
56,fastlane support huawei store,add a blur,different,0.33326470851898193,different
57,github crowdin integration,add a blur,different,0.4908859133720398,different
58,build paintroid pull requests catroid develop jenkins,add a blur,different,0.40893179178237915,different
59,reuse drawingsurface pipette activity,add a blur,different,0.5535954833030701,different
60,image file size editing,add a blur,different,0.5370989441871643,different
61,upload mapping jenkins release builds,add a blur,different,0.43308669328689575,different
62,correct user intended position tools,add a blur,different,0.4112935960292816,different
63,dynamic color scheme,add a blur,different,0.7083112001419067,similar
64,close transform tool options clicking apply,add graph,different,0.5975039005279541,similar
65,save temporary copies automatically,add graph,different,0.500271201133728,different
66,paste tool,add graph,different,0.6248283982276917,similar
67,save load pocketpaint format,add graph,different,0.5701804757118225,different
68,save load pocketpaint format,add graph,different,0.5701804757118225,different
69,hide unhide layer,add graph,different,0.4250166416168213,different
70,share feature,add graph,different,0.6112877130508423,similar
71,feedback menu entry overflow menu,add graph,different,0.5190510153770447,different
72,spray tool,add graph,different,0.40814918279647827,different
73,insert image catrobat media gallery,add graph,different,0.5484886169433594,different
74,auto crop icon,add graph,different,0.5040875673294067,different
75,hint change default settings tools,add graph,different,0.6055464148521423,similar
76,checkmark confirm tool applications,add graph,different,0.5675866603851318,different
77,copy paste symbols stamp tool selection application,add graph,different,0.48602020740509033,different
78,save dialog,add graph,different,0.5678296685218811,different
79,better compression research implementation,add graph,different,0.3403807282447815,different
80,export,add graph,different,0.5631552338600159,different
81,confirm tool application selecting tool,add graph,different,0.5693073272705078,different
82,center button transform tool,add graph,different,0.5549411773681641,different
83,fastlane support huawei store,add graph,different,0.42866480350494385,different
84,github crowdin integration,add graph,different,0.6981666684150696,similar
85,build paintroid pull requests catroid develop jenkins,add graph,different,0.4025407135486603,different
86,reuse drawingsurface pipette activity,add graph,different,0.5903311967849731,similar
87,image file size editing,add graph,different,0.567371129989624,different
88,upload mapping jenkins release builds,add graph,different,0.60289466381073,similar
89,correct user intended position tools,add graph,different,0.3741820156574249,different
90,dynamic color scheme,add graph,different,0.5101094245910645,different
91,close transform tool options clicking apply,add more colour,different,0.45559677481651306,different
92,save temporary copies automatically,add more colour,different,0.48553866147994995,different
93,paste tool,add more colour,different,0.5237925052642822,different
94,save load pocketpaint format,add more colour,different,0.32522815465927124,different
95,save load pocketpaint format,add more colour,different,0.32522815465927124,different
96,hide unhide layer,add more colour,different,0.4333339333534241,different
97,share feature,add more colour,different,0.46018898487091064,different
98,feedback menu entry overflow menu,add more colour,different,0.28911447525024414,different
99,spray tool,add more colour,different,0.5104672312736511,different
100,insert image catrobat media gallery,add more colour,different,0.4508010745048523,different
101,auto crop icon,add more colour,different,0.3159693479537964,different
102,hint change default settings tools,add more colour,different,0.516795814037323,different
103,checkmark confirm tool applications,add more colour,different,0.3975159227848053,different
104,copy paste symbols stamp tool selection application,add more colour,different,0.31799739599227905,different
105,save dialog,add more colour,different,0.5129745602607727,different
106,better compression research implementation,add more colour,different,0.6015726327896118,similar
107,export,add more colour,different,0.5404280424118042,different
108,confirm tool application selecting tool,add more colour,different,0.44403496384620667,different
109,center button transform tool,add more colour,different,0.5336639881134033,different
110,fastlane support huawei store,add more colour,different,0.23730890452861786,different
111,github crowdin integration,add more colour,different,0.38557159900665283,different
112,build paintroid pull requests catroid develop jenkins,add more colour,different,0.3614916503429413,different
113,reuse drawingsurface pipette activity,add more colour,different,0.5422042012214661,different
114,image file size editing,add more colour,different,0.4558268189430237,different
115,upload mapping jenkins release builds,add more colour,different,0.41047292947769165,different
116,correct user intended position tools,add more colour,different,0.4243263900279999,different
117,close transform tool options clicking apply,add pen tool,different,0.5027080178260803,different
118,save temporary copies automatically,add pen tool,different,0.4976741075515747,different
119,paste tool,add pen tool,different,0.6953822374343872,similar
120,save load pocketpaint format,add pen tool,different,0.537177562713623,different
121,save load pocketpaint format,add pen tool,different,0.537177562713623,different
122,hide unhide layer,add pen tool,different,0.51170414686203,different
123,share feature,add pen tool,different,0.4735037684440613,different
124,feedback menu entry overflow menu,add pen tool,different,0.3117639422416687,different
125,spray tool,add pen tool,different,0.6885573863983154,similar
126,insert image catrobat media gallery,add pen tool,different,0.4722134470939636,different
127,auto crop icon,add pen tool,different,0.42665591835975647,different
128,hint change default settings tools,add pen tool,different,0.5787099599838257,different
129,checkmark confirm tool applications,add pen tool,different,0.5735388398170471,different
130,copy paste symbols stamp tool selection application,add pen tool,different,0.6100495457649231,similar
131,save dialog,add pen tool,different,0.5574483275413513,different
132,better compression research implementation,add pen tool,different,0.35375577211380005,different
133,export,add pen tool,different,0.5177264213562012,different
134,confirm tool application selecting tool,add pen tool,different,0.631353497505188,similar
135,center button transform tool,add pen tool,different,0.6140494346618652,similar
136,fastlane support huawei store,add pen tool,different,0.2964901030063629,different
137,github crowdin integration,add pen tool,different,0.46373534202575684,different
138,build paintroid pull requests catroid develop jenkins,add pen tool,different,0.3932308852672577,different
139,reuse drawingsurface pipette activity,add pen tool,different,0.7031493186950684,similar
140,image file size editing,add pen tool,different,0.41789084672927856,different
141,upload mapping jenkins release builds,add pen tool,different,0.5075361728668213,different
142,correct user intended position tools,add pen tool,different,0.47758030891418457,different
143,dynamic color scheme,add pen tool,different,0.4501247704029083,different
144,close transform tool options clicking apply,add transparency,different,0.6287881731987,similar
145,save temporary copies automatically,add transparency,different,0.5820688605308533,similar
146,paste tool,add transparency,different,0.5645997524261475,different
147,save load pocketpaint format,add transparency,different,0.5124803781509399,different
148,save load pocketpaint format,add transparency,different,0.5124803781509399,different
149,hide unhide layer,add transparency,different,0.4987756609916687,different
150,share feature,add transparency,different,0.6655619740486145,similar
151,feedback menu entry overflow menu,add transparency,different,0.3489110767841339,different
152,spray tool,add transparency,different,0.5589095950126648,different
153,insert image catrobat media gallery,add transparency,different,0.3835228681564331,different
154,auto crop icon,add transparency,different,0.2928988039493561,different
155,hint change default settings tools,add transparency,different,0.4963921010494232,different
156,checkmark confirm tool applications,add transparency,different,0.5685709714889526,different
157,copy paste symbols stamp tool selection application,add transparency,different,0.2948209047317505,different
158,save dialog,add transparency,different,0.6162025928497314,similar
159,better compression research implementation,add transparency,different,0.607840359210968,similar
160,export,add transparency,different,0.556304931640625,different
161,confirm tool application selecting tool,add transparency,different,0.5716943144798279,different
162,center button transform tool,add transparency,different,0.5000535249710083,different
163,fastlane support huawei store,add transparency,different,0.35798409581184387,different
164,github crowdin integration,add transparency,different,0.4833827018737793,different
165,build paintroid pull requests catroid develop jenkins,add transparency,different,0.2150593250989914,different
166,reuse drawingsurface pipette activity,add transparency,different,0.44293534755706787,different
167,image file size editing,add transparency,different,0.4546234905719757,different
168,upload mapping jenkins release builds,add transparency,different,0.3491414785385132,different
169,correct user intended position tools,add transparency,different,0.6689289808273315,similar
170,close transform tool options clicking apply,adding text,different,0.6233645677566528,similar
