,Feature 1,Feature 2,Label,Cosine Similarity,Predicted Label
0,dynamic color scheme,colour shades,similar,0.6884474158287048,different
1,paste tool,copy paste,similar,0.7624791264533997,different
2,copy paste symbols stamp tool selection application,copy paste,similar,0.6991134881973267,different
3,image file size editing,editing large images,similar,0.7977479696273804,different
4,export,export my pictures,similar,0.5192276239395142,different
5,image file size editing,image editing,similar,0.8142186403274536,different
6,correct user intended position tools,original position,similar,0.4461119771003723,different
7,paste tool,paste a part,similar,0.8530092835426331,similar
8,paste tool,paste images,similar,0.834279477596283,similar
9,image file size editing,resize picture,similar,0.5504814386367798,different
10,image file size editing,resizing entire image,similar,0.5589369535446167,different
11,copy paste symbols stamp tool selection application,selection tool,similar,0.4923270344734192,different
12,confirm tool application selecting tool,selection tool,similar,0.6021642684936523,different
13,hint change default settings tools,settings option,similar,0.5827872157096863,different
14,image file size editing,shrinks image size,similar,0.5180352926254272,different
15,confirm tool application selecting tool,simple area selection,similar,0.3498687446117401,different
16,spray tool,spray tool,similar,0.9999998807907104,similar
17,dynamic color scheme,color fill tool,different,0.5628094673156738,different
18,auto crop icon,crop edge,different,0.5179813504219055,different
19,auto crop icon,crop images,different,0.5992576479911804,different
20,save load pocketpaint format,load photos,different,0.48790407180786133,different
21,save load pocketpaint format,load photos,different,0.48790407180786133,different
22,save load pocketpaint format,load pictures,different,0.435224711894989,different
23,copy paste symbols stamp tool selection application,paste a part,similar,0.5154632925987244,different
24,image file size editing,resize pictures,similar,0.5831478834152222,different
25,save temporary copies automatically,save your favourite,different,0.3948441743850708,different
26,save load pocketpaint format,save your favourite,different,0.35067906975746155,different
27,dynamic color scheme,select transparent on colors,different,0.6164237856864929,different
28,dynamic color scheme,transparent color,different,0.4166431128978729,different
29,dynamic color scheme,add more colour,different,0.6554570198059082,different
30,dynamic color scheme,color grid,different,0.6651322841644287,different
31,dynamic color scheme,color picker,different,0.5226555466651917,different
32,dynamic color scheme,colour picker,different,0.4642871618270874,different
33,dynamic color scheme,add transparency,different,0.34416666626930237,different
34,dynamic color scheme,applying a color,different,0.6823366284370422,different
35,dynamic color scheme,applying transparency,different,0.36498698592185974,different
36,dynamic color scheme,pictures with transparency,different,0.34237122535705566,different
37,close transform tool options clicking apply,add a blur,different,0.350701242685318,different
38,save temporary copies automatically,add a blur,different,0.38171979784965515,different
39,paste tool,add a blur,different,0.3613799214363098,different
40,save load pocketpaint format,add a blur,different,0.22794905304908752,different
41,save load pocketpaint format,add a blur,different,0.22794905304908752,different
42,hide unhide layer,add a blur,different,0.25419992208480835,different
43,share feature,add a blur,different,0.3358575403690338,different
44,feedback menu entry overflow menu,add a blur,different,0.09433924406766891,different
45,spray tool,add a blur,different,0.3166660964488983,different
46,insert image catrobat media gallery,add a blur,different,0.30391889810562134,different
47,auto crop icon,add a blur,different,0.1112942099571228,different
