,Feature 1,Feature 2,Label,Cosine Similarity,Predicted Label
0,dynamic color scheme,colour shades,similar,0.8243265748023987,similar
1,paste tool,copy paste,similar,0.7305241227149963,similar
2,copy paste symbols stamp tool selection application,copy paste,similar,0.65389484167099,similar
3,image file size editing,editing large images,similar,0.7386726140975952,similar
4,export,export my pictures,similar,0.8223869800567627,similar
5,image file size editing,image editing,similar,0.7812042832374573,similar
6,correct user intended position tools,original position,similar,0.5815576314926147,different
7,paste tool,paste a part,similar,0.9024611115455627,similar
8,paste tool,paste images,similar,0.8548392057418823,similar
9,image file size editing,resize picture,similar,0.655403196811676,similar
10,image file size editing,resizing entire image,similar,0.5668171644210815,different
11,copy paste symbols stamp tool selection application,selection tool,similar,0.5501297116279602,different
12,confirm tool application selecting tool,selection tool,similar,0.8337963223457336,similar
13,hint change default settings tools,settings option,similar,0.8445857763290405,similar
14,image file size editing,shrinks image size,similar,0.5549483895301819,different
15,confirm tool application selecting tool,simple area selection,similar,0.5459045171737671,different
16,spray tool,spray tool,similar,1.0000001192092896,similar
17,dynamic color scheme,color fill tool,different,0.7496272325515747,similar
18,auto crop icon,crop edge,different,0.4962012469768524,different
19,auto crop icon,crop images,different,0.5109916925430298,different
20,save load pocketpaint format,load photos,different,0.44324180483818054,different
21,save load pocketpaint format,load photos,different,0.44324180483818054,different
22,save load pocketpaint format,load pictures,different,0.42935413122177124,different
23,copy paste symbols stamp tool selection application,paste a part,similar,0.5841258764266968,different
24,image file size editing,resize pictures,similar,0.6850151419639587,similar
25,save temporary copies automatically,save your favourite,different,0.4554002285003662,different
26,save load pocketpaint format,save your favourite,different,0.5744065046310425,different
27,dynamic color scheme,select transparent on colors,different,0.6102698445320129,similar
28,dynamic color scheme,transparent color,different,0.5544533133506775,different
29,dynamic color scheme,add more colour,different,0.7877283096313477,similar
30,dynamic color scheme,color grid,different,0.7689781785011292,similar
31,dynamic color scheme,color picker,different,0.7182716131210327,similar
32,dynamic color scheme,colour picker,different,0.7078608870506287,similar
33,dynamic color scheme,add transparency,different,0.6259394884109497,similar
34,dynamic color scheme,applying a color,different,0.7811967730522156,similar
35,dynamic color scheme,applying transparency,different,0.6165016889572144,similar
36,dynamic color scheme,pictures with transparency,different,0.5099810361862183,different
37,close transform tool options clicking apply,add a blur,different,0.4699974060058594,different
38,save temporary copies automatically,add a blur,different,0.42062264680862427,different
39,paste tool,add a blur,different,0.6445506811141968,similar
40,save load pocketpaint format,add a blur,different,0.4115644097328186,different
41,save load pocketpaint format,add a blur,different,0.4115644097328186,different
42,hide unhide layer,add a blur,different,0.5364499092102051,different
43,share feature,add a blur,different,0.5745477080345154,different
44,feedback menu entry overflow menu,add a blur,different,0.6362573504447937,similar
45,spray tool,add a blur,different,0.6046347618103027,similar
46,insert image catrobat media gallery,add a blur,different,0.4424041509628296,different
47,auto crop icon,add a blur,different,0.41915997862815857,different
48,hint change default settings tools,add a blur,different,0.4728606343269348,different
49,checkmark confirm tool applications,add a blur,different,0.3854480981826782,different
50,copy paste symbols stamp tool selection application,add a blur,different,0.4099288880825043,different
51,save dialog,add a blur,different,0.5219520330429077,different
52,better compression research implementation,add a blur,different,0.502790629863739,different
53,export,add a blur,different,0.5736163258552551,different
54,confirm tool application selecting tool,add a blur,different,0.44393834471702576,different
55,center button transform tool,add a blur,different,0.49409589171409607,different
56,fastlane support huawei store,add a blur,different,0.31998947262763977,different
57,github crowdin integration,add a blur,different,0.45135605335235596,different
58,build paintroid pull requests catroid develop jenkins,add a blur,different,0.34771978855133057,different
59,reuse drawingsurface pipette activity,add a blur,different,0.4843156337738037,different
60,image file size editing,add a blur,different,0.4145054221153259,different
61,upload mapping jenkins release builds,add a blur,different,0.3585141897201538,different
62,correct user intended position tools,add a blur,different,0.3554498851299286,different
63,dynamic color scheme,add a blur,different,0.5948671102523804,different
64,close transform tool options clicking apply,add graph,different,0.5227928757667542,different
65,save temporary copies automatically,add graph,different,0.39384448528289795,different
66,paste tool,add graph,different,0.6077817678451538,similar
67,save load pocketpaint format,add graph,different,0.24658805131912231,different
68,save load pocketpaint format,add graph,different,0.24658805131912231,different
69,hide unhide layer,add graph,different,0.3531234562397003,different
70,share feature,add graph,different,0.6019246578216553,similar
71,feedback menu entry overflow menu,add graph,different,0.5161714553833008,different
72,spray tool,add graph,different,0.3823367655277252,different
73,insert image catrobat media gallery,add graph,different,0.5158259272575378,different
74,auto crop icon,add graph,different,0.2886338531970978,different
75,hint change default settings tools,add graph,different,0.5548011064529419,different
76,checkmark confirm tool applications,add graph,different,0.6028412580490112,similar
77,copy paste symbols stamp tool selection application,add graph,different,0.6040022373199463,similar
78,save dialog,add graph,different,0.3413401246070862,different
79,better compression research implementation,add graph,different,0.42197906970977783,different
80,export,add graph,different,0.47483694553375244,different
81,confirm tool application selecting tool,add graph,different,0.6021865010261536,similar
82,center button transform tool,add graph,different,0.49943265318870544,different
83,fastlane support huawei store,add graph,different,0.4121069610118866,different
84,github crowdin integration,add graph,different,0.6139708757400513,similar
85,build paintroid pull requests catroid develop jenkins,add graph,different,0.3837068974971771,different
86,reuse drawingsurface pipette activity,add graph,different,0.6138424277305603,similar
87,image file size editing,add graph,different,0.5087399482727051,different
88,upload mapping jenkins release builds,add graph,different,0.5302229523658752,different
89,correct user intended position tools,add graph,different,0.45840758085250854,different
90,dynamic color scheme,add graph,different,0.4800841808319092,different
91,close transform tool options clicking apply,add more colour,different,0.3878210186958313,different
92,save temporary copies automatically,add more colour,different,0.2398921102285385,different
93,paste tool,add more colour,different,0.41229015588760376,different
94,save load pocketpaint format,add more colour,different,0.2979222536087036,different
