,Feature 1,Feature 2,Label,Cosine Similarity,Predicted Label
0,dynamic color scheme,colour shades,similar,0.685487687587738,similar
1,paste tool,copy paste,similar,0.5903155207633972,different
2,copy paste symbols stamp tool selection application,copy paste,similar,0.7188008427619934,similar
3,image file size editing,editing large images,similar,0.7951033711433411,similar
4,export,export my pictures,similar,0.7193867564201355,similar
5,image file size editing,image editing,similar,0.7624595165252686,similar
6,correct user intended position tools,original position,similar,0.441570520401001,different
7,paste tool,paste a part,similar,0.8168283104896545,similar
8,paste tool,paste images,similar,0.8344830870628357,similar
9,image file size editing,resize picture,similar,0.5487020015716553,different
10,image file size editing,resizing entire image,similar,0.6230533719062805,different
11,copy paste symbols stamp tool selection application,selection tool,similar,0.4171857237815857,different
12,confirm tool application selecting tool,selection tool,similar,0.7216931581497192,similar
13,hint change default settings tools,settings option,similar,0.7586374878883362,similar
14,image file size editing,shrinks image size,similar,0.5542629957199097,different
15,confirm tool application selecting tool,simple area selection,similar,0.42322197556495667,different
16,spray tool,spray tool,similar,1.0000001192092896,similar
17,dynamic color scheme,color fill tool,different,0.460094153881073,different
18,auto crop icon,crop edge,different,0.44203683733940125,different
19,auto crop icon,crop images,different,0.4314887523651123,different
20,save load pocketpaint format,load photos,different,0.29089823365211487,different
21,save load pocketpaint format,load photos,different,0.29089823365211487,different
22,save load pocketpaint format,load pictures,different,0.291480153799057,different
23,copy paste symbols stamp tool selection application,paste a part,similar,0.4900180399417877,different
24,image file size editing,resize pictures,similar,0.567699670791626,different
25,save temporary copies automatically,save your favourite,different,0.25689730048179626,different
26,save load pocketpaint format,save your favourite,different,0.3137539327144623,different
27,dynamic color scheme,select transparent on colors,different,0.452694833278656,different
28,dynamic color scheme,transparent color,different,0.37646475434303284,different
29,dynamic color scheme,add more colour,different,0.6452269554138184,different
30,dynamic color scheme,color grid,different,0.5470166206359863,different
31,dynamic color scheme,color picker,different,0.5070053935050964,different
32,dynamic color scheme,colour picker,different,0.5095250606536865,different
33,dynamic color scheme,add transparency,different,0.3377496004104614,different
34,dynamic color scheme,applying a color,different,0.6203227043151855,different
35,dynamic color scheme,applying transparency,different,0.3155747056007385,different
36,dynamic color scheme,pictures with transparency,different,0.2463449090719223,different
37,close transform tool options clicking apply,add a blur,different,0.22819574177265167,different
38,save temporary copies automatically,add a blur,different,0.1933583915233612,different
39,paste tool,add a blur,different,0.4385094940662384,different
40,save load pocketpaint format,add a blur,different,0.18619340658187866,different
41,save load pocketpaint format,add a blur,different,0.18619340658187866,different
42,hide unhide layer,add a blur,different,0.22182513773441315,different
43,share feature,add a blur,different,0.3574422001838684,different
44,feedback menu entry overflow menu,add a blur,different,0.39891156554222107,different
45,spray tool,add a blur,different,0.4431191682815552,different
46,insert image catrobat media gallery,add a blur,different,0.24399013817310333,different
47,auto crop icon,add a blur,different,0.11885193735361099,different
48,hint change default settings tools,add a blur,different,0.283085435628891,different
49,checkmark confirm tool applications,add a blur,different,0.2028711587190628,different
50,copy paste symbols stamp tool selection application,add a blur,different,0.34005478024482727,different
51,save dialog,add a blur,different,0.2172427773475647,different
52,better compression research implementation,add a blur,different,0.3432566821575165,different
