,Threshold,Accuracy,Precision,Recall,f1 Score
0,0.5,0.6359259259259259,1.0,0.6346404014123769,0.7764893133242383
1,0.51,0.6657407407407407,1.0,0.6645604906151273,0.798481634475829
2,0.52,0.6909259259259259,1.0,0.6898346032335997,0.8164522159903221
3,0.53,0.7222222222222222,1.0,0.7212414049433191,0.8380479378104081
4,0.54,0.7472222222222222,1.0,0.7463296784984204,0.8547408747472598
5,0.55,0.7725925925925926,0.9997593261131167,0.771975469243635,0.8712248322147651
6,0.56,0.7975925925925926,0.9993013507219376,0.7974354209254786,0.8870284237726098
7,0.57,0.8203703703703704,0.9990948178320888,0.8204794647834975,0.9010204081632653
8,0.58,0.8407407407407408,0.9991168028262309,0.8409217617543208,0.9132189707366297
9,0.59,0.8598148148148148,0.9987057808455565,0.8604348634082885,0.9244284715982829
10,0.6,0.8783333333333333,0.9987331081081081,0.8790187697454005,0.9350598003360681
11,0.61,0.8951851851851852,0.9987569919204475,0.8959301245121725,0.9445532915360502
12,0.62,0.9103703703703704,0.9987777551436138,0.9111689277086044,0.9529640427599612
13,0.63,0.9268518518518518,0.9987995198079231,0.9277086043486341,0.9619423836593122
14,0.64,0.9377777777777778,0.9988135258058137,0.9386731090875302,0.9678099252730409
15,0.65,0.9488888888888889,0.998827437951925,0.9498234528897974,0.9737092779577062
16,0.66,0.9574074074074074,0.998451712792723,0.9587437279316112,0.978194918467956
17,0.67,0.965,0.9984639016897081,0.9663631295298272,0.982151289073567
18,0.68,0.9722222222222222,0.9984753192300362,0.9736108530013009,0.9858863379751599
19,0.69,0.9757407407407407,0.9982915717539863,0.9773276342687233,0.9876983754343132
20,0.7,0.9792592592592593,0.9982977113675052,0.9808585764727745,0.989501312335958
21,0.71,0.9846296296296296,0.9983069977426636,0.9862479093105371,0.9922408151818267
22,0.72,0.9881481481481481,0.9983130271790066,0.9897788515145883,0.9940276222471071
23,0.73,0.9901851851851852,0.9983164983164983,0.9918230812116707,0.9950591964202479
24,0.74,0.9911111111111112,0.9979458450046685,0.9931239546552686,0.9955290611028316
25,0.75,0.9922222222222222,0.9979481440029845,0.9942389890354952,0.9960901135728913
26,0.76,0.9933333333333333,0.9979504378610025,0.995354023415722,0.9966505396352809
27,0.77,0.9951851851851852,0.9979542495815511,0.9972124140494332,0.9975831939022123
28,0.78,0.9959259259259259,0.9979557703029177,0.9979557703029177,0.9979557703029177
29,0.79,0.9966666666666667,0.9977724150733247,0.9988849656197732,0.9983283803863299
30,0.8,0.9972222222222222,0.997773654916512,0.9994424828098867,0.9986073716460867
31,0.81,0.9972222222222222,0.997773654916512,0.9994424828098867,0.9986073716460867
32,0.82,0.9975925925925926,0.9977744807121661,0.9998141609366289,0.9987932794950339
33,0.83,0.9974074074074074,0.9974050046339203,1.0,0.9987008166295471
34,0.84,0.9972222222222222,0.9972201630837657,1.0,0.998608146979679
35,0.85,0.997037037037037,0.997035390031499,1.0,0.9985154945258861
36,0.86,0.9968518518518519,0.9968506854390515,1.0,0.9984228592633825
37,0.87,0.9968518518518519,0.9968506854390515,1.0,0.9984228592633825
38,0.88,0.9968518518518519,0.9968506854390515,1.0,0.9984228592633825
39,0.89,0.9968518518518519,0.9968506854390515,1.0,0.9984228592633825
40,0.9,0.9968518518518519,0.9968506854390515,1.0,0.9984228592633825
41,0.91,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
42,0.92,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
43,0.93,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
44,0.94,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
45,0.95,0.9966666666666667,0.996666049268383,1.0,0.998330241187384
